title,authors,journal,DOI,abstract,year,volume,issue,pages
"Dehydration enhances multiple physiological defense mechanisms in a desert lizard, <i>Heloderma suspectum</i>","Moeller, Karla T. and Demare, Guillaume and Davies, Scott and DeNardo, Dale F.",JOURNAL OF EXPERIMENTAL BIOLOGY,10.1242/jeb.150367,"The physiological challenges associated with dehydration can induce an increase in plasma glucocorticoid concentrations, a response thought to provide the mechanism for dehydration suppressing immune function. However, a comprehensive examination of the inter-relationship of dehydration, stress and immune function has not been conducted within a single species. We previously demonstrated that Gila monsters (Heloderma suspectum), which inhabit a xeric environment with a predictable seasonal drought, have enhanced measures of innate immunity when dehydrated. These results suggest that, in this species, dehydration may not induce a glucocorticoid response, but, instead, enhances physiological defense mechanisms. To explore this possibility, we examined multiple measures of innate immunity as well as initial and reactive plasma concentrations of glucocorticoids in captive and free-ranging Gila monsters at various hydration states. Our results show that, in this species, dehydration alone does not cause a substantial increase in plasma glucocorticoids, and we provide broader evidence that dehydration enhances defensive mechanisms including stress reactivity and various measures of innate immune function. These findings suggest that physiological responses to dehydration may depend heavily on an organism's ecology. More research on the effects of dehydration on the glucocorticoid response and immunity will help clarify the interactive roles they play in response to hydration challenges and whether adaptations to water-limited environments influence these interactions.",2017,220,12,2166-2174
"Distinct physiological, biochemical and morphometric adjustments in the malaria vectors <i>Anopheles gambiae</i> and <i>A</i>. <i>coluzzii</i> as means to survive dry season conditions in Burkina Faso","Hidalgo, K. and Montazeau, C. and Siaussat, D. and Braman, V. and Trabalon, M. and Simard, F. and Renault, D. and Dabire, R. K. and Mouline, K.",JOURNAL OF EXPERIMENTAL BIOLOGY,10.1242/jeb.174433,"Aestivation and dispersive migration are the two strategies evoked in the literature to explain the way in which malaria vectors Anopheles coluzzii and A. gambiae survive the harsh climatic conditions of the dry season in sub-Saharan Africa. However, the physiological mechanisms regulating these two strategies are unknown. In the present study, mosquito species were exposed to controlled environmental conditions mimicking the rainy and dry seasons of south western Burkina Faso. Survival strategies were studied through morphometric (wing length), ecophysiological (respiratory gas exchanges), biochemical (cuticular hydrocarbons composition) and molecular (AKH mRNA expression levels) parameters, variations of which are usually considered to be hallmarks of aestivation and dispersion mechanisms in various insects. Our results showed that ecophysiological and morphometric adjustments are made in both species to prevent water losses during the dry season. However, the usual metabolic rate modifications expected as signatures of aestivation and migration were not observed, highlighting specific and original physiological mechanisms sustaining survival in malaria mosquitoes during the dry season. Differences in epicuticular hydrocarbon composition and AKH levels of expression were found between the permanent and temporary A. coluzzii populations, illustrating the great phenotypic plasticity of this mosquito species. Altogether, our work underlines the diverse and complex pattern of changes occurring in the two mosquito species and at the population level to cope with the dry season and highlights potential targets of future control tools.",2018,221,6,NA
Divergent physiological responses in laboratory rats and mice raised at high altitude,"Jochmans-Lemoine, Alexandra and Villalpando, Gabriella and Gonzales, Marcelino and Valverde, Ibana and Soria, Rudy and Joseph, Vincent",JOURNAL OF EXPERIMENTAL BIOLOGY,10.1242/jeb.112862,"Ecological studies show that mice can be found at high altitude (HA - up to 4000 m) while rats are absent at these altitudes, and there are no data to explain this discrepancy. We used adult laboratory rats and mice that have been raised for more than 30 generations in La Paz, Bolivia (3600 m), and compared their hematocrit levels, right ventricular hypertrophy (index of pulmonary hypertension) and alveolar surface area in the lungs. We also used whole-body plethysmography, indirect calorimetry and pulse oxymetry to measure ventilation, metabolic rate (O-2 consumption and CO2 production), heart rate and pulse oxymetry oxygen saturation (p(O2, sat)) under ambient conditions, and in response to exposure to sea level P-O2 (32\% O-2 = 160 mmHg for 10 min) and hypoxia (18\% and 15\% O-2 = 90 and 75 mmHg for 10 min each). The variables used for comparisons between species were corrected for body mass using standard allometric equations, and are termed mass-corrected variables. Under baseline, compared with rats, adult mice had similar levels of p(O2), sat, but lower hematocrit and hemoglobin levels, reduced right ventricular hypertrophy and higher mass-corrected alveolar surface area, tidal volume and metabolic rate. In response to sea level P-O2 and hypoxia, mice and rats had similar changes of ventilation, but metabolic rate decreased much more in hypoxia in mice, while p(O2), sat remained higher in mice. We conclude that laboratory mice and rats that have been raised at HA for > 30 generations have different physiological responses to altitude. These differences might explain the different altitude distribution observed in wild rats and mice.",2015,218,7,1035-1043
The relationship between longevity and diet is genotype dependent and sensitive to desiccation in <i>Drosophila melanogaster</i>,"McCracken, Andrew W. and Buckle, Eleanor and Simons, Mirre J. P.",JOURNAL OF EXPERIMENTAL BIOLOGY,10.1242/jeb.230185,"Dietary restriction (DR) is a key focus in ageing research. Specific conditions and genotypes were recently found to negate lifespan extension by DR, questioning its universal relevance. However, the concept of dietary reaction norms explains why the effects of DR might be obscured in some situations. We tested the importance of dietary reaction norms by measuring longevity and fecundity on five diets in five genotypes, with and without water supplementation in female Drosophila melanogaster (N>25,000). We found substantial genetic variation in the response of lifespan to diet. Flies supplemented with water rescued putative desiccation stress on the richest diets, suggesting that water availability can be an experimental confound. Fecundity declined on these richest diets, but was unaffected by water, and this reduction is thus most likely to be caused by nutritional toxicity. Our results demonstrate empirically that a range of diets need to be considered to conclude an absence of the DR longevity effect.",2020,223,23,NA
The thermal dependence of Na<SUP>+</SUP> flux in isolated liver cells from ectotherms and endotherms,"Else, Paul L.",JOURNAL OF EXPERIMENTAL BIOLOGY,10.1242/jeb.136747,"The thermal dependence (0-40 degrees C) of Na+ flux in isolated liver cells of three endotherms (mice, rat and rabbit) was compared with that of ectotherms in the form of a thermally tolerant amphibian (cane toad), a cold-water fish (rainbow trout) and a thermophilic reptile (lizard). Mammals were found to share similar high rates of Na+ flux (3.0-3.7 nmol Na+ mg(-1) protein min(-1)) at their normal body temperatures (36-39 degrees C). These Na+ flux rates were significantly greater (P<0.0004-0.0001) than those of the ectotherms, which shared similar low rates of Na+ flux (0.7-1.3 nmol Na+ mg(-1) protein min(-1)) at their very different normal acclimated body temperatures (15 degrees C for trout, 25 degrees C for toad and 37 degrees C for the lizard species). Trout, which possess highly unsaturated membranes (similar to those ofmammals), showed a Na+ flux with high thermal sensitivity at low temperatures similar to that found in mammals at higher temperatures. The thermal sensitivity of toad Na+ flux was significantly less (P<0.05-0.01) than that of rat and rabbit. Trout Na+ flux did not increase with increasing temperature much above 20 degrees C, whereas all other species measured increased their Na+ flux with increasing temperature up to 40 degrees C. In conclusion, at normal operating body temperatures, the rate of Na+ flux is much lower in ectotherms.",2016,219,14,2098-2102
Anti-diuretic activity of a CAPA neuropeptide can compromise <i>Drosophila</i> chill tolerance,"MacMillan, Heath A. and Nazal, Basma and Wali, Sahr and Yerushalmi, Gil Y. and Misyura, Lidiya and Donini, Andrew and Paluzzi, Jean-Paul",JOURNAL OF EXPERIMENTAL BIOLOGY,10.1242/jeb.185884,"For insects, chilling injuries that occur in the absence of freezing are often related to a systemic loss of ion and water balance that leads to extracellular hyperkalemia, cell depolarization and the triggering of apoptotic signalling cascades. The ability of insect ionoregulatory organs (e.g. the Malpighian tubules) to maintain ion balance in the cold has been linked to improved chill tolerance, and many neuroendocrine factors are known to influence ion transport rates of these organs. Injection of micromolar doses of CAPA (an insect neuropeptide) have been previously demonstrated to improve Drosophila cold tolerance, but the mechanisms through which it impacts chill tolerance are unclear, and low doses of CAPA have been previously demonstrated to cause anti-diuresis in insects, including dipterans. Here, we provide evidence that low (femtomolar) and high (micromolar) doses of CAPA impair and improve chill tolerance, respectively, via two different effects on Malpighian tubule ion and water transport. While low doses of CAPA are anti-diuretic, reduce tubule K+ clearance rates and reduce chill tolerance, high doses facilitate K+ clearance from the haemolymph and increase chill tolerance. By quantifying CAPA peptide levels in the central nervous system, we estimated the maximum achievable hormonal titres of CAPA and found further evidence that CAPA may function as an antidiuretic hormone in Drosophila melanogaster. We provide the first evidence of a neuropeptide that can negatively affect cold tolerance in an insect and further evidence of CAPA functioning as an anti-diuretic peptide in this ubiquitous insect model.",2018,221,19,NA
"Cardiorespiratory interactions in the Pacific spiny dogfish, <i>Squalus suckleyi</i>","Acharya-Patel, Neha and Deck, Courtney A. and Milsom, William K.",JOURNAL OF EXPERIMENTAL BIOLOGY,10.1242/jeb.183830,"Elasmobranchs are a group of cartilaginous fish with no direct sympathetic innervation of the heart or gills. Fast cardiorespiratory regulation is controlled solely by the parasympathetic branch of the autonomic nervous system. Cardiovascular changes associated with ventilation are commonly present in the form of respiratory sinus arrhythmia (RSA) and as cardiorespiratory synchrony (CRS. in which there is a 1:1 beat to breath ratio). The latter has been hypothesized to maximize oxygen uptake, coupling the pulsatile flows of blood and water in the gills. Given this, we hypothesized that CRS should be more prevalent in situations of low oxygen supply and RSA should be abolished by vagotomy. To test this, we investigated the role of the vagus nerve in mediating cardiorespiratory responses to changing environmental oxygen conditions in the elasmobranch Squalus suckleyi. Hypoxia and hyperoxia had little effect on heart rate but did alter breathing frequency and amplitude. Atropine yielded an overall tachycardia in all oxygen conditions and abolished all heart rate variability (HRV), suggesting that HRV solely reflects fluctuating vagal tonus on the heart. Regardless of the presence of atropine, hypoxia still induced an increase in ventilation rate and depth. CRS was only found during progressive hyperoxia post-atropine, when heart rate was uninhibited and ventilation was slowed owing to the increase in oxygen supply, suggesting that in S. suckleyi, CRS is an epiphenomenon and not actively regulated to maximize gas exchange efficiency.",2018,221,17,NA
Are the surface areas of the gills and body involved with changing metabolic scaling with temperature?,"Li, Ge and Lv, Xiao and Zhou, Jing and Shen, Cong and Xia, Danyang and Xie, Hang and Luo, Yiping",JOURNAL OF EXPERIMENTAL BIOLOGY,10.1242/jeb.174474,"The metabolic-level boundaries (MLB) hypothesis proposes that metabolic level mediates the relative influence of surface area (SA)versus volume-related metabolic processes on the body-mass scaling of metabolic rate in organisms. The variation in the scaling of SA may affect how metabolic level affects the metabolic scaling exponent. This study aimed to determine the influence of increasing metabolic level at a higher temperature on the metabolic scaling exponent of the goldfish and determine the link between metabolic scaling exponents and SA parameters of both gills and body. The SA of gills and body and the resting metabolic rate (RMR) of the goldfish were assessed at 15 degrees C and 25 degrees C, and their mass scaling exponents were analyzed. The results showed a significantly higher RMR, with a lower scaling exponent, in the goldfish at a higher temperature. The SA of the gills and the total SA of the fish (TSA) were reduced with the increasing temperature. The scaling exponent of RMR (b(RMR)) tended to be close to that of the TSA at a higher temperature. This suggests that temperature positively affects metabolic level but negatively affects b(RMR). The findings support the MLB hypothesis. The lower scaling exponent at a higher temperature can be alternatively explained as follows: the higher viscosity of cold water impedes respiratory ventilation and oxygen uptake and reduces metabolic rate more in smaller individuals than in larger individuals at lower temperature, thus resulting in a negative association between temperature and b(RMR).",2018,221,8,NA
"Hypoxia tolerance is unrelated to swimming metabolism of wild, juvenile striped bass (<i>Morone saxatilis</i>)","Kraskura, Krista and Nelson, Jay A.",JOURNAL OF EXPERIMENTAL BIOLOGY,10.1242/jeb.217125,"Juvenile striped bass residing in Chesapeake Bay are likely to encounter hypoxia that could affect their metabolism and performance. The ecological success of this economically valuable species may depend on their ability to tolerate hypoxia and perform fitness-dependent activities in hypoxic waters. We tested whether there is a link between hypoxia tolerance (HT) and oxygen consumption rate (M-O2) of juvenile striped bass measured while swimming in normoxic and hypoxic water, and to identify the interindividual variation and repeatability of these measurements. HT (loss of equilibrium) of fish (N=18) was measured twice collectively, 11 weeks apart, between which M-O2 was measured individually for each fish while swimming in low flow (10.2 cm s(-1)) and high flow (similar to 67\% of critical swimming speed, U-crit) under normoxia and hypoxia. Both HT and M-O2 varied substantially among individuals. HT increased across 11 weeks while the rank order of individual HT was significantly repeatable. Similarly, M-O2 increased in fish swimming at high flow in a repeatable fashion, but only within a given level of oxygenation. M-O2 was significantly lower when fish were swimming against high flow under hypoxia. There were no clear relationships between HT and M-O2 while fish were swimming under any conditions. Only the magnitude of increase in HT over 11 weeks and an individual's M-O2 under low flow were correlated. The results suggest that responses to the interacting stressors of hypoxia and exercise vary among individuals, and that HT and change in HT are not simple functions of aerobic metabolic rate.",2020,223,5,NA
Acute stress and restricted diet reduce bill-mediated heat dissipation in the song sparrow (<i>Melospiza melodia</i>): implications for optimal thermoregulation,"Zuluaga, Juan D. and Danner, Raymond M.",JOURNAL OF EXPERIMENTAL BIOLOGY,10.1242/jeb.245316,"We used thermal imaging to show that two environmental factors acute stress and diet - influence thermoregulatory performance of a known thermal window, the avian bill. The bill plays important roles in thermoregulation and water balance. Given that heat loss through the bill is adjustable through vasoconstriction and vasodilation, and acute stress can cause vasoconstriction in peripheral body surfaces, we hypothesized that stress may influence the bill's role as a thermal window. We further hypothesized that diet influences heat dissipation from the bill, given that body condition influences the surface temperature of another body region (the eye region). We measured the surface temperature of the bills of song sparrows (Melospiza melodia) before, during and after handling by an observer at 37 degrees C ambient temperature. We fed five birds a restricted diet intended to maintain body mass typical of wild birds, and we fed six birds an unrestricted diet for 5 months prior to experiments. Acute stress caused a decrease in the surface temperature of the bill, resulting in a 32.4\% decrease in heat dissipation immediately following acute stress, before recovering over approximately 2.3 min. The initial reduction and subsequent recovery provide partial support for the hemoprotective and thermoprotective hypotheses, which predict a reduction or increase in peripheral blood flow, respectively. Birds with unrestricted diets had larger bills and dissipated more heat, indicating that diet and body condition influence bill-mediated heat dissipation and thermoregulation. These results indicate that stress-induced vascular changes and diet can influence mechanisms of heat loss and potentially inhibit optimal thermoregulation.",2023,226,3,NA
