Short_reference,Publication_year,Title,DOI,Journal,Taxonomic_group,Climate_change_stressor,Life_stage_exposed,Life_stage_tested,Trait_category,Trait_details,Additional_comments
Moeller_et_al_2017,2017,"Dehydration enhances multiple physiological defense mechanisms in a desert lizard, Heloderma suspectum",10.1242/jeb.150367,Journal of Experimental Biology,Reptile,Humidity/Water availability,Adults,Adults,"Osmoregulation, Immune function and stress physiology","multiple measures of innate immunity,  plasma concentrations of glucocorticoids",NA
Hidalgo_et_al_2018,2018,"Distinct physiological, biochemical and morphometric adjustments in the malaria vectors Anopheles gambiae and A. coluzzii as means to survive dry season conditions in Burkina Faso",10.1242/jeb.174433,Journal of Experimental Biology,Insect,Humidity/Water availability,Embryos,Adults,"Energetics and metabolism, Osmoregulation","metabolic rate, water loss rate, FLIGHT ACTIVITY, ALLOMETRIC MEASURES, Cuticular hydrocarbons,AKH-related gene expression variations",NA
Jochmans-Lemoine_et_al_2015,2015,Divergent physiological responses in laboratory rats and mice raised at high altitude,10.1242/jeb.112862,Journal of Experimental Biology,Mammal,O₂/CO₂,Embryos,Adults,"Energetics and metabolism, Cardiovascular physiology, Immune function and stress physiology",ventilatory parameters;Hematological parameters; lung histology and morphology; allometric scaling;Oxygen consumption (V̇O2);CO2 production (V̇CO2),NA
McCracken_et_al_2020,2020,The relationship between longevity and diet is genotype dependent and sensitive to desiccation in Drosophila melanogaster,10.1242/jeb.230185,Journal of Experimental Biology,Insect,"Other, Humidity/Water availability",Adults,Adults,Development,longevity; fecundity,NA
Else_2016,2016,The thermal dependence of Na+ flux in isolated liver cells from ectotherms and endotherms,10.1242/jeb.136747,Journal of Experimental Biology,"Fish, Reptile, Amphibian",Temperature,Embryos,Adults,Energetics and metabolism,Na +flux measurement;Tissue metabolism;Liver cell isolation and culture,NA
MacMillan_et_al_2018,2018,Anti-diuretic activity of a CAPA neuropeptide can compromise Drosophila chill tolerance,10.1242/jeb.185884,Journal of Experimental Biology,Insect,Temperature,Adults,Adults,"Environmental tolerance and preference, Osmoregulation",Chill coma recovery; Malpighian tubule function,NA
Acharya-Patel_et_al_2018,2018,"Cardiorespiratory interactions in the Pacific spiny dogfish, Squalus suckleyi",10.1242/jeb.183830,Journal of Experimental Biology,Fish,O₂/CO₂,Adults,Adults,Cardiovascular physiology,Cardiorespiratory variables;Heart rate variability;Cardiorespiratory synchrony,NA
Li_et_al_2018,2018,Are the surface areas of the gills and body involved with changing metabolic scaling with temperature?,10.1242/jeb.174474,Journal of Experimental Biology,Fish,Temperature,Adults,Adults,"Energetics and metabolism, Development",gill surface area; gill mass; body mass; resting metabolic rate,NA
Kraskura_and_Nelson_2020,2020,"Hypoxia tolerance is unrelated to swimming metabolism of wild, juvenile striped bass (Morone saxatilis)",10.1242/jeb.217125,Journal of Experimental Biology,Fish,O₂/CO₂,Adults,Adults,Energetics and metabolism,hypoxia tolerance;oxygen consumption rate,NA
Zuluaga_and_ Danner_2023,2023,Acute stress and restricted diet reduce bill-mediated heat dissipation in the song sparrow (Melospiza melodia): implications for optimal thermoregulation,10.1242/jeb.245316,Journal of Experimental Biology,Bird,Other,Adults,Adults,"Environmental tolerance and preference, Development",bill size; thermoregulation,NA
