Timestamp,Your initials,Short reference,Title,DOI,Journal,Taxonomic group,Climate change stressor,Life stage exposed to the stressor,Life stage of the animals when traits were measured,Trait category,Trait details,Additional comments
45633.07364,AC,Moeller_et_al_2017,"Dehydration enhances multiple physiological defense mechanisms in a desert lizard, Heloderma suspectum",10.1242/jeb.150367,Journal of Experimental Biology,Reptile,water,Adults,Adults,"Osmoregulation, Immune function and stress physiology","multiple measures of innate immunity,  plasma concentrations of glucocorticoids ",
45633.07967,AC,Hidalgo_et_al_2018,"Distinct physiological, biochemical and morphometric adjustments in the malaria vectors Anopheles gambiae and A. coluzzii as means to survive dry season conditions in Burkina Faso",10.1242/jeb.174433,Journal of Experimental Biology,Insect,precipitation: rainy vs dry,Embryos,Adults,"Energetics and metabolism, Osmoregulation, FLIGHT ACTIVITY, ALLOMETRIC MEASURES, Cuticular hydrocarbons,AKH-related gene expression variations","metabolic rate, water loss rate, FLIGHT ACTIVITY, ALLOMETRIC MEASURES, Cuticular hydrocarbons,AKH-related gene expression variations",
45633.08691,AC,Jochmans-Lemoine_et_al_2015,Divergent physiological responses in laboratory rats and mice raised at high altitude,10.1242/jeb.112862,Journal of Experimental Biology,Mammal,altitude,Embryos,Adults,"Energetics and metabolism, Cardiovascular physiology, Immune function and stress physiology",ventilatory parameters;Hematological parameters; lung histology and morphology; allometric scaling;Oxygen consumption (V̇O2);CO2 production (V̇CO2) ,
45637.14625,AC,Bautista_and_Burggren_2019,Parental stressor exposure simultaneously conveys both adaptive and maladaptive larval phenotypes through epigenetic inheritance in the zebrafish (Danio rerio),10.1242/jeb.208918,Journal of Experimental Biology,Fish,Interaction with non-climatic stressor,"Larvae or juveniles, Adults","Larvae or juveniles, Adults","Cardiovascular physiology, Development",fecundity; survival;bradychardia;body length;organ mass,
45637.15303,AC,McCracken_et_al_2020,The relationship between longevity and diet is genotype dependent and sensitive to desiccation in Drosophila melanogaster,10.1242/jeb.230185,Journal of Experimental Biology,Insect,diet and water ,Adults,Adults,Development,longevity; fecundity,
45637.16124,AC,Else_2016,The thermal dependence of Na+ flux in isolated liver cells from ectotherms and endotherms,10.1242/jeb.136747,Journal of Experimental Biology,"Fish, Reptile, Amphibian",Temperature,Embryos,Adults,Energetics and metabolism,Na +flux measurement;Tissue metabolism;Liver cell isolation and culture,
45637.16445,AC,MacMillan_et_al_2018,Anti-diuretic activity of a CAPA neuropeptide can compromise Drosophila chill tolerance,10.1242/jeb.185884,Journal of Experimental Biology,Insect,Temperature,Adults,Adults,"Environmental tolerance and preference, Osmoregulation",Chill coma recovery; Malpighian tubule function,
45637.16729,AC,Acharya-Patel_et_al_2018,"Cardiorespiratory interactions in the Pacific spiny dogfish, Squalus suckleyi",10.1242/jeb.183830,Journal of Experimental Biology,Fish,Oxygen,Adults,Adults,Cardiovascular physiology,Cardiorespiratory variables;Heart rate variability;Cardiorespiratory synchrony,
45637.17289,AC,Li_et_al_2018,Are the surface areas of the gills and body involved with changing metabolic scaling with temperature?,10.1242/jeb.174474,Journal of Experimental Biology,Fish,Temperature,Adults,Adults,"Energetics and metabolism, Development",gill surface area; gill mass; body mass; resting metabolic rate,
45637.17467,AC,Kraskura_and_Nelson_2020,"Hypoxia tolerance is unrelated to swimming metabolism of wild, juvenile striped bass (Morone saxatilis)",10.1242/jeb.217125,Journal of Experimental Biology,Fish,Oxygen,Adults,Adults,Energetics and metabolism,hypoxia tolerance;oxygen consumption rate,
