type,title,authors,journal,abstract,year,doi,volume,issue,pages,article_number,keywords
article,Fish swimming mode and body morphology affect the energetics of swimming in a wave-surge water flow,"Schakmann, Mathias and Korsmeyer, Keith E.",JOURNAL OF EXPERIMENTAL BIOLOGY,"Fish swimming modes and the shape of both the fins and body are expected to affect their swimming ability under different flow conditions. These swimming strategies and body morphologies often correspond to distributional patterns of distinct functional groups exposed to natural and variable water flows. In this study, we used a swimming-respirometer to measure energetic costs during prolonged, steady swimming and while station holding in a range of simulated oscillatory wave-surge water flows, within the natural range of flow speeds and wave frequencies on coral reefs. We quantified the net cost of swimming (NCOS, metabolic costs above resting) for four reef fish species with differences in swimming mode and morphologies of the fin and body: a body and caudal fin (BCF) swimmer, the Hawaiian flagtail, Kuhlia xenura, and three pectoral fin swimmers, the kole tang, Ctenochaetus strigosus, the saddle wrasse, Thalassoma duperrey, and the Indo-Pacific sergeant major, Abudefduf vaigiensis. We found that the BCF swimmer had the highest rates of increase in NCOS with increasing wave frequency (i.e. increased turning frequency) compared with the pectoral fin swimmers. The wrasse, with a more streamlined, higher body fineness, had lower rates of increase in NCOS with increasing swimming speeds than the low body fineness species, but overall had the highest swimming NCOS, which may be a result of a higher aerobic swimming capacity. The deep-bodied (low fineness) pectoral fin swimmers (A. vaigiensis and C. strigosus) were the most efficient at station holding in oscillating, wave-surge water flows.",2023,10.1242/jeb.244739,226,6,NA,jeb244739,Wave surge; Cost of swimming; Respirometry; Maneuvering; Body fineness; Labriform
article,Light from down under,"Fine, Maoz and Sabbah, Shai and Shashar, Nadav and Hoegh-Guldberg, Ove",JOURNAL OF EXPERIMENTAL BIOLOGY,"Coral-algae symbiosis is a key feature of tropical corals and is highly dependent on the efficiency with which solar energy is attenuated by the coral. Scleractinian corals are among the most efficient light collectors in nature because of the modulation of the internal light field in the coral skeleton. Interestingly, coral skeleton particles composing the sandy bottoms in reef margins sustain these optical characteristics. In the present study, we examined two free-living coral species - Heterocyathus aequicostatus (Caryophyllidae) and Heteropsammia cochlea (Dendrophylliidae) - common on biogenic coarse carbonate sand of the Great Barrier Reef but absent from fine sand at the same depth. In coarse carbonate sand, light penetrates a few millimeters below the surface and propagates along horizontal distances of a few centimeters. In fine sand, almost all of the light is reflected back to the water column. For photosynthetic sand-dwelling organisms such as the studied species, with over one-third of their surface area facing the substrate, light flux to their underside may be beneficial. A correlation was found between the diameter of these corals and the distance that light may travel in the sand under the coral. Laboratory and field measurements show that the symbiotic algae on the underside of the corallites are photosynthetically active even when the coral is partially buried, implying sufficient light penetration. Other organisms in the study site, such as fungid corals and foraminiferans, with different morphologies, have different light-trapping strategies but are also photosynthesizing on their underside. The importance of the substrate type to the performance of the three main partners of the symbiosis (coral, endosymbiotic algae and a sipunculan worm) is highlighted, and is a striking example of co-evolution.",2013,10.1242/jeb.025106,216,23,4341-4346,NA,coral; light; Great Barrier Reef; Heterocyathus; Heteropsammia; Aspidosyphon
article,Identification and characterisation of a functional aquaporin water channel (<i>Anomala cuprea</i> DRIP) in a coleopteran insect,"Nagae, Tomone and Miyake, Seiji and Kosaki, Shiho and Azuma, Masaaki",JOURNAL OF EXPERIMENTAL BIOLOGY,"Water transport across the plasma membrane depends on the presence of the water channel aquaporin (AQP), which mediates the bulk movement of water through osmotic and pressure gradients. In terrestrial insects, which are solid and/or plant feeders, the entrance and exit of water is primarily executed along the alimentary tract, where the hindgut, particularly the rectum, is the major site of water conservation. A cDNA encoding the homologue of the water-specific Drosophila AQP [}Drosophila integral protein (DRIP)] was identified through the RT-PCR of RNA isolated from the rectum of the cupreous chafer larvae, Anomala cuprea, a humus and plant root feeder. This gene (Anocu AQP1) has a predicted molecular mass of 26.471 kDa, similar to the DRIP clade of insect AQPs characterised from caterpillars, flies and several liquid-feeding insects. When expressed in Xenopus laevis oocytes, Anocu AQP1 showed the hallmarks of aquaporin-mediated water transport but no glycerol or urea permeability, and the reversible inhibition of elevated water transport through 1 mmol l(-1) HgCl2. This is the first experimental demonstration of the presence of a water-specific AQP, namely DRIP, in the Coleoptera. The genome of the model beetle Tribolium castaneum contains six putative AQP sequences, one of which (Trica-1a, XP\_972862) showed the highest similarity to Anocu AQP1 (similar to 60\% amino acid identity). Anocu AQP1 is predominantly expressed in the rectum. Using a specific antibody raised against DRIP in the silkworm Bombyx mori (AQP-Bom1), Anocu AQP1 was localised to the apical plasma membrane of rectal epithelial cells, and lacking in the midgut and gastric caecal epithelia. Based on the BeetleBase prediction, there are three putative AQPs (Trica-3a, 3b, 3c: XP\_970728, 970912, 970791) that are homologous to B. mori aquaglyceroporin {[} AQP-Bom2 (GLP)]. The immunocytochemical studies using the specific anti-peptide antibody against AQP-Bom2 revealed the presence of the GLP homologue at the apical plasma membrane of enterocytes in the midgut and gastric caeca. Thus, DRIP (Anocu AQP1) and the putative GLP share epithelial fluid-transporting roles along the alimentary tract in cupreous chafer larvae.",2013,10.1242/jeb.083386,216,14,2564-2572,NA,Drosophila integral protein; DRIP; aquaglyceroporin; rectum; midgut; gastric caeca; excretion; coleopteran AQP
article,Archer fish jumping prey capture: kinematics and hydrodynamics,"Shih, Anna M. and Mendelson, Leah and Techet, Alexandra H.",JOURNAL OF EXPERIMENTAL BIOLOGY,"Smallscale archer fish, Toxotes microlepis, are best known for spitting jets of water to capture prey, but also hunt by jumping out of the water to heights of up to 2.5 body lengths. In this study, high-speed imaging and particle image velocimetry were used to characterize the kinematics and hydrodynamics of this jumping behavior. Jumping used a set of kinematics distinct from those of in-water feeding strikes and was segmented into three phases: (1) hovering to sight prey at the surface, (2) rapid upward thrust production and (3) gliding to the prey once out of the water. The number of propulsive tail strokes positively correlated with the height of the bait, as did the peak body velocity observed during a jump. During the gliding stage, the fish traveled ballistically; the kinetic energy when the fish left the water balanced with the change in potential energy from water exit to the maximum jump height. The ballistic estimate of the mechanical energy required to jump was comparable with the estimated mechanical energy requirements of spitting a jet with sufficient momentum to down prey and subsequently pursuing the prey in water. Particle image velocimetry showed that, in addition to the caudal fin, the wakes of the anal, pectoral and dorsal fins were of nontrivial strength, especially at the onset of thrust production. During jump initiation, these fins were used to produce as much vertical acceleration as possible given the spatial constraint of starting directly at the water's surface to aim.",2017,10.1242/jeb.145623,220,8,1411-1422,NA,Prey capture; Jumping; Archer fish; Rapid maneuvering; Particle image velocimetry
article,"Dehydration enhances multiple physiological defense mechanisms in a desert lizard, <i>Heloderma suspectum</i>","Moeller, Karla T. and Demare, Guillaume and Davies, Scott and DeNardo, Dale F.",JOURNAL OF EXPERIMENTAL BIOLOGY,"The physiological challenges associated with dehydration can induce an increase in plasma glucocorticoid concentrations, a response thought to provide the mechanism for dehydration suppressing immune function. However, a comprehensive examination of the inter-relationship of dehydration, stress and immune function has not been conducted within a single species. We previously demonstrated that Gila monsters (Heloderma suspectum), which inhabit a xeric environment with a predictable seasonal drought, have enhanced measures of innate immunity when dehydrated. These results suggest that, in this species, dehydration may not induce a glucocorticoid response, but, instead, enhances physiological defense mechanisms. To explore this possibility, we examined multiple measures of innate immunity as well as initial and reactive plasma concentrations of glucocorticoids in captive and free-ranging Gila monsters at various hydration states. Our results show that, in this species, dehydration alone does not cause a substantial increase in plasma glucocorticoids, and we provide broader evidence that dehydration enhances defensive mechanisms including stress reactivity and various measures of innate immune function. These findings suggest that physiological responses to dehydration may depend heavily on an organism's ecology. More research on the effects of dehydration on the glucocorticoid response and immunity will help clarify the interactive roles they play in response to hydration challenges and whether adaptations to water-limited environments influence these interactions.",2017,10.1242/jeb.150367,220,12,2166-2174,NA,Dehydration; Innate immunity; Corticosterone; Reptile
article,Aquatic burst locomotion by hydroplaning and paddling in common eiders (<i>Somateria mollissima</i>),"Gough, William T. and Farina, Stacy C. and Fish, Frank E.",JOURNAL OF EXPERIMENTAL BIOLOGY,"Common eiders (Somateria mollissima) are heavy sea-ducks that spend a large portion of their time swimming at the water surface. Surface swimming generates a bow and hull wave that can constructively interfere and produce wave drag. The speed at which the wavelengths of these waves equal the waterline length of the swimming animal is the hull speed. To increase surface swimming speed beyond the hull speed, an animal must overtake the bow wave. This study found two distinct behaviors that eider ducks used to exceed the hull speed: (1) `steaming', which involved rapid oaring with the wings to propel the duck along the surface of the water, and (2) `paddle-assisted flying', during which the ducks lifted their bodies out of the water and used their feet to paddle against the surface while flapping their wings in the air. An average hull speed (0.732 +/- 0.046 m s(-1)) was calculated for S. mollissima by measuring maximum waterline length from museum specimens. On average, steaming ducks swam 5.5 times faster and paddle-assisted flying ducks moved 6.8 times faster than the hull speed. During steaming, ducks exceeded the hull speed by increasing their body angle and generating dynamic lift to overcome wave drag and hydroplane along the water surface. During paddle-assisted flying, ducks kept their bodies out of the water, thereby avoiding the limitations of wave drag altogether. Both behaviors provided alternatives to flight for these ducks by allowing them to exceed the hull speed while staying at or near the water surface.",2015,10.1242/jeb.114140,218,11,1632-1638,NA,Eider duck; Surface swimming; Ground effect; Hull speed; Steaming
article,Insight into post-transcriptional gene regulation: stress-responsive microRNAs and their role in the environmental stress survival of tolerant animals,"Biggar, Kyle K. and Storey, Kenneth B.",JOURNAL OF EXPERIMENTAL BIOLOGY,"Living animals are constantly faced with various environmental stresses that challenge normal life, including: oxygen limitation, very low or high temperature, as well as restriction of water and food. It has been well established that in response to these stresses, tolerant organisms regularly respond with a distinct suite of cellular modifications that involve transcriptional, translational and post-translational modification. In recent years, a new mechanism of rapid and reversible transcriptome regulation, via the action of non-coding RNA molecules, has emerged into post-transcriptional regulation and has since been shown to be part of the survival response. However, these RNA-based mechanisms by which tolerant organisms respond to stressed conditions are not well understood. Recent studies have begun to show that non-coding RNAs control gene expression and translation of mRNA to protein, and can also have regulatory influence over major cellular processes. For example, select microRNAs have been shown to have regulatory influence over the cell cycle, apoptosis, signal transduction, muscle atrophy and fatty acid metabolism during periods of environmental stress. As we are on the verge of dissecting the roles of non-coding RNA in environmental stress adaptation, this Commentary summarizes the hallmark alterations in microRNA expression that facilitate stress survival.",2015,10.1242/jeb.104828,218,9,1281-1289,NA,Anoxia; Environmental stress; Freeze-tolerance; Hibernation; Hypometabolism; MicroRNA
article,"Distinct physiological, biochemical and morphometric adjustments in the malaria vectors <i>Anopheles gambiae</i> and <i>A</i>. <i>coluzzii</i> as means to survive dry season conditions in Burkina Faso","Hidalgo, K. and Montazeau, C. and Siaussat, D. and Braman, V. and Trabalon, M. and Simard, F. and Renault, D. and Dabire, R. K. and Mouline, K.",JOURNAL OF EXPERIMENTAL BIOLOGY,"Aestivation and dispersive migration are the two strategies evoked in the literature to explain the way in which malaria vectors Anopheles coluzzii and A. gambiae survive the harsh climatic conditions of the dry season in sub-Saharan Africa. However, the physiological mechanisms regulating these two strategies are unknown. In the present study, mosquito species were exposed to controlled environmental conditions mimicking the rainy and dry seasons of south western Burkina Faso. Survival strategies were studied through morphometric (wing length), ecophysiological (respiratory gas exchanges), biochemical (cuticular hydrocarbons composition) and molecular (AKH mRNA expression levels) parameters, variations of which are usually considered to be hallmarks of aestivation and dispersion mechanisms in various insects. Our results showed that ecophysiological and morphometric adjustments are made in both species to prevent water losses during the dry season. However, the usual metabolic rate modifications expected as signatures of aestivation and migration were not observed, highlighting specific and original physiological mechanisms sustaining survival in malaria mosquitoes during the dry season. Differences in epicuticular hydrocarbon composition and AKH levels of expression were found between the permanent and temporary A. coluzzii populations, illustrating the great phenotypic plasticity of this mosquito species. Altogether, our work underlines the diverse and complex pattern of changes occurring in the two mosquito species and at the population level to cope with the dry season and highlights potential targets of future control tools.",2018,10.1242/jeb.174433,221,6,NA,jeb174433,Aestivation; Migration; Adipokinetic hormone (AKH); Cuticular hydrocarbons; Metabolic rate
article,"Thyroid hormones correlate with field metabolic rate in ponies, <i>Equus ferus caballus</i>","Brinkmann, Lea and Gerken, Martina and Hambly, Catherine and Speakman, John R. and Riek, Alexander",JOURNAL OF EXPERIMENTAL BIOLOGY,"During winter, free-living herbivores are often exposed to reduced energy supply at the same time that energy needs for thermoregulation increase. Several wild herbivores as well as robust horse breeds reduce their metabolism during times of low ambient temperature and food shortage. Thyroid hormones (THs) affect metabolic intensity and a positive effect of THs on basal metabolic rate (BMR) has been demonstrated in mammals and birds. As BMR and field metabolic rate (FMR) are often assumed to be intrinsically linked, THs may represent a reliable indicator for FMR. To test this hypothesis, 10 Shetland pony mares were kept under semi-extensive central European conditions. During the winter season, one group was fed 60\% and one group 100\% of their maintenance energy requirements. We measured FMR, locomotor activity, resting heart rate and TH levels in summer and winter. FMR, locomotor activity, resting heart rate and total T-3 concentrations decreased substantially in winter compared with summer, whereas total T-4 increased. Food restriction led to a reduced FMR and resting heart rate, while THs and locomotor activity were not affected. Across both seasons, FMR, resting heart rate and locomotor activity were positively correlated with total T-3 but negatively and more weakly correlated with total T-4.",2016,10.1242/jeb.138784,219,16,2559-2566,NA,Energy expenditure; Food restriction; Resting heart rate; Horses; Locomotor activity; Thyroxine; Triiodothyronine
article,Divergent physiological responses in laboratory rats and mice raised at high altitude,"Jochmans-Lemoine, Alexandra and Villalpando, Gabriella and Gonzales, Marcelino and Valverde, Ibana and Soria, Rudy and Joseph, Vincent",JOURNAL OF EXPERIMENTAL BIOLOGY,"Ecological studies show that mice can be found at high altitude (HA - up to 4000 m) while rats are absent at these altitudes, and there are no data to explain this discrepancy. We used adult laboratory rats and mice that have been raised for more than 30 generations in La Paz, Bolivia (3600 m), and compared their hematocrit levels, right ventricular hypertrophy (index of pulmonary hypertension) and alveolar surface area in the lungs. We also used whole-body plethysmography, indirect calorimetry and pulse oxymetry to measure ventilation, metabolic rate (O-2 consumption and CO2 production), heart rate and pulse oxymetry oxygen saturation (p(O2, sat)) under ambient conditions, and in response to exposure to sea level P-O2 (32\% O-2 = 160 mmHg for 10 min) and hypoxia (18\% and 15\% O-2 = 90 and 75 mmHg for 10 min each). The variables used for comparisons between species were corrected for body mass using standard allometric equations, and are termed mass-corrected variables. Under baseline, compared with rats, adult mice had similar levels of p(O2), sat, but lower hematocrit and hemoglobin levels, reduced right ventricular hypertrophy and higher mass-corrected alveolar surface area, tidal volume and metabolic rate. In response to sea level P-O2 and hypoxia, mice and rats had similar changes of ventilation, but metabolic rate decreased much more in hypoxia in mice, while p(O2), sat remained higher in mice. We conclude that laboratory mice and rats that have been raised at HA for > 30 generations have different physiological responses to altitude. These differences might explain the different altitude distribution observed in wild rats and mice.",2015,10.1242/jeb.112862,218,7,1035-1043,NA,Chronic hypoxia; Metabolism; Physiology; Respiration; Rodents
