type,title,authors,journal,abstract,year,doi,volume,issue,pages,article_number,keywords
article,Visual search in hunting archerfish shares all hallmarks of human performance,"Rischawy, Ingo and Schuster, Stefan",JOURNAL OF EXPERIMENTAL BIOLOGY,"Archerfish are renowned for shooting down aerial prey with water jets, but nothing is known about how they spot prey items in their richly structured mangrove habitats. We trained archerfish to stably assign the categories `target' and `background' to objects solely on the basis of non-motion cues. Unlike many other hunters, archerfish are able to discriminate a target from its background in the complete absence of either self-motion or relative motion parallax cues and without using stored information about the structure of the background. This allowed us to perform matched tests to compare the ways fish and humans scan stationary visual scenes. In humans, visual search is seen as a doorway to cortical mechanisms of how attention is allocated. Fish lack a cortex and we therefore wondered whether archerfish would differ from humans in how they scan a stationary visual scene. Our matched tests failed to disclose any differences in the dependence of response time distributions, a most sensitive indicator of the search mechanism, on number and complexity of background objects. Median and range of response times depended linearly on the number of background objects and the corresponding effective processing time per item increased similarly - approximately fourfold - in both humans and fish when the task was harder. Archerfish, like humans, also systematically scanned the scenery, starting with the closest object. Taken together, benchmark visual search tasks failed to disclose any difference between archerfish - who lack a cortex - and humans.",2013,10.1242/jeb.087734,216,16,3096-3103,NA,visual search; target detection; attention; cortex; mangrove environment
article,The sensory effects of light on the electric organ discharge rate of <i>Gymnotus omarorum</i>,"Camargo, Ana S. and Caputi, Angel A. and Aguilera, Pedro A.",JOURNAL OF EXPERIMENTAL BIOLOGY,"Gymnotiformes are nocturnal fishes inhabiting the root mats of floating plants. They use their electric organ discharge (EOD) to explore the environment and to communicate. Here, we show and describe tonic and phasic sensory-electromotor responses to light distinct from indirect effects depending on the light-induced endogenous circadian rhythm. In the dark, principally during the night, inter-EOD interval histograms are bimodal: the main peak corresponds to the basal rate and a secondary peak corresponds to high-frequency bouts. Light causes a twofold tonic but opposing effect on the EOD histogram: (i) decreasing the main mode and (ii) blocking the high-frequency bouts and consequently increasing the main peak at the expense of removal of the secondary one. Additionally, light evokes phasic responses whose amplitude increases with intensity but whose slow time course and poor adaptation differentiate from the so-called novelty responses evoked by abrupt changes in sensory stimuli of other modalities. We confirmed that Gymnotus omarorum tends to escape from light, suggesting that these phasic responses are probably part of a global `light-avoidance response'. We interpret the data within an ecological context. Fish rest under the shade of aquatic plants during the day and light spots due to the sun's relative movement alert the fish to hide in shady zones to avoid macroptic predators and facilitate tracking the movement of floating plant islands by wind and/or water currents.",2023,10.1242/jeb.245489,226,17,NA,jeb245489,Circadian cycle; High-frequency bouts; Tenebrotaxis
article,Boat noise interferes with Lusitanian toadfish acoustic communication,"Alves, Daniel and Vieira, Manuel and Amorim, M. Clara P. and Fonseca, Paulo J.",JOURNAL OF EXPERIMENTAL BIOLOGY,"Anthropogenic noise is considered a major underwater pollutant as increasing ocean background noise due to human activities is impacting aquatic organisms. One of the most prevalent anthropogenic sounds is boat noise. Although motorboat traffic has increased in the past few decades, its impact on the communication of fish is still poorly known. The highly vocal Lusitanian toadfish (Halobatrachus didactylus) is an excellent model to test the impact of this anthropogenic stressor as it relies on acoustic communication to attractmates. Here, we performed two experiments to test the impact of boat noise on the acoustic communication of the Lusitanian toadfish. Using the auditory evoked potential (AEP) technique, we first compared the maximum distance a fish can perceive a boat whistle (BW), the mate attraction acoustic signal, before and after embedding it in boat noise. Noises from a small motorboat and from a ferryboat reduced the active space from a control value of 6.4-10.4 m to 2.0-2.5 m and 6.3-6.7 m, respectively. In the second experiment we monitored the acoustic behaviour of breeding males exposed to boat noise playbacks and we observed an increase in the inter-onset interval of BWs and a disruption of the usual vocal interactions between singing males. These results demonstrate that boat noise can severely reduce the acoustic active space and affect the chorusing behaviour in this species, which may have consequences in breeding success for individuals and could thus affect fitness.",2021,10.1242/jeb.234849,224,11,NA,jeb234849,Boatwhistle; Fish; Communication range; AEP technique; Anthropogenic noise; Vocal patterns
article,Effects of prey density and flow speed on plankton feeding by garden eels: a flume study,"Ishikawa, Kota and Wu, Heng and Mitarai, Satoshi and Genin, Amatzia",JOURNAL OF EXPERIMENTAL BIOLOGY,"Feeding by zooplanktivorous fish depends on their foraging movements and the flux of prey to which they are exposed. While prey flux is a linear function of zooplankton density and flow speed, those two factors are expected to contribute differently to fish movements. Our objective was to determine the effects of these factors for garden eels, stationary fish that feed while anchored to the sandy bottom by keeping the posterior parts of their bodies inside a burrow. Using a custom-made flume with a sandy bottom, we quantified the effects of prey density and flow speed on feeding rates by spotted garden eels (Heteroconger hassi). Feeding rates increased linearly with prey density. However, feeding rates did not show a linear relationship with flow speed and decreased at 0.25 m s(-1). Using label-free tracking of body points and 3D movement analysis, we found that the reduction in feeding rates was related to modulation of the eel's movements, whereby the expected increase in energy expenditure was avoided by reducing exposure and drag. No effects of flow speed on strike speed, reactive distance or vectorial dynamic body acceleration (VeDBA) were found. A foraging model based on the body length extended from the burrow showed correspondence with observations. These findings suggest that as a result of their unique foraging mode, garden eels can occupy self-made burrows in exposed shelter-free sandy bottoms where they can effectively feed on drifting zooplankton.",2022,10.1242/jeb.243655,225,8,NA,jeb243655,Functional response; Fish; Coral reef; Zooplanktivory; Biomechanics
article,Can the behaviour of threespine stickleback parasitized with <i>Schistocephalus solidus</i> be replicated by manipulating host physiology?,"Grecias, Lucie and Hebert, Francois Olivier and Berger, Chloe Suzanne and Barber, Iain and Aubin-Horth, Nadia",JOURNAL OF EXPERIMENTAL BIOLOGY,"Sticklebacks infected by the parasitic flatworm Schistocephalus solidus show dramatic changes in phenotype, including a loss of species-typical behavioural responses to predators. The timing of host behaviour change coincides with the development of infectivity of the parasite to the final host (a piscivorous bird), making it an ideal model for studying the mechanisms of infection-induced behavioural modification. However, whether the loss of host anti-predator behaviour results from direct manipulation by the parasite, or is a by-product (e.g. host immune response) or side effect of infection (e. g. energetic loss), remains controversial. To understand the physiological mechanisms that generate these behavioural changes, we quantified the behavioural profiles of experimentally infected fish and attempted to replicate these in non-parasitized fish by exposing them to treatments including immunity activation and fasting, or by pharmacologically inhibiting the stress axis. All fish were screened for the following behaviours: activity, water depth preference, sociability, phototaxis, anti-predator response and latency to feed. We were able to change individual behaviours with certain treatments. Our results suggest that the impact of S. solidus on the stickleback might be of a multifactorial nature. The behaviour changes observed in infected fish might result from the combined effects of modifying the serotonergic axis, lack of energy and activation of the immune system.",2017,10.1242/jeb.151456,220,2,237-246,NA,Manipulation; Parasite; Gasterosteus aculeatus; Serotonin; Fluoxetine; Oxazepam; Immunity; Fasting
article,The comparative hydrodynamics of rapid rotation by predatory appendages,"McHenry, M. J. and Anderson, P. S. L. and Van Wassenbergh, S. and Matthews, D. G. and Summers, A. P. and Patek, S. N.",JOURNAL OF EXPERIMENTAL BIOLOGY,"Countless aquatic animals rotate appendages through the water, yet fluid forces are typically modeled with translational motion. To elucidate the hydrodynamics of rotation, we analyzed the raptorial appendages of mantis shrimp (Stomatopoda) using a combination of flume experiments, mathematical modeling and phylogenetic comparative analyses. We found that computationally efficient blade-element models offered an accurate first-order approximation of drag, when compared with a more elaborate computational fluid-dynamic model. Taking advantage of this efficiency, we compared the hydrodynamics of the raptorial appendage in different species, including a newly measured spearing species, Coronis scolopendra. The ultrafast appendages of a smasher species (Odontodactylus scyllarus) were an order of magnitude smaller, yet experienced values of drag-induced torque similar to those of a spearing species (Lysiosquillina maculata). The dactyl, a stabbing segment that can be opened at the distal end of the appendage, generated substantial additional drag in the smasher, but not in the spearer, which uses the segment to capture evasive prey. Phylogenetic comparative analyses revealed that larger mantis shrimp species strike more slowly, regardless of whether they smash or spear their prey. In summary, drag was minimally affected by shape, whereas size, speed and dactyl orientation dominated and differentiated the hydrodynamic forces across species and sizes. This study demonstrates the utility of simple mathematical modeling for comparative analyses and illustrates the multi-faceted consequences of drag during the evolutionary diversification of rotating appendages.",2016,10.1242/jeb.140590,219,21,3399-3411,NA,Drag; Feeding; Kinematics; Torque; Scaling; Phylogenetic comparative methods
article,Multiple spectral channels in branchiopods. II. Role in light-dependent behavior and natural light environments,"Lessios, Nicolas and Rutowski, Ronald L. and Cohen, Jonathan H.",JOURNAL OF EXPERIMENTAL BIOLOGY,"Light is a primary environmental factor used by aquatic invertebrates for depth selection behavior. Many branchiopod crustaceans live in ephemeral aquatic habitats. All branchiopod crustaceans studied to date express four or more visual opsins in their compound eyes. We asked whether two branchiopods, Triops longicaudatus and Streptocephalus mackini, use multiple spectral channels to regulate their position in the water column. At the lowest intensities that elicited photonegative behavior, both species had broad spectral bandwidths, suggesting they use multiple spectral photoreceptor classes. Male S. mackini were more likely to maintain a vertical position 8.0-12.0 cm below the surface than females, independently of whether females were present. Male photopositive behavior at low intensity was restricted to a narrow bandwidth centered at 532 nm, suggesting a single photoreceptor class is used to maintain position above females. We compared ephemeral pools from two regions in Arizona and found that diffuse light attenuation coefficients were two orders of magnitude greater than the most heavily attenuating coastal waters. At less than 1 m of depth, pools were often dimmer than terrestrial habitats under starlight. Soil particle size distribution in each region affected spectral light environments, and behavioral responses of field-caught shrimp were adapted to the spectral properties of their region. The results suggest that branchiopods predominantly use luminance vision summed from multiple spectral photoreceptor classes for depth selection in dim, spectrally variable environments. The neuroanatomical basis for summation is described in a companion paper.",2018,10.1242/jeb.165878,221,10,NA,jeb165878,Pancrustacea; Behavior; Color vision; Electroretinography; Opsin
article,Multiscale flow between the branches and polyps of gorgonians,"Hamlet, Christina L. and Strickland, W. Christopher and Battista, Nicholas and Miller, Laura A.",JOURNAL OF EXPERIMENTAL BIOLOGY,"Gorgonians, including sea fans, are soft corals well known for their elaborate branching structure and how they sway in the ocean. This branching structure can modify environmental flows to be beneficial for feeding in a particular range of velocities and, presumably, for a particular size of prey. As water moves through the elaborate branches, it is slowed, and recirculation zones can form downstream of the colony. At the smaller scale, individual polyps that emerge from the branches expand their tentacles, further slowing the flow. At the smallest scale, the tentacles are covered in tiny pinnules where exchange occurs. In this paper, we quantified the gap to diameter ratios for various gorgonians at the scale of the branches, the polyp tentacles and the pinnules. We then used computational fluid dynamics to determine the flow patterns at all three levels of branching. We quantified the leakiness between the branches, tentacles and pinnules over the biologically relevant range of Reynolds numbers and gap-to-diameter ratios, and found that the branches and tentacles can act as either leaky rakes or solid plates depending upon these dimensionless parameters. The pinnules, in contrast, mostly impede the flow. Using an agent-based modeling framework, we quantified plankton capture as a function of the gap-to -diameter ratio of the branches and the Reynolds number. We found that the capture rate depends critically on both morphology and Reynolds number. The results of the study have implications for how gorgonians modify ambient flows for efficient feeding and exchange.",2023,10.1242/jeb.244520,226,5,NA,jeb244520,Gorgonian; Computational fluid dynamics; Feeding flows; Sea fans
article,Zebrafish larvae evade predators by sensing water flow,"Stewart, William J. and Cardenas, Gilberto S. and McHenry, Matthew J.",JOURNAL OF EXPERIMENTAL BIOLOGY,"The ability of fish to evade predators is central to the ecology and evolution of a diversity of species. However, it is largely unclear how prey fish detect predators in order to initiate their escape. We tested whether larval zebrafish (Danio rerio) sense the flow created by adult predators of the same species. When placed together in a cylindrical arena, we found that larvae were able to escape 70\% of predator strikes (mean escape probability P-escape=0.7, N=13). However, when we pharmacologically ablated the flow-sensitive lateral line system, larvae were rarely capable of escape (mean P-escape=0.05, N=11). In order to explore the rapid events that facilitate a successful escape, we recorded freely swimming predators and prey using a custom-built camera dolly. This device permitted two-dimensional camera motion to manually track prey and record their escape response with high temporal and spatial resolution. These recordings demonstrated that prey were more than 3 times more likely to evade a suction-feeding predator if they responded before (P-escape=0.53, N=43), rather than after (P-escape=0.15, N=13), a predator's mouth opened, which is a highly significant difference. Therefore, flow sensing plays an essential role in predator evasion by facilitating a response prior to a predator's strike.",2013,10.1242/jeb.072751,216,3,388-398,NA,lateral line system; bow wave; startle response; predator-prey interaction; suction feeding; zebrafish; larvae
article,Structure and function of the nervous system in nectophores of the siphonophore <i>Nanomia bijuga</i>,"Norekian, Tigran P. and Meech, Robert W.",JOURNAL OF EXPERIMENTAL BIOLOGY,"Although the bell-shaped nectophores of the siphonophore Nanomia bijuga are clearly specialized for locomotion, their complex neuroanatomy described here testifies to multiple subsidiary functions. These include secretion, by the extensively innervated `flask cells' located around the bell margin, and protection, by the numerous nematocytes that line the nectophore's exposed ridges. The main nerve complex consists of a nerve ring at the base of the bell, an adjacent column-shaped matrix plus two associated nerve projections. At the top of the nectophore the upper nerve tract appears to have a sensory role; on the lower surface a second nerve tract provides a motor input connecting the nectophore with the rest of the colony via a cluster of nerve cells at the stem. N. bijuga is capable of both forward and backward jet-propelled swimming. During backwards swimming the water jet is redirected by the contraction of the Claus' muscle system, part of the muscular velum that fringes the bell aperture. Contractions can be elicited by electrical stimulation of the nectophore surface, even when both upper and lower nerve tracts have been destroyed. Epithelial impulses elicited there, generate slow potentials and action potentials in the velum musculature. Slow potentials arise at different sites around the bell margin and give rise to action potentials in contracting Claus' muscle fibres. A synaptic rather than an electrotonic model more readily accounts for the time course of the slow potentials. During backward swimming, isometrically contracting muscle fibres in the endoderm provide the Claus' fibres with an immobile base.",2020,10.1242/jeb.233494,223,24,NA,jeb233494,Anti-tubulin antibody; Epithelial conduction; Intracellular recording; Nervous system; Swimming behaviour; Unstriated muscle fibres
