type,title,authors,journal,abstract,year,doi,volume,issue,pages,article_number,keywords
article,Thermoprotective properties of <i>Opuntia ficus-indica</i> f. <i>inermis</i> cladodes and mesocarps on sheep lymphocytes,"Slimen, Imen Belhadj and Chabaane, Hanene and Chniter, Mohamed and Mabrouk, Mahmoud and Ghram, Adbeljelil and Miled, Khaled and Behi, Imen and Abderrabba, Manef and Najar, Taha",JOURNAL OF THERMAL BIOLOGY,"This study aims to investigate the thermoprotective properties of Optmtia ficus-indica f. inermis. Extracts were prepared from cladodes (CE) and mesocarps (ME), then subjected to a spectrophotometric and LC-MS analyses. Lymphocytes were isolated from peripheral blood of non-stressed sheep, supplemented with CE, ME, betanin or alpha-tocopherol, and subjected to two thermal treatments: 40 and 41 degrees C, for 6h. Viable lymphocytes and H2O2 production were evaluated. The antioxidant activity of ME was 3.43 folds higher than CE. The LC-MS analysis of CE and ME allowed identifying 11 phenolic acids, 2 flavanones, 6 flavones, 3 flavonols and 1 betanin type betacyanin. Lymphocytes mortality increased linearly as function of the severity and the duration of heat stress. This mortality was correlated with H2O2 production. At 41 degrees C, only ME allowed maintaining lymphocytes viability. Moreover, ME was more efficient than CE in reducing H2O2 production. This thermoprotection was ensured by betaxanthin and betacyanin pigments. Interestingly, betanin was more efficient than a-tocopherol in preventing hyperthermia-induced lymphocytes' mortality. We report here for the first time the thermoprotective properties of cladodes and mesocarps of Opuntia ficusindica f. inermis. Betanin was able to maintain lymphocyte viability through reducing H2O2 production, and therefore the oxidative-induced heat stress.",2019,10.1016/j.jtherbio.2019.02.018,81,NA,73-81,NA,Heat stress; Opuntia ficus-indica; Lymphocytes; Betalains; H2O2
article,Higher environmental temperatures promote acceleration of spermatogenesis <i>in</i> <i>vivo</i> in mice (<i>Mus musculus</i>),"Costa, Guilherme M. J. and Lacerda, Samyra M. S. N. and Figueiredo, Andre F. A. and Leal, Marcelo C. and Rezende-Neto, Jose V. and Franca, Luiz R.",JOURNAL OF THERMAL BIOLOGY,"Temperature is considered a crucial modulator of reproductive activity and testis homeostasis. It is well known that elevated temperatures cause several effects on testicular components, particularly on germ cells, which might lead to the impairment of spermatogenesis and loss of male fertility. The present study aimed to evaluate the effects of different environmental temperatures on several morphofunctional testis parameters, with emphasis on duration of spermatogenesis and spermatogenic efficiency. Thirty sexually mature Swiss mice (Mus musculus) were allocated in three different experimental groups, being kept in vivarium for three weeks at 16 degrees C, 23 degrees C (control group) and 32 degrees C. In order to estimate the duration of spermatogenesis, three animals per each group received intraperitoneal injections of tritiated thymidine and the testes were perfused-fixed and routinely processed for histological, morphometrical and immunoperoxidase analyses. Although the lower temperature (16 degrees C) did not change most of the evaluated testicular parameters, our findings showed that higher environmental temperature (32 degrees C) is able to alter important testis parameters, resulting for instance in acceleration of spermatogenesis, alterations in the stages frequencies, increased number of germ and Leydig cells apoptosis and reduced Sertoli cell and spermatogenic efficiencies. As in many conditions infertile men exhibit higher mean scrotal temperature, we believe that experimental studies with mice involving temperature might represent an interesting approach to better understand the mechanisms related to human testis function and sperm production.",2018,10.1016/j.jtherbio.2018.07.010,77,NA,14-23,NA,Temperature; Spermatogenesis; Germ cell pace; Male fertility; Sperm production
article,Recognition of mite-infested brood by honeybee (<i>Apis mellifera</i>) workers may involve thermal sensing,"Bauer, Daniel and Wegener, Jakob and Bienefeld, Kaspar",JOURNAL OF THERMAL BIOLOGY,"Hygienic behavior, i.e. the removal of diseased or damaged brood by worker honey bees (Apis mellifera), is seen as one of the principal behavioral elements of this species' social immunity. Identification of the stimuli that trigger it would be helpful in searching for biochemical and molecular markers of this important breeding trait. While many studies at the genomic, transcriptomic, and behavioral level have pointed to the implication of chemical cues, we here hypothesized that thermal cues are alternatively/additionally involved. To test this hypothesis, we first measured whether infestation by the mite Varroa destructor (a condition known to induce hygienic behavior) leads to a thermal gradient between affected and unaffected brood. We found that infested brood cells were between 0.03 and 0.19 degrees C warmer than uninfested controls. Next, we tested whether artificially heating an area of a brood comb would increase the removal of infested or uninfested brood as compared to an unheated control area, and found that this was not the case. Finally, we investigated whether the heating of individual brood cells, as opposed to comb areas, would influence brood removal from cells adjacent to the heated one. This was the case for uninfested, though not for infested cells. We conclude that infestation by V. destructor leads to a heating of brood cells that should be perceivable by bees, and that small-scale temperature gradients can influence brood removal. This makes it appear possible that thermal cues play a role in triggering hygienic behavior of honey bees directed at varroa-infested larvae/pupae, although our results are insufficient to prove such an involvement.",2018,10.1016/j.jtherbio.2018.04.012,74,NA,311-316,NA,Varroa destructor; Uncapping; Thermography; Gradient sensing
article,Ambient temperatures differently influence colour morphs of the leaf beetle <i>Chrysomela lapponica</i>: Roles of thermal melanism and developmental plasticity,"Zverev, Vitali and Kozlov, V, Mikhail and Forsman, Anders and Zvereva, Elena L.",JOURNAL OF THERMAL BIOLOGY,"We asked whether ambient temperatures can affect morph frequencies within a subarctic population of the polymorphic leaf beetle Chrysomela lapponica through thermal melanism and/or developmental plasticity. Body temperature increased faster in beetles of dark morph than in beetles of light morph under exposure to artificial irradiation. Dark males ran faster than light males in both field and laboratory experiments, and this difference decreased with increasing ambient air temperature, from significant at 10 degrees C to non-significant at 20 degrees C and 26 degrees C. On cold days (6-14 degrees C), significantly more dark males than light males were found on their host plants in copula (40.8\% and 27.3\% respectively); on warm days (15-22 degrees C) this difference disappeared. Light females produced twice as many eggs as dark females; this difference did not depend on the ambient temperature. The proportion of dark morphs in the progenies of pairs with one dark parent was twice as high as that in the progenies of pairs in which both parents were light, and this proportion was greater when larvae developed at low (10 and 15 degrees C) than at high (20 and 25 degrees C) temperatures. We conclude that low temperatures may increase the frequencies of dark morphs in degrees C. lapponica populations due to both the mating advantages of dark males over light males and developmental plasticity. Variation in frequencies of low-fecund dark morphs in the population, caused by among-year differences in temperature together with density-dependent selection, may contribute to the evolutionary dynamics of the colour polymorphism and may influence abundance fluctuations in these leaf beetle populations.",2018,10.1016/j.jtherbio.2018.03.019,74,NA,100-109,NA,Chrysomelidae; Colour polymorphism; Fecundity; Locomotory activity; Mating success; Phenotypic plasticity
article,Lower critical temperature and cold-induced thermogenesis of lean and overweight humans are inversely related to body mass and basal metabolic rate,"Nahon, Kimberly J. and Boon, Mariette R. and Doornink, Fleur and Jazet, Ingrid M. and Rensen, Patrick C. N. and Abreu-Vieira, Gustavo",JOURNAL OF THERMAL BIOLOGY,"It is colloquially stated that body size plays a role in the human response to cold, but the magnitude and details of this interaction are unclear. To explore the inherent influence of body size on cold-exposed metabolism, we investigated the relation between body composition and resting metabolic rate in humans at thermoneutrality and during cooling within the nonshivering thermogenesis range. Body composition and resting energy expenditure were measured in 20 lean and 20 overweight men at thermoneutrality and during individualized cold exposure. Metabolic rates as a function of ambient temperature were investigated considering the variability in body mass and composition. We observed an inverse relationship between body size and the lower critical temperature (LCT), i.e. the threshold where thermoneutrality ends and cold activates thermogenesis. LCT was higher in lean than overweight subjects (22.1 +/- 0.6 vs 19.5 +/- 0.5 degrees C, p < 0.001). Below LCT, minimum conductance was identical between lean and overweight (100 +/- 4 vs 97 +/- 3 kcal/degrees C/day respectively, p = 0.45). Overweight individuals had higher basal metabolic rate (BMR) explained mostly by the higher lean mass, and lower cold-induced thermogenesis (CIT) per degree of cold exposure. Below thermoneutrality, energy expenditure did not scale to lean body mass. Overweight subjects had lower heat loss per body surface area (44.7 +/- 1.3 vs 54.7 +/- 2.3 kcal/degrees C/m(2)/day, p < 0.001). We conclude that larger body sizes possessed reduced LCT as explained by higher BMR related to more lean mass rather than a change in whole-body conductance. Thus, larger individuals with higher lean mass need to be exposed to colder temperatures to activate CIT, not because of increased insulation, but because of a higher basal heat generation. Our study suggests that the distinct effects of body size and composition on energy expenditure should be taken in account when exploring the metabolism of humans exposed to cold.",2017,10.1016/j.jtherbio.2017.08.006,69,NA,238-248,NA,Body composition; Energy expenditure; Cold exposure; Thermoneutrality; Resting metabolic rate; Body weight; Brown adipose tissue
article,Thermoregulatory responses of Holstein cows exposed to experimentally induced heat stress,"Ferrazza, Rodrigo de Andrade and Mogollon Garcia, Henry David and Vallejo Aristizabal, Viviana Helena and Nogueira, Camilla de Souza and Verissimo, Cecilia Jose and Sartori, Jose Roberto and Sartori, Roberto and Pinheiro Ferreir, Joao Carlos",JOURNAL OF THERMAL BIOLOGY,"Heat stress (HS) adversely influences productivity and welfare of dairy cattle. We hypothesized that the thermoregulatory mechanisms vary depending on the exposure time to HS, with a cumulative effect on the adaptive responses and thermal strain of the cow. To identify the effect of HS on adaptive thermoregulatory mechanisms and predictors of caloric balance, Holstein cows were housed in climate chambers and randomly distributed into thermoneutral (TN; n= 12) or HS (n= 12) treatments for 16 days. Vaginal temperature (VT), rectal temperature (Tre), respiratory rate (RR), heart rate (HR), and dry matter intake (DMI) were measured. The temperature and humidity under TN were 25.9 +/- 0.2 degrees C and 73.0 +/- 0.8\%, respectively, and under HS were 36.3 +/- 0.3 degrees C and 60.9 +/- 0.9\%, respectively. The RR of the HS cows increased immediately after exposure to heat and was higher (76.02 +/- 1.70 bpm, p < 0.001) than in the TN (39.70 +/- 0.71 bpm). An increase in Tre (39.87 +/- 0.07 degrees C in the HS vs. 38.56 +/- 0.03 degrees C in the TN, p < 0.001) and in VT (39.82 +/- 0.10 degrees C in the HS vs. 38.26 +/- 0.03 degrees C in the TN, p < 0.001) followed the increase in RR. A decrease (p < 0.05) in HR occurred in the HS (62.13 +/- 0.99 bpm) compared with the TN (66.23 +/- 0.79 bpm); however, the magnitude of the differences was not the same over time. The DMI was lower in HS cows from the third day (8.27 +/- 0.33 kg d(-1) in the HS vs. 14.03 +/- 0.29 kg d(-1) in the TN, p < 0.001), and the reduction of DMI was strongly affected (r= -0.65) by changes in the temperature humidity index. The effect of environmental variables from the previous day on physiological parameters and DMI was more important than the immediate effect, and ambient temperature represented the most determinant factor for heat exchange. The difference in the responses to acute and chronic exposure to HS suggests an adaptive response. Thus, intense thermal stress strongly influence thermoregulatory mechanisms and the acclimation process depend critically on heat exposure time.",2017,10.1016/j.jtherbio.2017.03.014,66,NA,68-80,NA,Hyperthermia; Thermoregulation; Thermal index; Acclimation; Climate chamber; Bos taurus
article,Changes in systolic arterial pressure variability are associated with the decreased aerobic performance of rats subjected to physical exercise in the heat,"Mueller-Ribeiro, Flavia C. and Wanner, Samuel P. and Santos, Weslley H. M. and Malheiros-Lima, Milene R. and Fonseca, Ivana A. T. and Coimbra, Candido C. and Pires, Washington",JOURNAL OF THERMAL BIOLOGY,"Enhanced cardiovascular strain is one of the factors that explains degraded aerobic capacity in hot environments. The cardiovascular system is regulated by the autonomic nervous system, whose activity can be indirectly evaluated by analyzing heart rate variability (HRV) and systolic arterial pressure (SAP) variability. However, no study has addressed whether HRV or SAP variability can predict aerobic performance during a single bout of exercise. Therefore, this study aimed to investigate whether there is an association between cardiovascular variability and performance in rats subjected to treadmill running at two ambient temperatures. In addition, this study investigated whether the heat-induced changes in cardiovascular variability and reductions in performance are associated with each other. Male Wistar rats were implanted with a catheter into their carotid artery for pulsatile blood pressure recordings. After recovery from surgery, the animals were subjected to incremental-speed exercise until they were fatigued under temperate (25 degrees C) and hot (35 degrees C) conditions. Impaired performance and exaggerated cardiovascular responses were observed in the hot relative to the temperate environment. Significant and negative correlations between most of the SAP variability components (standard deviation, variance, very low frequency {[}VLF], and low frequency [}LF]) at the earlier stages of exercise and total exercise time were observed in both environmental conditions. Furthermore, the heat-induced changes in the sympathetic components of SAP variability (VLF and LF) were associated with heat-induced impairments in performance. Overall, the results indicate that SAP variability at the beginning of exercise predicts the acute performance of rats. Our findings also suggest that heat impairments in aerobic performance are associated with changes in cardiovascular autonomic control.",2017,10.1016/j.jtherbio.2016.11.006,63,NA,31-40,NA,Fatigue; Hot environment; Parasympathetic activity; Sympathetic activity; Sympathovagal balance; Treadmill running
article,Thermal fluctuation within nests and predicted sex ratio of Morelet's Crocodile,"Escobedo-Galvan, Armando H. and Lopez-Luna, Marco A. and Cupul-Magana, Fabio G.",JOURNAL OF THERMAL BIOLOGY,"Understanding the interplay between thermal variations and sex ratio in reptiles with temperature dependent sex determination is the first step for developing long-term conservation strategies. In case of crocodilians, the information is fragmentary and insufficient for establishing a general framework to consider how thermal fluctuation influence sex determination under natural conditions. The main goal of this study was to analyze thermal variation in nests of Crocodylus moreletii and to discuss the potential implications for predicting offspring sex ratio. The study was carried out at the Centro de Estudios Tecnologicos del Mar N degrees 2 and at the Sistemas Productivos Cocodrilo, Campeche, Mexico. Data was collected in the nesting season of Morelet's Crocodiles during three consecutive seasons (2007-2009). Thermal fluctuations for multiple areas of the nest chamber were registered by data loggers. We calculate the constant temperature equivalent based on thermal profiles among nests to assess whether there are differences between the nest temperature and its equivalent to constant temperature. We observed that mean nest temperature was only different among nests, while daily thermal fluctuations vary depending on the depth position within the nest chamber, years and nests. The constant temperature equivalent was different among and within nests, but not among survey years. We observed differences between constant temperature equivalent and mean nest temperature both at the top and in the middle of the nest cavities, but were not significantly different at the bottom of nest cavities. Our results enable examine and discuss the relevance of daily thermal fluctuations to predict sex ratio of the Morelet's Crocodile. (C) 2016 Elsevier Ltd. All rights reserved.",2016,10.1016/j.jtherbio.2016.03.006,58,NA,23-28,NA,Climate change; Crocodylus moreletii; Reptiles; Reproductive ecology; Temperature-dependent sex determination
article,An instantaneous approach for determining the infrared emissivity of swine surface and the influencing factors,"Zhang, Kun and Jiao, Leizi and Zhao, Xiande and Dong, Daming",JOURNAL OF THERMAL BIOLOGY,"Infrared thermal imaging technology has been widely employed in temperature measurements of human and animals and its accuracy relies on the determination process of the emissivity of the target to a large extent. However, common used methods were unable to determine the emissivity of the surface of living animals and thus lower the accuracy. In this paper, we suggested a new approach to acquire the infrared emissivity of living swine in real time. In the approach, the surface temperature of swine and reference body were measured to compute the emissivity and the measurement process was completed in a non contact and non-invasive manner. We changed the surface reflection energy of animals and reference body by changing the ambient radiant energy and obtain the surface emissivity in real time without confirming the actual temperature of animal surface. In this way, the infrared emissivity of the animal surface can be determined instantaneously and without knowing the real temperature. Both swine specimen and a living swine were used in this study. Using this method, we measured the emissivity of different body sites of the swine. The results showed that the emissivity values at different body sites show the significant differences. The emissivity values at trotter and eye were respectively 0.895 and 0.930 and the emissivity on swine surface varied from 0.945 to 0.978. More important, the distribution of the infrared emissivity on a living swine was explored and the detailed differences of the emissivity on a swine surface can be cleanly seen. Furthermore, we studied the influencing factors on the emissivity of animal surface, through measuring the emissivity distribution on swine surface when pig specimens were sprayed with water on the surface or heated using this method. This study is of great significance for the accurate measurement of swine surface temperature. (C) 2016 Elsevier Ltd. All rights reserved.",2016,10.1016/j.jtherbio.2016.03.003,57,NA,78-83,NA,Infrared; Emissivity; Swine; Temperature
article,A protocol for analysing thermal stress in insects using infrared thermography,"Gallego, Belen and Verdu, Jose R. and Carrascal, Luis M. and Lobo, Jorge M.",JOURNAL OF THERMAL BIOLOGY,"The study of insect responses to thermal stress has involved a variety of protocols and methodologies that hamper the ability to compare results between studies. For that reason, the development of a protocol to standardize thermal assays is necessary. In this sense, infrared thermography solves some of the problems allowing us to take continuous temperature measurements without handling the individuals, an important fact in cold-blooded organisms like insects. Here, we present a working protocol based on infrared thermography to estimate both cold and heat thermal stress in insects. We analyse both the change in the body temperature of individuals and their behavioural response. In addition, we used partial least squares regression for the statistical analysis of our data, a technique that solves the problem of having a large number of variables and few individuals, allowing us to work with rare or endemic species. To test our protocol, we chose two species of congeneric, narrowly distributed dung beetles that are endemic to the southeastern part of the Iberian Peninsula. With our protocol we have obtained five variables in the response to cold and twelve in the response to heat. With this methodology we discriminate between the two flightless species of Jekelius through their thermal response. In response to cold, Jekelius hernandezi showed a higher rate of cooling and reached higher temperatures of stupor and haemolymph freezing than Jekelius punctatolineatus. Both species displayed similar thermoregulation ranges before reaching lethal body temperature with heat stress. Overall, we have demonstrated that infrared thermography is a suitable method to assess insect thermal responses with a high degree of sensitivity, allowing for the discrimination between closely related species. (C) 2016 Elsevier Ltd. All rights reserved.",2016,10.1016/j.jtherbio.2015.12.006,56,NA,113-121,NA,Body temperature; Thermal limits; Thermoregulation; Partial least squares; Jekelius
