type,title,authors,journal,abstract,year,doi,volume,issue,pages,article_number,keywords
article,Effect of stress on female-specific ornamentation,"Weiss, Stacey L. and Mulligan, Emily E. and Wilson, Dawn S. and Kabelik, David",JOURNAL OF EXPERIMENTAL BIOLOGY,"Signal honesty is theorized to be maintained by condition-dependent trait expression. However, the mechanisms mediating the condition dependence of sexually selected traits are often unknown. New work suggests that elevated glucocorticoid levels during physiological stress may play a role in maintaining signal honesty. Here, we experimentally examine the effect of both chronic and acute stress on the expression of the condition-dependent ornamentation of female striped plateau lizards, Sceloporus virgatus. Females were stressed either chronically via corticosterone implants or relatively acutely via autotomy, were sham manipulated or were left unmanipulated. Both stressors resulted in elevations in corticosterone within physiologically relevant levels, though the implants resulted in significantly higher levels than did autotomy. Corticosterone-implanted females were less likely to produce a clutch of eggs, but those individuals that did reproduce had reproductive output similar to that of females from other treatment groups. Compared with females in other groups, the corticosterone-implanted females tended to develop smaller ornaments that had less UV and orange-to-red wavelength reflectance relative to medium wavelength reflectance. The sex steroid hormones testosterone and estradiol were correlated to corticosterone levels, but did not appear to underlie the effect on ornament expression; of the steroids measured, only corticosterone levels were negatively related to ornament size and coloration. Thus, the condition-dependent ornamentation of female lizards is sensitive to chronic elevations in stress hormones, supporting their importance in the maintenance of signal honesty.",2013,10.1242/jeb.080937,216,14,2641-2647,NA,autotomy; corticosterone; reproductive suppression; Sceloporus; sex steroids; sexual selection
article,Novel muscle and connective tissue design enables high extensibility and controls engulfment volume in lunge-feeding rorqual whales,"Shadwick, Robert E. and Goldbogen, Jeremy A. and Potvin, Jean and Pyenson, Nicholas D. and Vogl, A. Wayne",JOURNAL OF EXPERIMENTAL BIOLOGY,"Muscle serves a wide variety of mechanical functions during animal feeding and locomotion, but the performance of this tissue is limited by how far it can be extended. In rorqual whales, feeding and locomotion are integrated in a dynamic process called lunge feeding, where an enormous volume of prey-laden water is engulfed into a capacious ventral oropharyngeal cavity that is bounded superficially by skeletal muscle and ventral groove blubber (VGB). The great expansion of the cavity wall presents a mechanical challenge for the physiological limits of skeletal muscle, yet its role is considered fundamental in controlling the flux of water into the mouth. Our analyses of the functional properties and mechanical behaviour of VGB muscles revealed a crimped microstructure in an unstrained, non-feeding state that is arranged in parallel with dense and straight elastin fibres. This allows the muscles to accommodate large tissue deformations of the VGB yet still operate within the known strain limits of vertebrate skeletal muscle. VGB transverse strains in routine-feeding rorquals were substantially less than those observed in dead ones, where decomposition gas stretched the VGB to its elastic limit, evidence supporting the idea that eccentric muscle contraction modulates the rate of expansion and ultimate size of the ventral cavity during engulfment.",2013,10.1242/jeb.081752,216,14,2691-2701,NA,ventral groove blubber; collagen; elastin; muscle morphology; Balaenopteridae
article,A comparison of two methods for estimating critical swimming speed (<i>U</i><sub>crit</sub>) in larval fathead minnows: the laminar flow assay and the spinning task assay,"Krzykwa, Julie C. and Lamanteer, Gabriella S. and Jeffries, Marlo K. Sellin",JOURNAL OF EXPERIMENTAL BIOLOGY,"Critical swimming speed (U-crit) is considered a good predictor of swimming capabilities in fish. To estimate U-crit, a fish is exposed to an incrementally increasing laminar flow of water until it cannot maintain its position against the current. The spinning task assay has been proposed as an alternative method to traditional laminar flow methods; however, these methods have not been directly compared. Thus, the goal of this study was to determine whether the spinning task assay is a suitable alternative to traditional laminar flow assays. To that end, the performance of fathead minnows in each assay was compared at three time points (14, 19 and 24 days post-fertilization, dpf). In 14 dpf fish, U-crit estimates were similar regardless of the assay used. However, at 19 and 24 dpf, U-crit estimates derived from the two assay types were significantly different. This indicates that the assays are not equivalent to one another and that the spinning task assay is not a suitable alternative to the laminar flow assay for the determination of U-crit.",2021,10.1242/jeb.242856,224,24,NA,jeb242856,Swimming ability; Early life stage; Fish larvae; Cardiovascular performance
article,Infection with schistosome parasites in snails leads to increased predation by prawns: implications for human schistosomiasis control,"Swartz, Scott J. and De Leo, Giulio A. and Wood, Chelsea L. and Sokolow, Susanne H.",JOURNAL OF EXPERIMENTAL BIOLOGY,"Schistosomiasis - a parasitic disease that affects over 200 million people across the globe - is primarily transmitted between human definitive hosts and snail intermediate hosts. To reduce schistosomiasis transmission, some have advocated disrupting the schistosome life cycle through biological control of snails, achieved by boosting the abundance of snails' natural predators. But little is known about the effect of parasitic infection on predator-prey interactions, especially in the case of schistosomiasis. Here, we present the results of laboratory experiments performed on Bulinus truncatus and Biomphalaria glabrata snails to investigate: (i) rates of predation on schistosome-infected versus uninfected snails by a sympatric native river prawn, Macrobrachium vollenhovenii, and (ii) differences in snail behavior (including movement, refuge-seeking and anti-predator behavior) between infected and uninfected snails. In predation trials, prawns showed a preference for consuming snails infected with schistosome larvae. In behavioral trials, infected snails moved less quickly and less often than uninfected snails, and were less likely to avoid predation by exiting the water or hiding under substrate. Although the mechanism by which the parasite alters snail behavior remains unknown, these results provide insight into the effects of parasitic infection on predator-prey dynamics and suggest that boosting natural rates of predation on snails may be a useful strategy for reducing transmission in schistosomiasis hotspots.",2015,10.1242/jeb.129221,218,24,3962-3967,NA,Parasitism; Behavior manipulation; Biological control; Schistosoma
article,Orchestration of salivary secretion mediated by two different dopamine receptors in the blacklegged tick <i>Ixodes scapularis</i>,"Kim, Donghun and Simo, Ladislav and Park, Yoonseong",JOURNAL OF EXPERIMENTAL BIOLOGY,"Salivary secretion is crucial for successful tick feeding, and it is the mediator of pathogen transmission. Salivation functions to inhibit various components of the host immune system and remove excess water and ions during the ingestion of large blood meals. Control of salivary glands involves autocrine/paracrine dopamine, which is the most potent inducer of tick salivation. Previously, we reported the presence of two dopamine receptors in the salivary glands of the blacklegged tick (Ixodes scapularis): dopamine receptor (D1) and invertebrate specific D1-like dopamine receptor (InvD1L). Here, we investigated the different physiological roles of the dopamine receptors in tick salivary glands by using pharmacological tools that discriminate between the two distinct receptors. Heterologous expressions followed by reporter assays of the dopamine receptors identified receptor-specific antagonists and agonists. These pharmacological tools were further used to discriminate the physiological role of each receptor by using in vitro assays: measuring salivary secretions of isolated salivary glands and monitoring dynamic changes in the size of individual salivary gland acini. We propose that the D1 receptor acts on salivary gland acini epithelial cells for inward fluid transport. InvD1L controls (or modulates) each acinus for expelling saliva from the acini to the salivary ducts, presumably through the actions of myoepithelial cells and valves for pumping/gating. We conclude that dopamine acts on the D1 and the InvD1L receptors and leads different physiological actions to orchestrate tick salivary secretion.",2014,10.1242/jeb.109462,217,20,3656-3663,NA,Tick salivary secretion; Osmoregulation; G-protein-coupled receptor
article,Parallel evolution of opsin visual pigments in hawkmoths by tuning of spectral sensitivities during transition from a nocturnal to a diurnal ecology,"Akiyama, Tokiho and Uchiyama, Hironobu and Yajima, Shunsuke and Arikawa, Kentaro and Terai, Yohey",JOURNAL OF EXPERIMENTAL BIOLOGY,"Light environments differ dramatically between day and night. The transition between diurnal and nocturnal visual ecology has happened repeatedly throughout evolution in many species. However, the molecular mechanism underlying the evolution of vision in recent diurnal-nocturnal transition is poorly understood. Here, we focus on hawkmoths (Lepidoptera: Sphingidae) to address this question by investigating five nocturnal and five diurnal species. We performed RNA-sequencing analysis and identified opsin genes corresponding to the ultraviolet (UV), short-wavelength (SW) and long-wavelength (LW)-absorbing visual pigments. We found no significant differences in the expression patterns of opsin genes between the nocturnal and diurnal species. We then constructed the phylogenetic trees of hawkmoth species and opsins. The diurnal lineages had emerged at least three times from the nocturnal ancestors. The evolutionary rates of amino acid substitutions in the three opsins differed between the nocturnal and diurnal species. We found an excess number of parallel amino acid substitutions in the opsins in three independent diurnal lineages. The numbers were significantly more than those inferred from neutral evolution, suggesting that positive selection acted on these parallel substitutions. Moreover, we predicted the visual pigment absorption spectra based on electrophysiologically determined spectral sensitivity in two nocturnal and two diurnal species belonging to different clades. In the diurnal species, the LW pigments shift 10 nm towards shorter wavelengths, and the SW pigments shift 10 nm in the opposite direction. Taken together, our results suggest that parallel evolution of opsins may have enhanced the colour discrimination properties of diurnal hawkmoths in ambient light.",2022,10.1242/jeb.244541,225,23,NA,jeb244541,Parallel evolution; Visual adaptation; Opsin; Spectral sensitivity; Diurnal-nocturnal transition; Hawkmoth
article,"Effects of the juvenile hormone analogue methoprene on rate of behavioural development, foraging performance and navigation in honey bees (<i>Apis mellifera</i>)","Chang, Lun-Hsien and Barron, Andrew B. and Cheng, Ken",JOURNAL OF EXPERIMENTAL BIOLOGY,"Worker honey bees change roles as they age as part of a hormonally regulated process of behavioural development that ends with a specialised foraging phase. The rate of behavioural development is highly plastic and responsive to changes in colony condition such that forager losses, disease or nutritional stresses accelerate behavioural development and cause an early onset of foraging in workers. It is not clear to what degree the behavioural development of workers can be accelerated without there being a cost in terms of reduced foraging performance. Here, we compared the foraging performance of bees induced to accelerate their behavioural development by treatment with the juvenile hormone analogue methoprene with that of controls that developed at a normal rate. Methoprene treatment accelerated the onset of both flight and foraging behaviour in workers, but it also reduced foraging span, the total time spent foraging and the number of completed foraging trips. Methoprene treatment did not alter performance in a short-range navigation task, however. These data indicate a limitation to the physiological plasticity of bees, and a trade off between forager performance and the speed at which bees begin foraging. Chronic stressors will be expected to reduce the mean age of the foraging force, and therefore also reduce the efficiency of the foraging force. This interaction may explain why honey bee colonies react to sustained stressors with non-linear population decline.",2015,10.1242/jeb.119198,218,11,1715-1724,NA,Precocious foraging; Radio frequency identification; Life span; Homing; Stressors
article,Behavioural responses of threespine stickleback with lateral line asymmetries to experimental mechanosensory stimuli,"Planidin, Nicholas P. and Reimchen, Thomas E.",JOURNAL OF EXPERIMENTAL BIOLOGY,"Behavioural asymmetry, typically referred to as laterality, is widespread among bilaterians and is often associated with asymmetry in brain structure. However, the influence of sensory receptor asymmetry on laterality has undergone limited investigation. Here we used threespine stickleback (Gasterosteus aculeatus) to investigate the influence of lateral line asymmetry on laterality during lab simulations of three mechanosensation-dependent behaviours: predator evasion, prey localization and rheotaxis. We recorded the response of stickleback to impacts at the water surface and water flow in photic conditions and low-frequency oscillations in the dark, across four repeat trials. We then compared individuals' laterality with asymmetry in the number of neuromasts on either side of their body. Stickleback hovered with their right side against the arenawall 57\% of the time (P<0.001) in illuminated surface impact trials and 56\% of the time (P=0.085) in dark low-frequency stimulation trials. Light regime modulated the effect of neuromast count on laterality, as fish with more neuromasts were more likely to hover with the wall on their right during illumination (P=0.007) but were less likely to do so in darkness (P=0.025). Population-level laterality diminished in later trials across multiple behaviours and individuals did not show a consistent side bias in any behaviours. Our results demonstrate a complex relationship between sensory structure asymmetry and laterality, suggesting that laterality is modulated by multiple sensory modalities and is temporally dynamic.",2022,10.1242/jeb.243661,225,2,NA,jeb243661,Laterality; Sensory receptor asymmetry; Side preference; Predator evasion; Rheotaxis; Prey localization
article,Terrestrial force production by the limbs of a semi-aquatic salamander provides insight into the evolution of terrestrial locomotor mechanics,"Kawano, Sandy M. and Blob, Richard W.",JOURNAL OF EXPERIMENTAL BIOLOGY,"Amphibious fishes and salamanders are valuable functional analogs for vertebrates that spanned the water-land transition. However, investigations of walking mechanics have focused on terrestrial salamanders and, thus, may better reflect the capabilities of stem tetrapods that were already terrestrial. The earliest tetrapods were likely aquatic, so salamanders that are not primarily terrestrial may yield more appropriate data for modeling the incipient stages of terrestrial locomotion. In the present study, locomotor biomechanics were quantified from semi-aquatic Pleurodeles waltl, a salamander that spends most of its adult life in water, and then compared with those of a primarily terrestrial salamander (Ambystoma tigrinum) and a semi-aquatic fish (Periophthalmus barbarus) to evaluate whether terrestrial locomotion was more comparable between species with ecological versus phylogenetic similarities. Ground reaction forces (GRFs) from individual limbs or fins indicated that the pectoral appendages of each taxon had distinct patterns of force production, but GRFs from the hindlimbs were comparable between the salamander species. The rate at which force is produced can affect musculoskeletal function, so we also calculated `yank' (first time derivative of force) to quantify the dynamics of GRF production. Yank was sometimes slower in P. warn but there were some similarities between the three species. Finally, the semi-aquatic taxa (P. waft/and P. barbarus) had a more medial inclination of the GRF compared to terrestrial salamanders, potentially elevating bone stresses among more aquatic taxa and limiting their excursions onto land.",2022,10.1242/jeb.242795,225,7,NA,jeb242795,Biomechanics; Ground reaction force; Terrestrial locomotion; Salamander; Fish; Yank
article,Sound production mechanism in <i>Gobius paganellus</i> (Gobiidae),"Parmentier, Eric and Kever, Loic and Boyle, Kelly and Corbisier, Yves-Eric and Sawelew, Ludovic and Malavasi, Stefano",JOURNAL OF EXPERIMENTAL BIOLOGY,"Gobiidae, the largest fish family (>1500 species), has species from at least 10 genera that produce sounds for communication. Studies focused on goby sound production mechanisms have suggested that sounds are produced by the forcible ejection of water through small apertures in the opercles (hydrodynamic mechanism). The present study was a multidisciplinary investigation (morphology, muscle histology, high-speed video, sound analysis and electromyography) of the sound emission mechanism in Gobius paganellus, which produces both pulsed and tonal calls. Two populations were used, from Brittany and Venice. In the French population, sounds were accompanied by a suite of coordinated movements of the buccal, branchial and opercular regions. This was not the case in the Venetian population, and thus the direct role of head movements in sound production was rejected. The hydrodynamic mechanism hypothesis was also rejected in G. paganellus on the basis of sound oscillogram shape and because sounds are still produced after the opercles and hyohyoid muscles are cut. The use of both electromyography and electron microscopy showed that the levator pectoralis muscle, which originates on the skull and inserts on the dorsal tip of the cleithrum, is involved in sound production. We propose that the contraction of this muscle and associated vibration of the large radials is used to make sounds. In addition, we propose that different sound types (pulsed sounds and tonal calls) could occur because of differences in fish size.",2013,10.1242/jeb.087205,216,17,3189-3199,NA,Gobiidae; sonic mechanism; sonic muscle; grunt; tonal; call
