type,title,authors,journal,abstract,year,doi,volume,issue,pages,article_number,keywords
article,Quantifying body surface temperature differences in canine coat types using infrared thermography,"Kwon, Claire J. and Brundage, Cord M.",JOURNAL OF THERMAL BIOLOGY,"Infrared thermography (IRT) has been used to assess the health of canines by measuring surface temperatures. However, little is known about the effect hair coat differences has on expected surface temperature in healthy canines under the influence of hair coat differences. The aim of this study was to identify the influence of coat characteristics in body surface temperature (BST) in canines (Canis lupus familiaris). To determine the changes in BST, an infrared thermal imaging camera (i.e. FUR B400) was used. Thermal images of the left and right sides of privately-owned dogs (n = 50) were acquired. Each animal acclimated in an indoor environment away from direct sunlight (23 +/- 2.0 degrees C) for 15 min, and images were taken at a distance 0.67 +/- 0.24 m. Regions of interest (ROIs) of mean surface temperatures were examined across the lateral surface of each animal. No statistical differences were detected based on laterality (P = 0.08). Mean BSTs were categorized by each dog's hair coat type: short coat (SC), curly coat (CC), long coat (LC), and double coat (DC). These BSTs were then analyzed using two-way analysis of variance, or ANOVA, (Shapiro-Wilk) and pairwise comparison. SC animals had the highest BST (31.77 +/- 0.19 degrees C; P < 0.001) whereas LC (28.14 +/- 0.31 degrees C; P < 0.001) and DC animals (28.25 +/- 0.23 degrees C; P < 0.001) were lower in BST. CC animals portrayed intermediate BST (29.85 +/- 0.33 degrees C; P < 0.001). The Pearson correlation and one-way ANOVA between rectal temperature and BST and coat type were not statistically significant (r = -0.24 and P = 0.07, respectively). Results indicate that short-haired dogs exhibit a more drastic increase in BST (approximately 2 degrees C) in comparison to other dogs and this should be considered in future clinical applications.",2019,10.1016/j.jtherbio.2019.03.004,82,NA,18-22,NA,Dog; Hair cat; Infrared thermography; Body surface temperature
article,Would personal cooling vest be effective for use during exercise by people with thoracic spinal cord injury?,"Mneimneh, Farah and Ghaddar, Nesreen and Ghali, Kamel and Moussalem, Charbel and Omeis, Ibrahim",JOURNAL OF THERMAL BIOLOGY,"People with thoracic spinal cord injury (SCI), named people with paraplegia (PA), are vulnerable to thermal heat stress during exercise due to disruption in their thermal physiology. Using personal cooling vests with phase change material (PCM) or ice presents a possible solution for PA to suppress the increase in core temperature and body heat storage. With the limited published experimental studies about effective cooling vest for PA, this work aims to develop an altered PA bioheat model combined with cooling vest model to study cooling vest performance during exercise. The integrated PA bioheat and vest models predict core and skin temperatures, latent and sensible heat losses and change in body heat storage for PA with and without a cooling vest. The models were validated with published experimental data on PA without the cooling vest and on PA with two cooling vests; one using PCM at melting temperature of 15 degrees C and the other using ice packets during exercise. It was observed that sensible heat losses at the four torso segments (abdomen, lower back, chest and upper back) increased with the vest case compared to the no-vest case; while, latent heat losses decreased compared to the no-vest case. However, insignificant change was seen in core temperatures and body heat storage as was also reported experimentally. The performance of each of the cooling vest during exercise on PA was dependent on skin coverage area and melting temperatures.",2019,10.1016/j.jtherbio.2019.04.004,82,NA,123-141,NA,Thoracic spinal cord injury; Paraplegia; Thermal response; Cooling vest; Bioheat model
article,Corticosterone tissue-specific response in Sprague Dawley rats under acute heat stress,"Dou, Jinhuan and Montanholi, Yuri R. and Wang, Zezhao and Li, Zhongshu and Yu, Ying and Martell, Janel E. and Wang, Ya Jing and Wang, Yachun",JOURNAL OF THERMAL BIOLOGY,"Our study evaluated the physiological responses to acute heat stress in rats via body temperature and tissue corticosterone levels, and investigated the relative tissue response to heat stress based on corticosterone. Body temperature of rats under 22 degrees C (control) and 42 degrees C for 30 (H30), 60 (H60) and 120 min (H120) was measured. Correspondingly, corticosterone was analyzed in 11 tissues (adrenal, brain, heart, kidney, liver, lung, leg muscle, blood, stomach, spleen and small intestine). Analysis of variance and correlations were conducted on body temperature and corticosterone levels. The receiver operating characteristic (ROC) analyzed the thereto-sensitivity via corticosterone. Body temperature of rats in H30, H60 and H120 groups were higher (P < 0.05) than the control. Compared to the control, corticosterone levels of heart, stomach and small intestine at H30, corticosterone levels in adrenal, leg muscle and stomach at H60, and corticosterone levels in adrenal, heart, lung, stomach and small intestine at H120 differed (P < 0.05). The corticosterone in lung tissue was an excellent indicator of acute heat stress, with an area under the curve (AUC) of 1.00 at H60 and H120. In order to improve the prediction of acute heat stress, models combining corticosterone levels of multiple tissues reached an AUC of 1.00 for H30, and the sensitivity increased to 100\% for H60 and H120. In conclusion, changes in the patterns and thermosensitivity of corticosterone levels associated with the duration of heat stress across body tissues were evidenced. The single and multi-organizational corticosterone models serve as indicators for evaluating heat stress across different time periods.",2019,10.1016/j.jtherbio.2019.02.004,81,NA,12-19,NA,Adrenal; Biochemical indicators; Body temperature; Heat sensitivity analysis; Lung; Stomach
article,Thermal refuge affects space use and movement of a large-bodied galliform,"Rakowski, Allison E. and Elmore, R. Dwayne and Davis, Craig A. and Fuhlendorf, Samuel D. and Carroll, J. Matthew",JOURNAL OF THERMAL BIOLOGY,"Temperature affects every organism on Earth and has been argued to be one of the most critical factors influencing organisms' ecology and evolution. Most organisms are susceptible to landscape temperature ranges that exceed their thermal tolerance. As a result, the distribution of landscape features that mitigate thermal extremes can affect movement and space use of organisms. Using Rio Grande wild turkey (Meleagris gallopavo intermedia) as a model species, we measured black bulb temperature throughout the diurnal period and identified vegetation characteristics at wild turkey locations and random landscape locations. We observed that the thermal landscape was highly heterogeneous with temperature varying up to 52 degrees C at a given ambient temperature. Vegetation type strongly influenced temperature across space during daily peak heating, with taller vegetation types (woody vegetation > 2 m) having mean temperatures up to 8.95 degrees C cooler than the remainder of the landscape. However, these cooler vegetation types were uncommon, only accounting for 8.2\% of the landscape. Despite the rarity of tall woody cover, wild turkey showed strong selection for this vegetation type particularly during peak daily heating with 74.9\% of locations within 18 m of tree cover. Not only did wild turkey alter space use across time relative to temperature variation, but they also altered movement. We found that on the hottest days ( >= 35 degrees C), wild turkeys decreased movement by three fold during peak heating, while movement on cooler days ( < 30 degrees C) was uniform. Collectively, our data provide evidence that space use and movement for large avian species can be influenced by the thermal environment, and that the thermal environment is an important component of habitat for a species.",2019,10.1016/j.jtherbio.2018.12.024,80,NA,37-44,NA,Black bulb temperature; Heterogeneity; Landscape; Meleagris gallopavo; Microclimate; Operative temperature; Rio Grande wild turkey; Thermal ecology
article,Susceptibility to entomopathogens and modulation of basal immunity in two insect models at different temperatures,"Mastore, Maristella and Quadroni, Silvia and Toscano, Andrea and Mottadelli, Nicole and Brivio, Maurizio F.",JOURNAL OF THERMAL BIOLOGY,"In this work, we analysed the efficacy of different commercial bio-insecticides (Steinernema feltiae, Steinernema carpocapsae, Heterorhabditis bacteriophora and Bacillus thuringiensis) by valuating the mortality induced on two insect models, Galleries mellonella (Lepidoptera) and Sarcophaga africa (Diptera) after exposure to different temperatures (10, 20 and 30 degrees C). Moreover, we investigated the effects of temperature on the basal humoral immunity of the two target insects; particularly, phenoloxidase (PO) and lysozyme activity. Our results show that G. mellonella is susceptible to all bio-insecticides at all the examined temperatures, except when infected at 10 degrees C with S. carpocapsae and at 30 degrees C with S. feltiae and B. thuringiensis. S. africa is more susceptible at 30 degrees C to all bioinsecticides; whereas, when infected at 10 and 20 degrees C, H. bacteriophora is the most efficient. Temperature modulates PO activity of both G. mellonella and S. africa, otherwise variations in lysozyme activity is observed only in G. mellonella. Except for a possible correlation between the increased lysozyme activity and the delayed Bt efficacy recorded on G. mellonella at 30 degrees C, a different resistance to bio-insecticides at different temperatures does not seem to be associated to variations of the host basal immunity, probably due to immunoevasive and immunodepressive strategies of these entomopathogens.",2019,10.1016/j.jtherbio.2018.11.006,79,NA,15-23,NA,Insect immunity; Entomopathogen nematodes; Bacillus thuringiensis; Temperature
article,Gastrointestinal thermal homogeneity and effect of cold water ingestion,"Roxane, Beaufils and Chandrou, Koumar Ouma and Alexandre, Chapon Pierre and Christophe, Chesneau and Bruno, Sesboue and Stephane, Besnard and Herve, Normand and Sebastien, Moussay and Nicolas, Bessot",JOURNAL OF THERMAL BIOLOGY,"Purpose: Gastrointestinal temperature (GIT) is a common alternative for body core temperature (CT) monitoring via an ingestible pill connected to an external monitor. However, its reliability could depend on thermal homogeneity, regardless of the gastrointestinal tract location. The purpose of this study was to evaluate GIT variation during the transit of telemetric pills and the impact of cold drink ingestion compared to the time point of pill intake. Methods: Twenty-three healthy participants ingested six e-Celsius electronic pills, one every five hours, and they ingested 150 milliliters of cold water (5 +/- 1 degrees C) 1, 2, 3, 4, 8, and 12 h following the first pill ingestion. Results: The recorded temperature remained similar between pills consecutively ingested by each subject, regardless of the internal location within the gastrointestinal tract, supporting the homogeneity of GIT. GIT monitoring was significantly affected by ingestion of a cold drink two hours (-0.8 +/- 0.2 degrees C; p = 0.001) and three hours following pill ingestion (-0.9 +/- 0.2 degrees C; p < 0.001) in all subjects, and abnormal drops in GIT were observed in 22\% of subjects up to twelve hours following pill ingestion. Conclusion: Temperature may be considered homogenous all along the internal intestinal tract and correlates with CT, supporting telemetric monitoring as an efficient method for monitoring temperature. The interaction between GIT measurements and substance intake has to be taken into account. To avoid the effect of substance ingestion on CT data, we recommend users to employ the pill as a rectal suppository or to mark every substance ingestion time and/or allow only tepid water and food intake.",2018,10.1016/j.jtherbio.2018.10.002,78,NA,204-208,NA,Core temperature; Ingestible sensors; Fluid ingestion; Gastrointestinal tract; Telemetric pill
article,"Circadian rhythms of body temperature and locomotor activity in the antelope ground squirrel, <i>Ammospermophilus leucurus</i>","Refinetti, Roberto and Kenagy, G. J.",JOURNAL OF THERMAL BIOLOGY,"We studied circadian rhythms of body temperature and locomotor activity in antelope ground squirrels (Ammospermophilus leucurus) under laboratory conditions of a 12L:12D light-dark cycle and in constant darkness. Antelope ground squirrels are diurnally active and, exceptionally among ground squirrels and other closely related members of the squirrel family in general, they do not hibernate. Daily oscillations in body temperature consisted of a rise in temperature during the daytime activity phase of the circadian cycle and a decrease in temperature during the nighttime rest phase. The body temperature rhythms were robust (71\% of maximal strength) with a daily range of oscillation of 4.6 degrees C, a daytime mean of 38.7 degrees C, and a nighttime mean of 34.1 degrees C (24-h overall mean 36.4 degrees C). The body temperature rhythm persisted in continuous darkness with a free-running period of 24.2 h. This pattern is similar to that of hibernating species of ground squirrels but with a wave form more similar to that of non-hibernating rodents. Daily oscillations in body temperature were correlated with individual bouts of activity, but daytime temperatures were higher than nighttime temperatures even when comparing short episodes of nocturnal activity that were as intense as diurnal activity. This suggests that although muscular thermogenesis associated with locomotor activity can modify the level of body temperature, the circadian rhythm of body temperature is not simply a consequence of the circadian rhythm of activity.",2018,10.1016/j.jtherbio.2018.01.001,72,NA,67-72,NA,Ammospermophilus; Body core temperature; Circadian rhythm; Locomotor activity; PIT tag thermometry
article,Do ring-necked snakes choose retreat sites based upon thermal preferences?,"Cox, Christian L. and Logan, Michael L. and Bryan, Olivia and Kaur, Darshdeep and Leung, Evan and McCormack, John and McGinn, John and Miller, Lauren and Robinson, Caroline and Salem, Jena and Scheid, Jessica and Warzinski, Tatiana and Chung, Albert K.",JOURNAL OF THERMAL BIOLOGY,"Biochemical reaction rates are highly sensitive to temperature, and the body temperatures of ectotherms covary with their immediate environment. Therefore, ectotherms should choose microhabitats that permit the maintenance of physiological function. While some previous studies have found that squamate reptiles choose retreat sites that allow them to maintain physiologically optimal body temperatures, this research has been limited in context and taxonomic scope. We sought to test these empirical patterns by studying the properties of retreat sites in the context of physiological preferences and tolerances in a population of semifossorial ring-necked snakes (Diadophis punctatus). We measured environmental temperature distributions of retreat sites, field body temperatures, thermal preferences, and both upper voluntary temperature and critical thermal minima of snakes. We found that ring-necked snakes are under larger and warmer rocks, but that body temperatures in the field do not match thermal preferences measured in the laboratory. Specifically, we found aggregated ringnecked snakes (those occurring with multiple conspecifics) select rocks providing environmental temperatures averaging 3 degrees C higher than their preferred temperature. By contrast, solitary snakes select rocks that allowed them to maintain their body temperatures very close to their preferred temperatures. These results imply that there is substantial within and among-species variation in the role of thermal considerations in retreat-site selection. Our work also highlights the complex tradeoffs between physiological and ecological requirements that organisms must navigate in heterogeneous habitats.",2018,10.1016/j.jtherbio.2017.11.020,71,NA,232-236,NA,Aggregation; Critical thermal minimum; Diadophis punctatus; Ring-necked snake; Thermal preference; Thermoregulation; Upper voluntary temperature
article,Ambient temperature and humidity modulate the behavioural thermoregulation of a small arboreal mammal (<i>Callicebus bernhardi</i>),"Lopes, Karine G. D. and Bicca-Marques, Julio Cesar",JOURNAL OF THERMAL BIOLOGY,"Maintaining a constant body temperature is critical to the proper functioning of metabolic reactions. Behavioural thermoregulation strategies may minimize the cost of energetic balance when an animal is outside its thermoneutral zone. We investigated whether ambient temperature and relative air humidity influence the use of behavioural strategies by a group of Prince Bernhard's titi monkeys (Callicebus bernhardi) living in a forest fragment. We monitored a social group composed of four individuals (an adult couple and two juveniles) for 1010 h from March to September 2015. We used the instantaneous scan sampling method to record the body posture, the microhabitat, and the occurrence of huddling with group mate(s) when animals were resting. We recorded ambient temperature and relative humidity in the shade every 10 min with a data logger hanging at a height of approximately 5 m. Daytime temperature ranged from 18.5 degrees C to 38.5 degrees C and relative humidity ranged from 21\% to 97\%. Titi monkeys avoided sunny places at higher temperatures, especially above 31 degrees C. Minimum night temperature did not influence the choice of resting microhabitats during the first hour after sunrise. Sitting was the major resting posture during the day (62\%). Titi monkeys increased the use of heat -dissipating postures at ambient temperatures > 27 degrees C. In addition, an increase in relative humidity increased the use of these postures at 26 degrees C, 27 degrees C, 29 degrees C and 33 degrees C, but caused a decrease at 24 degrees C. On the other hand, the ambient temperature did not influence the occurrence of huddling. We conclude that microhabitat choice and postural behaviour are important for titi monkeys to prevent overheating and suggest that these behavioural adjustments might also be critical for other tropical arboreal mammals.",2017,10.1016/j.jtherbio.2017.06.010,69,NA,104-109,NA,Plecturocebus bernhardi; Postural behaviour; Microhabitat selection; Resting; Huddling; Thermoneutral zone
article,"Exploration of low temperature microRNA function in an anoxia tolerant vertebrate ectotherm, the red eared slider turtle (<i>Trachemys scripta elegans</i>)","Biggar, Kyle K. and Storey, Kenneth B.",JOURNAL OF THERMAL BIOLOGY,"As a model for vertebrate long-term survival in oxygen-restricted environments, the red-eared slider turtle (Trachemys scripta elegans) can adapt at the biochemical level to survive in oxygen-free (anoxic) cold water ( < 10 degrees C). This impressive ability is enabled through a coordinated suppression of energy-expensive, nonessential, cell processes. This study explored the anoxia-responsive expression of several microRNA species (miR-1a, -133, -17, -107, -148a, -21, -103, -210, -20a, -365 and -29b) in adult turtles exposed to 5 h and 20 h anoxia (at 5 +/- 1 degrees C). Furthermore, since microRNA target binding is regularly defined only by microRNA-mRNA interactions at 37 degrees C, the possibility of unique low temperature-selective microRNA targeting interactions with mRNA was explored in this ectotherm. Approximately twice as many microRNA-mRNA interactions were predicted at 5 degrees C versus 37 degrees C with particular enrichment of mRNA targets involved in biological processes known to be part of the stress response. Hence, the results suggest that the influence of temperature should be considered for the prediction of microRNA targets (and their follow-up) in poikilothermic animals and that interacting effects of low body temperature and anoxia on microRNA expression could potentially be important to achieve the profound metabolic rate depression that characterizes turtle hibernation underwater during the winter. (C) 2016 Elsevier Ltd. All rights reserved.",2017,10.1016/j.jtherbio.2016.09.008,68,A,139-146,NA,Metabolic depression; Low oxygen survival; Hypometabolism; Hypoxia
