type,title,authors,journal,abstract,year,doi,volume,issue,pages,article_number,keywords
article,Influence of temperature on swimming performance and respiration rate of the cold-water cyclopoid copepod<i> Cyclops</i><i> vicinus</i>,"Svetlichny, Leonid and Obertegger, Ulrike",JOURNAL OF THERMAL BIOLOGY,"Little is known on the swimming activity and respiration rate of the cyclopoid copepod Cyclops vicinus. Here, the swimming speed and respiration rate of C. vicinus were measured at different temperatures using a high speed (up to 1200 frames per second) camera and a closed-system respirometry, respectively. For cruise and escape swimming, log-linear relationships were found between temperature (range 1-22 C) and duration, speed, and frequency of locomotor acts, respectively. The respiration rate of immobilized and active individuals showed log -linear relationships with temperature (range of 2-20 C) and a thermal coefficient Q10 \& AP;2 was found. The maximum respiration rate of swimming females was 7.8 and 6.4 times higher than that of immobilized in-dividuals at 2 and 20 C, respectively. To better understand how temperature affects the energy efficiency of copepod swimming, the mechanical energy of movement was estimated from sswimming speed and the meta-bolic energy was estimated from the amount of oxygen consumed during swimming. Linear relationships be-tween swimming speed and mechanical and metabolic energy, respectively, were found at all experimental temperatures. At 20 C, the maximum mechanical and metabolic energy costs for movement was 15.2 x 10-5 and 37.7 x 10-4 J h-1, respectively. In the range of 2-20 C, the mechanical energy attributed to swimming represented only a small portion (4.0-8.2\%) of the total metabolic energy. Cold-water specialization probably limited the increase of the swimming speed of C. vicinus at high temperatures compared to that of warm-water adapted species.",2022,10.1016/j.jtherbio.2022.103320,109,NA,NA,103320,Cyclopidae; Kinematic of jumps; Oxygen consumption; Energetic cost of swimming; Thermal effect
article,Evaluation of the feasibility of using skin temperature to predict overall thermal sensation in non-uniform thermal environments,"Wang, Yuemei and Chang, Haoyu and Lian, Zhiwei",JOURNAL OF THERMAL BIOLOGY,"Skin temperature is an important physiological parameter that reflects human thermal sensation. However, it is uncertain whether it can evaluate overall thermal sensation in non-uniform thermal environments. This study aims to explore the feasibility of using skin temperature to predict overall thermal sensation in non-uniform environments. The overall thermal sensation votes and skin temperatures were obtained in a non-uniform thermal environment with local cooling on the chest in a climate chamber. The predictive power of the representative skin temperature (RST) estimated from five different methods was examined by analysing its sensitivity and the correlation between the overall thermal sensation and the RST. The RSTs estimated from the 7-point method with the measurement site of trunk assigned on the chest and the 1-point method with a measurement site at the centre of the chest had high sensitivity and coefficients of determination. They could reflect overall thermal sensation in the non-uniform environments with local cooling on the chest. The results imply that skin temperature could be used to evaluate overall thermal sensation in non-uniform environments. The overall thermal sensation in non-uniform environments can be evaluated by the RST if, when determining the RST, the measuring site exposed to local cooling is involved and given a high weight.",2022,10.1016/j.jtherbio.2022.103254,106,NA,NA,103254,Non-uniform thermal environment; Skin temperature; Thermal sensation
article,Thermal ecology of Northern Water Snakes (<i>Nerodia sipedon</i>) in a northern wetland in central Michigan,"Rowe, John W. and Goerge, Tyler M. and Martin, Chelsea E. and Mulligan, William P.",JOURNAL OF THERMAL BIOLOGY,"Semi-aquatic north-temperate reptiles experience challenging environmental conditions for thermoregulation on both seasonal and daily bases. We studied the thermal biology of north-temperate Northern Water Snakes (Nerodia sipedon) in central Michigan by remote radiotelemetry monitoring of snake body temperature (T-b) using surgically implanted thermally-sensitive radio-transmitters and by measuring operative temperatures (T-e) across a range of microhabitats using biophysical models. Our goals included evaluation of thermoregulatory capabilities at a locality that we viewed to be a fine-grained thermal environment, seasonal variations in patterns of thermoregulation, and the effects of sex on thermoregulation. During summer, snakes showed diel T-b cycling apparently using the open Sphagnum mat for late morning warming and shuttling among different microhabitats until early evening when a monotonic decline in T-b ensued and continued through the early morning hours. Snakes attained T-b within their laboratory-determined preferred body temperature range (T-set = 28-33 degrees C) mostly during late afternoon and with average percentages of T-b values for individual snakes within T-set range when permitted by operative temperatures (E-x) between 68 and 70\% of the time depending on method of measurement. Relatively high investment in thermoregulation when thermal conditions were poor occurred only during September but declined thereafter as snakes prepared to overwinter. We did not detect differences in thermoregulation among reproductive females, non-reproductive females, and males. Relative to a population of N. sipedon at a higher latitude in Ontario our snakes showed a relatively high T-set range and thermoregulated more effectively, particularly during the daylight hours. It remains unclear how much inter-population variation in thermoregulation is due to potential adaptations to latitude, to habitat differences, or variations in methodologies.",2022,10.1016/j.jtherbio.2022.103204,105,NA,NA,103204,Thermoregulation; Snakes; Nerodia
article,"Seasonal changes in mitochondrial bioenergetics and physiological performance of the bluegill sunfish, Lepomis macrochirus, from a shallow, Midwest river","Lamptey, I, Derick and Sparks, Ryan W. and De Oca, Rolando Monte and Skolik, Robert and Menze, Michael A. and Martinez, Eloy",JOURNAL OF THERMAL BIOLOGY,"As global temperature shifts due to anthropogenic impacts, seasonal temperatures in shallow aquatic ecosystems are expected to increase. Previous studies on freshwater fishes that experience significant temperature changes during the annual seasons found pronounced physiological restructuring not observed in animals inhabiting more thermally stable environments. Studies evaluating mitochondrial bioenergetics in fish are often performed on animals acclimated to constant temperatures in the laboratory. However, natural habitats are much more complex. Fishes may experience substantial daily and seasonal variation in temperature, energy requirements and resource availability, which are impossible to emulate on acclimation studies. Our study explores the effects of these more complex natural environments on whole-organism thermal tolerance and mitochondrial bio-energetics in bluegill sunfish (Lepomis macrochirus), a native fish to the temperate zone of North America. Compensatory mechanisms and variations in physiological thresholds were observed in specimens acclimatized to the fall season compared to specimens acclimatized to spring and summer seasons. Somatic indices, such as relative weights and hepatosomatic indices, showed significant differences across seasons and critical thermal maxima significantly decreased in the cold acclimatized specimens. Liver mitochondria from L. macrochirus also showed significantly higher uncoupled proton conductance, cytochrome c oxidase (COX) activity, and reduced respiratory control ratios in individuals sampled in the colder season. These findings suggest that mechanisms regulating proton conductance and COX activity modulate mitochondrial function across seasons to sustain physiological fitness in ectotherms inhabiting shallow, inland aquatic habitats.",2022,10.1016/j.jtherbio.2021.103186,104,NA,NA,103186,COX4; Thermal stress; Respiration; OXPHOS; Sunfish; Mitochondria
article,"Incubating green turtle (<i>Chelonia mydas</i>) eggs at constant temperatures: Hatching success, hatchling morphology and post-hatch growth","Yao, Yun-Tao and Du, Yu and Pan, Jia-Xin and Lin, Chi-Xian and Ji, Xiang and You, Wen-Hui",JOURNAL OF THERMAL BIOLOGY,"Past studies applying constant-temperature incubation of eggs have involved all species of sea turtles, but rarely can we find a single one incubating eggs at three or more temperatures. Here, we incubated green turtle (Chelonia mydas) eggs from Ganquan Island, South China Sea, at five constant temperatures (26, 28, 30, 32 and 34 degrees C) to determine hatching success, incubation length and hatchling phenotype at each test temperature and temperatures optimal for embryonic development. Temperature affected hatching success, incubation length and all seven examined hatchlings traits, and clutch origin affected three (head length, fore-flipper length and hind flipper length) of the seven. Hatching success was lowest at 34 degrees C and none of hatchlings hatched at this temperature was normal and survived over one week. The rate of embryonic development and the rate of post-hatch growth both were lowest at 26 degrees C. Given that low survival and growth rates can translate into reduced individual fitness, we conclude that both 26 degrees C and 34 degrees C are unsuitable for incubation of C. mydas eggs. Post-hatch growth was fastest in hatchlings incubated at 30 degrees C, and eggs of C. mydas incubated at temperatures around 30 degrees C are more likely to produce mixed sexes. Accordingly, we conclude that temperatures within the range from 28 degrees C to 32 degrees C are generally optimal for embryonic development of C. mydas.",2022,10.1016/j.jtherbio.2021.103182,104,NA,NA,103182,Embryonic thermosensitivity; Ganquan island; Hatching; Hatchling phenotype; Incubation; Sea turtle
article,Developmental temperature affects thermal dependence of locomotor activity in <i>Drosophila</i>,"Klepsatel, Peter and Galikova, Martina",JOURNAL OF THERMAL BIOLOGY,"In their natural environments, animals have to cope with fluctuations in numerous abiotic and biotic factors, and phenotypic plasticity can facilitate survival under such variable conditions. However, organisms may differ substantially in the ability to adjust their phenotypes in response to external factors. Here, we investigated how developmental temperature affects the thermal performance curve for locomotor activity in adult fruit flies (Drosophila melanogaster). We examined the thermal dependence of spontaneous activity in individuals originating from two natural populations (from tropical (India) and temperate climate zone (Slovakia)) that developed at three different temperatures (19 degrees C, 25 degrees C, and 29 degrees C). Firstly, we found that developmental temperature has a significant impact on overall activity - flies that developed at high temperature (29 degrees C) were, on average, less active than individuals that developed at lower temperatures. Secondly, developmental acclimation had a population-specific effect on the thermal optimum for activity. Whereas the optimal temperature was not affected by thermal conditions experienced during development in flies from India, developmental temperature shifted thermal optimum in flies from Slovakia. Thirdly, high developmental temperature broadened performance breadth in flies from the Indian population but narrowed it in individuals from the Slovak population. Finally, we did not detect a consistent effect of acclimation temperature on circadian rhythms of spontaneous activity. Altogether, our results demonstrate that developmental temperature can alter different parameters (maximum performance, thermal optimum, performance breadth) of the thermal performance curve for spontaneous activity. Since adult fruit flies are highly vagile, this sensitivity of locomotion to developmental conditions may be an important factor affecting fitness in changing environments.",2022,10.1016/j.jtherbio.2021.103153,103,NA,NA,103153,Thermal performance curve; Acclimation; Optimal temperature; Performance breadth; Developmental plasticity; Locomotion
article,Tolerance to high temperature by arboreal mammals using nest boxes in southern Australia,"Goldingay, Ross L. and Thomas, Karen J.",JOURNAL OF THERMAL BIOLOGY,"Nest boxes are used to manage populations of tree-cavity dependent birds and mammals. Concerns have been raised that due to their poor insulative properties nest boxes may cause heat stress and occasionally death during summers of extreme maximum temperatures. Our study investigated whether this nest box heat stress hypothesis applies to two small cavity-dependent mammals (brush-tailed phascogales and sugar gliders). Focusing on days when ambient temperature reached >= 40 degrees C, we recorded: i) temperatures within occupied nest boxes, ii) temperatures within nearby unoccupied tree cavities, iii) the duration of temperatures of >= 40 degrees C within nest boxes, iv) whether direct mortality was observed, and v) the relative abundance of these species in nest boxes before and after a very hot summer. When ambient temperature reached >= 40 degrees C, nest boxes were equivalent to ambient or 1-2 degrees C cooler, whereas tree cavities were 3-7 degrees C cooler than ambient. Exposure in nest boxes to temperatures of >= 40 degrees C lasted an average of 2-8 h. We observed no mortality over 65 records of phascogales and 31 records of gliders in nest boxes on days when ambient reached >= 40 degrees C. No decline in abundance was recorded after a summer with 11 days of temperatures >= 40 degrees C, with each species subsequently occupying >40 nest boxes. Our observations suggest these species are tolerant of the high temperatures that occurred. Nonetheless, provision of nest boxes designed to minimise summer heating is recommended.",2021,10.1016/j.jtherbio.2021.102899,98,NA,NA,102899,Heat stress; Phascogale; Petaurus
article,Potential role of specific microRNAs in the regulation of thermal stress response in livestock,"Raza, Sayed Haidar Abbas and Abdelnour, Sameh A. and Dhshan, Aya I. M. and Hassanin, Abdallah A. and Noreldin, Ahmed E. and Albadrani, Ghadeer M. and Abdel-Daim, Mohamed M. and Cheng, Gong and Zan, Linsen",JOURNAL OF THERMAL BIOLOGY,"Thermal stress is known to have harmful effects on livestock productivity and can cause livestock enterprises considerable financial loss. These effects may be aggravated by climate change. Stress responses to nonspecific systemic actions lead to perturbation of molecular pathways in the organism. The molecular response is regulated in a dynamic and synchronized manner that assurances robustness and flexibility for the restoration of functional and structural homeostasis in stressed cells and tissues. MicroRNAs (miRNAs) are micro molecules of small non-coding RNA that control gene expression at the post-transcriptional level. Recently, various studies have discovered precise types of miRNA that regulate cellular machinery and homeostasis under various types of stress, suggesting a significant role of miRNA in thermal stress responses in animals. The miRNAs revealed in this paper could serve as promising candidates and biomarkers for heat stress and could be used as potential pharmacological targets for mitigating the consequences of thermal stress. Stress miRNA pathways may be associated with thermal stress, which offers some potential approaches to combat the negative impacts of thermal stress in livestock. The review provides new data that can assist the elucidation of the miRNA mechanisms that mediate animals? responses to thermal stress.",2021,10.1016/j.jtherbio.2021.102859,96,NA,NA,102859,Thermal stress; Livestock; microRNA
article,Changing of haemostatic system in a pig model during different types of hypothermic circulatory arrest,Li Lei and Guan Xinliang and Gong Ming and Wang Xiaolong and Liu Yuyong and Liu Yang and Wu Zining and Lan Feng and Li Haiyang and Zhang Hongjia,JOURNAL OF THERMAL BIOLOGY,"Background: Hypothermic circulatory arrest is usually used in aortic surgery, congenital heart defect repairs and other complex surgeries. It is frequently associated with excessive postoperative bleeding and the transfusion of allogeneic blood products. The physiopathology of hypothermic circulatory arrest-induced coagulopathy has never been systematically studied. The aim of the study was to investigate this phenomenon in a pig model. Methods: Ten pigs were randomly assigned to 30 min of hypothermic circulatory arrest at either 15 degrees C (n = 5) or 25 degrees C (n = 5). Detection of apoptosis and haemostatic system assays were performed in this experiment. Enzymelinked immunosorbent assays were performed at ten time points in each group to study the changes in the coagulation system in hypothermic circulatory arrest. All of the statistical analyses were performed in SPSS software, version 18.0, and as bilateral tests, and p < 0.05 was considered statistically significant. Results: There was no significant difference in the effect of different types of hypothermic circulatory arrest on routine laboratory tests and tissue sample analysis (p > 0.05, for all). Our results demonstrated that more severe systemic activation of the coagulation system (TAT and F1+2) was applied in the deep hypothermic circulatory arrest group but not in the moderate hypothermic circulatory arrest group (TAT/p = 0.01, F1+2/p = 0.03). However, this activation of the coagulation system (AT III and PC) was not associated with changes in the anticoagulation pathway (AT III/p = 0.24, PC/p = 0.33). In addition, analysis of biomarkers of the haemostatic system revealed that the consumption of coagulation is more concentrated on extrinsic coagulation factors (FVII/p = 0.01). Conclusions: Moderate hypothermic circulatory arrest is more suitable for patients with coagulation dysfunction. We believe the application of deep hypothermic circulatory arrest should pay more attention to changes in coagulation rather than the anticoagulation pathway. Extrinsic coagulation factor supplementation is more effective after deep hypothermic circulatory arrest.",2021,10.1016/j.jtherbio.2020.102817,95,NA,NA,102817,Haemostatic system; Cardiopulmonary bypass; Hypothermic circulatory arrest; Aortic dissection; Extrinsic coagulation factor
article,Validation of ThermoHuman automatic thermographic software for assessing foot temperature before and after running,"Requena-Bueno, Lara and Priego-Quesada, Jose Ignacio and Jimenez-Perez, Irene and Gil-Calvo, Marina and Perez-Soriano, Pedro",JOURNAL OF THERMAL BIOLOGY,"The aim of the study was to evaluate an automatic thermographic software package (ThermoHuman (R)) for assessing skin temperature on the soles of the feet before and after running and to compare it with two manual definitions of the regions of interest (ROIs). 120 thermal images of the soles of the feet of 30 participants, at two measurement points (before and after running 30 min) and on two measurement days were analyzed. Three different models of thermographic image analyses were used to obtain the mean temperature of 9 ROIs: A) ThermoHuman (automatic definition of ROIs using ThermoHuman (R) software), B) Manual (manual delimitation of ROIs by proportion criteria), and C) Manual-TH (manual delimitation of ROIs in an attempt to replicate the regions analyzed by ThermoHuman). ThermoHuman resulted in an 86\% reduction in time involved compared to manual delimitation. Fourteen of the 120 images (12\%) presented some error in one or more of the ROI delimitations. Although the three procedures presented significant differences between them (53\% in the comparison between ThermoHuman and Manual, 47\% between ThermoHuman and Manual-TH, and 28\% between Manual and Manual-TH), all differences had a small effect size (ES 0.2-0.4) or lower (ES < 0.2). Bland-Altman plots showed similar 95\% limits of agreement between the three procedures before and after running. Intraclass correlation coefficient analysis of the three procedures presented excellent reliability (ICC>0.8). In conclusion, ThermoHuman (R) software was observed to be time-saving for image analysis with excellent reliability. Although results suggest that ThermoHuman (R) and manual methods are both valid in themselves, combining them is not recommended due to the differences observed between them.",2020,10.1016/j.jtherbio.2020.102639,92,NA,NA,102639,Infrared thermography; Thermal image; Feet; Exercise; Analysis
