type,title,authors,journal,abstract,year,doi,volume,issue,pages,article_number,keywords
article,"Thermal stress in <i>Danio rerio</i>: a link between temperature, light, thermo-TRP channels, and clock genes","Jeronimo, Rodrigo and Moraes, Maria Nathalia and Monteiro de Assis, Leonardo Vinicius and Ramos, Bruno Cesar and Rocha, Thaina and de Lauro Castrucci, Ana Maria",JOURNAL OF THERMAL BIOLOGY,"It is believed that the biological systems perceiving temperature and light daily cycles were subjected to the simultaneous selective pressures, which resulted in their co-evolutionary association. We investigated the influence of 1 h 33 degrees C heat shock on the expression of clock and heat shock protein genes, as well as the role of the thermo-TRP channel, TRPV1, in ZEM-2S cells of the teleost Danio rerio, in constant dark (DD) or light-dark cycles (LD). After heat shock, we observed an acute increase of hsp90 aal levels in both DD and LD conditions. Interestingly, the expression of hsp90 aal was two-fold lower in LD than in DD, what suggests an antagonistic effect of white light on heat shock action. Regarding clock genes, no effect was found in cells subjected to the heat shock in DD. When cells were kept in LD, the expression of pent, per2, cryla, and crylb increased in response to heat shock, indicating that heat shock only affects clock core of LD-synchronized ZEM-2S cells. We then evaluated whether TRPV1 played a role in heat-mediated hsp90 aal and per2 responses: hsp90 aal increase was unaffected whereas per2 increase was partially blocked by TRPV1 inhibitor, demonstrating the channel participation in clock gene regulation by heat shock. Taken together, our results open a novel investigative perspective regarding the relationship between temperature and clock genes, placing a new player in the regulation of this phenomenon: the TRPV1 channel.",2017,10.1016/j.jtherbio.2017.02.009,68,A,128-138,NA,Danio rerio; ZEM-2S cells; Clock genes; Thermo-TRPs; Heat shock proteins
article,Antioxidant defense system and oxidative status in Antarctic fishes: The sluggish rockcod <i>Notothenia coriiceps</i> versus the active marbled notothen <i>Notothenia rossii</i>,"Klein, Roberta Daniele and Rosa, Carlos Eduardo and Colares, Elton Pinto and Robaldo, Ricardo Berteaux and Martinez, Pablo Elias and Bianchini, Adalto",JOURNAL OF THERMAL BIOLOGY,"Adaptive responses of antioxidant defense systems (ADS) to changes in increased levels of activity are critical, especially in Antarctic fishes. The benthopelagic marbled notothen (Notothenia rossii) shows higher spontaneous activity than the benthonic and sluggish rockcod (N. coriiceps). Therefore, we hypothesize that species-related responses of ADS would occur to counteract different rates of reactive oxygen species formation in these two Antarctic fish. Here we evaluated ADS and oxidative damage in tissues (brain, gills, liver and white muscle) of the two Antarctic fish. Despite no significant differences in lipid and protein oxidative damage were observed, we actually found species- and tissue-specific differences in ADS. Gill metallothionein-like proteins (MTLP) and liver reduced glutathione (GSH) concentrations were higher in N. coriiceps than in N. rossii. Brain and gill antioxidant capacity against peroxyl radicals (ACAP); gill enzyme {[}glutamate-cysteine ligase (GSL), superoxide dismutase (SOD) and catalase (CAT)] activity; liver GCL and SOD activity; and white muscle CAT activity were higher in N. rossii than in N. coriiceps. Therefore, the more active fish (N. rossii) maintains higher activities of enzymes involved in superoxide ions (021 detoxification and GSH production in peripheral tissues (gills, liver and white muscle). This allows the more active fish (N. rossii) to keep levels of lipid and protein oxidative damage similar to those observed in the sluggish fish (N. coriiceps). It is worth noting that the more active fish also shows a higher brain antioxidant capacity, which could involve other non-enzymatic antioxidants like vitamins C and E. In contrast, N. coriiceps shows lower consumption of non-enzymatic antioxidants in peripheral tissues than N. coriiceps. As hypothesized, our results indicate that differences in ADS profiles between fish species are likely related to their habits and metabolic rates. This would imply in different fish abilities to deal with oxidative stress associated with increasing seawater temperature.",2017,10.1016/j.jtherbio.2017.02.013,68,A,119-127,NA,Antarctica; Antioxidant defense system; Nototheniids fish; Oxidative damage
article,The effect of body fat percentage and body fat distribution on skin surface temperature with infrared thermography,"Chierighini Salamunes, Ana Carla and Wan Stadnik, Adriana Maria and Neves, Eduardo Borba",JOURNAL OF THERMAL BIOLOGY,"This study aimed to search for relations between body fat percentage and skin temperature and to describe possible effects on skin temperature as a result of fat percentage in each anatomical site. Women (26.11 +/- 4.41 years old) (n =123) were tested for: body circumferences; skin temperatures (thermal camera); fat percentage and lean mass from trunk, upper and lower limbs; and body fat percentage (Dual-Energy X-Ray Absorptiometry). Values of minimum (T-Mi), maximum (T-Ma), and mean temperatures (T-Me) were acquired in 30 regions of interest. Pearson's correlation was estimated for body circumferences and skin temperature variables with body fat percentage. Participants were divided into groups of high and low fat percentage of each body segment, of which T-Me values were compared with Student's t-test. Linear regression models for predicting body fat percentage were tested. Body fat percentage was positively correlated with body circumferences and palm temperatures, while it was negatively correlated with most temperatures, such as T-Ma and T-Me of posterior thighs (r =-0.495 and -0.432), TMe of posterior lower limbs (r =-0.488), T-Ma of anterior thighs (r =-0.406) and T-Mi and T-Me of posterior arms (r =-0.447 and -0.430). Higher fat percentages in the specific anatomical sites tended to decrease T-Me, especially in posterior thighs, shanks and arms. Skin temperatures and body circumferences predicted body fat percentage with 58.3\% accuracy (R =0.764 and R-2 =0.583). This study clarifies that skin temperature distribution is influenced by the fat percentage of each body segment. (C) 2017 Elsevier Ltd. All rights reserved.",2017,10.1016/j.jtherbio.2017.03.006,66,NA,1-9,NA,Thermal imaging; Thermal distribution; Skin temperature; Body Composition; Adipose tissue
article,"Low temperature tolerance, cold hardening and acclimation in tadpoles of the neotropical tungara frog (<i>Engystomops pustulosus</i>)","Vo, Pacific and Gridi-Papp, Marcos",JOURNAL OF THERMAL BIOLOGY,"Many frogs from temperate climates can tolerate low temperatures and increase their thermal tolerance through hardening and acclimation. Most tropical frogs, on the other hand, fail to acclimate to low temperatures. This lack of acclimation ability is potentially due to lack of selection pressure for acclimation because cold weather is less common in the tropics. We tested the generality of this pattern by characterizing the critical temperature minimum (CTMin), hardening, and acclimation responses of tungara frogs (Engystomops pustulosus). These frogs belong to a family with unknown thermal ecology. They are found in a tropical habitat with a highly constant temperature regime. The CTMin of the tadpoles was on average 12.5 degrees C. Pre-metamorphic tadpoles hardened by 1.18 degrees C, while metamorphic tadpoles hardened by 0.36 degrees C. When raised at 21 degrees C, tadpoles acclimated expanding their cold tolerance by 1.3 degrees C in relation to larvae raised at 28 degrees C. These results indicate that the tungara frog has a greatly reduced cold tolerance when compared to species from temperate climates, but it responds to cold temperatures with hardening and acclimation comparable to those of temperate-zone species. Cold tolerance increased with body length but cold hardening was more extensive in pre-metamorphic tadpoles than in metamorphic ones. This study shows that lack of acclimation ability is not general to the physiology of tropical anurans.",2017,10.1016/j.jtherbio.2017.03.012,66,NA,49-55,NA,Larva; Tadpole; Thermal tolerance; Chilling; Frost; CTMin
article,Proteomic analysis of physiological function response to hot summer in liver from lactating dairy cows,"Wang, Qiangjun and Zhao, Xiaowei and Zhang, Zijun and Zhao, Huiling and Huang, Dongwei and Cheng, Guanglong and Yang, Yongxin",JOURNAL OF THERMAL BIOLOGY,"Lactation performance of dairy cattle is susceptible to heat stress. The liver is one of the most crucial organs affected by high temperature in dairy cows. However, the physiological adaption by the liver to hot summer conditions has not been well elucidated in lactating dairy cows. In the present study, proteomic analysis of the liver in dairy cows in spring and hot summer was performed using a label-free method. In total, 127 differentially expressed proteins were identified; most of the upregulated proteins were involved in protein metabolic processes and responses to stimuli, whereas most of the downregulated proteins were related to oxidation reduction. Pathway analysis indicated that 3 upregulated heat stress proteins (HSP90a, HSP90 beta, and endoplasmin) were enriched in the NOD-like receptor signaling pathway, whereas several downregulated NADH dehydrogenase proteins were involved in the oxidative phosphorylation pathway. The protein protein interaction network indicated that several upregulated HSP5 (HSP90a, HSP90 beta, and GRP78) were involved in more interactions than other proteins and were thus considered as central hub nodes. Our findings provide novel insights into the physiological adaption of liver function in lactating dairy cows to natural high temperature.",2017,10.1016/j.jtherbio.2017.02.010,65,NA,82-87,NA,Animal proteomics; Cow; Hot summer; Liver tissue; LC-MS/MS
article,Effects of heat stress on some reproductive parameters of male cavie (<i>Cavia porcellus</i>) and mitigation strategies using guava (<i>Psidium guajava</i>) leaves essential oil,"Ngoula, Ferdinand and Tekam, Maryvonne Guemdjo and Kenfack, Augustave and Tchingo, Cyrille D'Alex Tadondjou and Nouboudem, Sandrine and Ngoumtsop, Herman and Tsafack, Borice and Teguia, Alexis and Kamtchouing, Pierre and Galeotti, Marco and Tchoumboue, Joseph",JOURNAL OF THERMAL BIOLOGY,"Climate changes, particularly the increase of temperature are among the main causes behind the decline of fertility in humans as well as animals. In this study, the effects of heat stress on some reproductive parameters of male cavies and mitigation strategies using guava leaves essential oil (GLEO) were studied. For this purpose, 40 male cavies aged 2.5-3 months and weighing between 348 and 446 g were divided into 4 groups of 10 animals each and subjected to the following temperatures: Ambient temperature (20-25 degrees C) for the control group, 35 degrees C for group 1, 45 degrees C for group 2 and 45 C+100 mu I GLEO/kg body weight, administered by gavage to animals for group 3. Exposure time of heat was 7 h per day for 60 days. Results reveal that the relative weights of testes, epididymis, vas deferens and seminal vesicles were hardly affected by the temperature levels considered (P > 0.05). The mass and individual sperm motility was significantly lower (P < 0.05) in cavies exposed to the temperature of 35 and 45 degrees C as compared with those which received GLEO and controls. The percentages of abnormal sperm and altered sperm DNA were higher in animals expbsed to temperature of 35 and 45 degrees C as compared with the controls. The activity of superoxide dismutase significantly increased (P < 0.05) in animals exposed to temperature of 45 degrees C and in those of 45 degrees C and orally treated with GLEO, compared with cavies exposed to temperature of 45 degrees C without receiving GLEO. The level of malondialdehyde was significantly increased (P < 0.05) in animals exposed to temperature of 35 and 45 degrees C, whereas the level of nitric oxide was significantly lower (P < 0.05) in exposed animals as compared with controls. It was concluded that the exposure of male cavies at 35 and 45 degrees C for 60 days induce heat stress that causes deterioration of sperm characteristics. These effects that can be mitigated by the administration of guava leaves essential oil.",2017,10.1016/j.jtherbio.2017.01.001,64,NA,67-72,NA,Reproduction; Male cavy; Heat stress; Guava leaves essential oil
article,"Acute effects of temperature and hypercarbia on cutaneous and branchial gas exchange in the South American lungfish, <i>Lepidosiren paradoxa</i>","Zena, Lucas A. and Bicego, Kenia C. and da Silva, Glauber S. F. and Giusti, Humberto and Glass, Mogens L. and Sanchez, Adriana P.",JOURNAL OF THERMAL BIOLOGY,"The South American lungfish, Lepidosiren paradoxa inhabits seasonal environments in the Central Amazon and Parana-Paraguay basins that undergo significant oscillations in temperature throughout the year. They rely on different gas exchange organs, such as gills and skin for aquatic gas exchange while their truly bilateral lungs are responsible for aerial gas exchange; however, there are no data available on the individual contributions of the skin and the gills to total aquatic gas exchange in L. paradoxa. Thus, in the present study we quantify the relative contributions of skin and gills on total aquatic gas exchange during warm (35 degrees C) and cold exposure (20 degrees C) in addition to the effects of aerial and aquatic hypercarbia on aquatic gas exchange and gill ventilation rate (f(G); 25 degrees C), respectively. Elevated temperature (35 degrees C) caused a significant increase in the contribution of cutaneous (from 0.61 +/- 0.13 to 1.34 +/- 0.26 ml. STPD.h(-1) kg(-1)) and branchial (from 0.54 +/- 0.17 to 1.73 +/- 0.53 ml. STPD.h(-1) kg(-1)) gas exchange for (V) over dotCO(2) relative to the lower temperature (20 degrees C), while (V) over dot O-2 remained relatively unchanged. L. paradoxa exhibited a greater branchial contribution in relation to total aquatic gas exchange at lower temperatures (20 and 25 degrees C) for oxygen uptake. Aerial hypercarbia decreased branchial (V) over dot O-2 whereas branchial (V) over dotCO(2) was significantly increased. Progressive increases in aquatic hypercarbia did not affect f(G). This response is in contrast to increases in pulmonary ventilation that may offset any increase in arterial partial pressure of CO2 owing to CO2 loading through the animals' branchial surface. Thus, despite their reduced contribution to total gas exchange, cutaneous and branchial gas exchange in L. paradoxa can be significantly affected by temperature and aerial hypercarbia.",2017,10.1016/j.jtherbio.2016.12.001,63,NA,112-118,NA,Lungfish; O-2 uptake; CO2 elimination; Dipnoi
article,Effect of cyclical cold stress during embryonic development on aspects of physiological responses and HSP70 gene expression of chicks,"Aminoroaya, Keyvan and Sadeghi, Ali Asghar and Ansari-pirsaraei, Zarbakht and Kashan, Nasser",JOURNAL OF THERMAL BIOLOGY,"The objective of the present study was to evaluate the effects of cyclical lower incubation temperature at different embryonic ages on the hatchability, body and organs weights, thyroid hormones, and liver HSP70 gene expression of newly hatched chicks. In a completely randomized design, fertile eggs of a broiler breeder (34 weeks of age) were assigned to three treatment groups with six replicates and 145 eggs per each. The treatment groups were as: control group (C) that eggs were incubated at 37.6 degrees C during the whole incubation period; incubation temperature was decreased to 36 degrees C for 3 h per day at embryonic age from 12 to 14 (T1); and incubation temperature was decreased to 36 degrees C for 3 h per day at embryonic age from 15 to 17 (12). No significant difference was found among treatments for hatchability (P > 0.05). There were no differences (P > 0.05) among treatments for body weight and liver weight, while heart weight of chicks in T1 and T2 groups were significantly higher than the control group (P < 0.05). There were no differences (P > 0.05) among treatments for the levels of thyroid hormones, however, the levels of both hormones tended to increase in chicks exposed to cold stress (T1 and 12). Chicks in T2 group had higher liver HSP70 gene expression compared with those in Tl and the control group (P < 0.05). Cold stress in both incubation periods had no significant effect on the plasma levels of aspartate aminotransferase and alanine aminotransferase. Treatments had no effect on the plasma levels of glucose, cholesterol and triglyceride. The results of this study suggest that cyclical lower incubation temperatures (36 degrees C) at the embryonic age from day 15-17 could induce the liver HSP70 gene expression, without negative effects on the hatchability and body weight of hatched chicks. (C) 2016 Elsevier Ltd. All rights reserved.",2016,10.1016/j.jtherbio.2016.08.008,61,NA,50-54,NA,Cold stress; Broiler chicks; Embryo; Incubation; Heat shock protein
article,"Altitudinal variation in lifespan of <i>Drosophila melanogaster</i> populations from the Firtina Valley, northeastern Turkey","Ayhan, Nazli and Gueler, Pinar and Onder, Banu Sebnem",JOURNAL OF THERMAL BIOLOGY,"Studies of attitudinal changes in phenotype and genotype can complement studies of latitudinal patterns and provide evidence of natural selection in response to climatic factors. In Drosophila melanogaster, latitudinal variation in phenotype and genotype has been well studied, but attitudinal patterns have rarely been investigated. We studied populations from six different altitudes varying between 35 m and 2173 m in the Firtina Valley in northeastern part of Turkey to evaluate clinal trends in lifespan under experimental conditions. Lifespan in the D. melanogaster populations was examined in relation to altitude, sex, temperature (25 degrees C and 29 degrees C), and dietary yeast concentration (5 g/L and 25 g/L). As expected high temperature decrease lifespan in all populations. However, it was shown that lifespan was slightly affected by dietary stress. We found that lifespan decreases significantly under thermal stress conditions with increasing altitude. Moreover, there was a slightly negative relationship between altitude and lifespan, which was closely associated with climatic factors such as temperature and precipitation, may suggest local adaptation to climate. (C) 2016 Elsevier Ltd. All rights reserved.",2016,10.1016/j.jtherbio.2016.09.002,61,NA,91-97,NA,Altitudinal gradient; Clinal variation; Food stress; Lifespan; Local adaptation; Temperature stress
article,Thermal tolerance in the Andean toad <i>Rhinella spinulosa</i> (Anura: Bufonidae) at three sites located along a latitudinal gradient in Chile,"Alveal Riquelme, Nicza and Diaz-Paez, Helen and Carlos Ortiz, Juan",JOURNAL OF THERMAL BIOLOGY,"Rhinella spinulosa is one of the anuran species with the greatest presence in Chile. This species mainly inhabits mountain habitats and is distributed latitudinally along the western slope of the Andes Range. These habitats undergo great temperature fluctuations, exerting pressure on the amphibian. To identify the physiological strategies and thermal behavior of this species, we analyzed the temperature variables CTmin, CTmax, TTR, tau(heat), and tau(cool) in individuals of three sites from a latitudinal gradient (22 degrees S to 37 degrees S). The amphibians were acclimated to 10 degrees C and 20 degrees C and fed ad libitum. The results indicate that the species has a high thermal tolerance range, with a mean of 38.14 +/- 1.34 degrees C, a critical thermal maxima of 34.6-41.4 degrees C, and a critical thermal minima of 2.6-0.8 degrees C, classifying the species as eurythermic. Furthermore, there were significant differences in CTmax and TTR only in the northern site. The differences in thermal time constants between sites are due to the effects of size and body mass. For example, those from the central site had larger size and greater thermal inertia; therefore, they warmed and cooled in a slower manner. The wide thermal limits determined in R. spinulosa confirm that it is a thermo-generalist species, a characteristic that allows the species to survive in adverse microclimatic conditions. The level of plasticity in critical temperatures seems ecologically relevant and supports the acclimatization of thermal limits as an important factor for ectothermic animals to adapt to climate change. (C) 2016 Elsevier Ltd. All rights reserved.",2016,10.1016/j.jtherbio.2016.07.019,60,NA,237-245,NA,Andean toad; Thermal biology; Latitudinal effect
