type,title,authors,journal,abstract,year,doi,volume,issue,pages,article_number,keywords
article,Interacting effects of ambient temperature and food quality on the foraging ecology of small mammalian herbivores,"Camp, Meghan J. and Shipley, Lisa A. and Milling, Charlotte R. and Rachlow, Janet L. and Forbey, Jennifer S.",JOURNAL OF THERMAL BIOLOGY,"Both temperature and diet quality play an important role in the time and energy budgets of small mammalian herbivores. However, little is known about how temperature and diet quality interact to influence diet selection, nutrient extraction, and energetics, and how these effects might differ among species. Therefore, we examined the effects of diet quality and temperature on aspects of the foraging ecology of two species of lagomorphs, pygmy rabbits (Brachyiagus idahoensis), which are small dietary specialists, and mountain cottontail rabbits (Sylvilagus nuttallii), which are larger dietary and habitat generalists. In a series of feeding experiments, we investigated 1) the effects of temperature on selection of plant fiber and the plant secondary metabolite 1,8 cineole in their diets, 2) effects of temperature and plant fiber on daily intake, digestion, and passage of food, 3) effects of plant fiber and 1,8 cineole on resting metabolic rate, and 4) how these interactions differ between the rabbit species. Both species chose to eat more total food and a greater proportion of high fiber food that passed more quickly through the digestive system in colder temperatures. However, temperature did not affect how much 1,8 cineole the rabbits consumed nor how thoroughly they digested food. Food quality affected how well they digested the dry matter in the food, but not their resting metabolic rate. Understanding how the interactions between ambient temperature and food quality affect selection of diets and intake by small mammalian herbivores, and the physiological mechanisms governing these choices, is useful for predicting how these species might respond to changes in both temperature and food quality and inform conservation and restoration strategies.",2018,10.1016/j.jtherbio.2017.10.021,71,NA,83-90,NA,Mountain cottontail rabbit; Fiber; Plant secondary metabolite; Pygmy rabbit; Sagebrush; Specialist; Thermal environment
article,Locomotor and energetic consequences of behavioral thermoregulation in the sanguivorous leech Hirudo verbana,"Hitchcock, Amanda C. and Connolly, Erin M. and Darakananda, Karin and Jeong, Janet W. and Quist, Arbor J. L. and Robbins, Allison B. and Ellerby, David J.",JOURNAL OF THERMAL BIOLOGY,"Medicinal leeches (Hirudo uerbana) thermoregulate with respect to their sanguivorous feeding behavior. Immediate postprandial preferences are for warmer than their initial acclimation temperature (T-a, 21 degrees C, Petersen et al. 2011), while unfed leeches have a lower preferred temperature (T-pref 12.5 degrees C). This may reduce energy expenditure and defer starvation if feeding opportunities are limited. Energetic benefits may have an associated cost if low temperatures reduce mobility and the ability to locate further hosts. These costs could be limited if mobility is unimpaired at low temperatures, or if acclimation can restore locomotor performance to the levels at T-a. The transition from T-a to the unfed T-pref significantly reduced speed and propulsive cycle frequency during swimming, and extension and retraction rates during crawling. Aerobic metabolic rate was also reduced from 0.20 +/- 0.03 W kg(-1) at Ta to 0.10 +/- 0.03 W kg(-1) at T-pref The Q(10), values of 1.7-2.9 for energetic and swimming parameters indicate a substantial temperature effect, although part of the decline in swimming performance can be attributed to temperature-related changes in water viscosity. 6 weeks at To resulted in no detectable acclimation in locomotor performance or aerobic metabolism. The energetic savings associated with a lower T-pref in unfed leeches effectively doubled the estimated time until depletion of energy reserves. Given that some mobility is still retained at T-pref and that acclimation is in itself costly, the energetic benefits of selecting cooler temperatures between feedings may outweigh the costs associated with reduced locomotor performance.",2017,10.1016/j.jtherbio.2017.01.007,65,NA,1-7,NA,Acclimation; Locomotion; Behavioral thermoregulation; Hirudo uerbana
article,Population level differences in thermal sensitivity of energy assimilation in terrestrial salamanders,"Clay, Timothy A. and Gifford, Matthew E.",JOURNAL OF THERMAL BIOLOGY,"Thermal adaptation predicts that thermal sensitivity of physiological traits should be optimized to thermal conditions most frequently experienced. Furthermore, thermodynamic constraints predict that species with higher thermal optima should have higher performance maxima and narrower performance breadths. We tested these predictions by examining the thermal sensitivity of energy assimilation between populations within two species of terrestrial-lungless salamanders, Plethodon albagula and P. montanus. Within P. albagula, we examined populations that were latitudinally separated by > 450 km. Within P. montanus, we examined populations that were elevationally separated by > 900 m. Thermal sensitivity of energy assimilation varied substantially between populations of P. albagula separated latitudinally, but did not vary between populations of P. montanus separated elevationally. Specifically, in P. albagula, the lower latitude population Had a higher thermal optimum, higher maximal performance, and narrower performance breadth compared to the higher latitude population. Furthermore, across all individuals as thermal optima increased, performance maxima also increased, providing support for the theory that ``hotter is better{''",2017,10.1016/j.jtherbio.2016.12.006,64,NA,1-6,NA,Thermal performance curve; Hotter is better; Thermal sensitivity; Plethodon
article,Expression of HSP70 genes in skin of zebu (Tharparkar) and crossbred (Karan Fries) cattle during different seasons under tropical climatic conditions,"Maibam, Uttarani and Hooda, O. K. and Sharma, P. S. and Mohanty, A. K. and Singh, S. V. and Upadhyay, R. C.",JOURNAL OF THERMAL BIOLOGY,"Skin is most important environmental interface providing a protective envelope to animals. It's always under the influence of both internal and external stressors. Heat shock proteins (HSP) are highly conserved stress proteins which play crucial roles in environmental stress tolerance and thermal adaptation. Present study was planned to observe the relative mRNA expression of inducible (HSP70.1 and HSP70.2) and constitutive (HSP70.8) HSP in skin of zebu (Tharparkar) and crossbred (Karan Fries) cattle during different seasons. Skin biopsies were collected from rump region of each animal, aseptically during winter, spring and summer season. Quantitative real time polymerase chain reaction was performed to examine the gene expression of constitutive (HSP70.8) and inducible (HSP70.1 and HSP70.2) HSP in skin of both the breeds during different seasons. Present study observed higher expression of both constitutive and inducible HSP genes in both the breeds during summer and winter than spring season, but magnitude of increase was higher during summer than winter. During summer season, expression pattern of HSP5 in skin showed breed differences, where constitutive HSP expression was higher in Tharparkar than Karan Fries and that of inducible HSP was higher in Karan Fries than Tharparkar. Hence, present study suggested that HSP may be conveniently used as biomarkers for assessing protective response of skin against heat stress in zebu and crossbred cattle. Variation in expression between breeds is associated with their heat tolerance and thermal adaptability. In summary, skin of zebu cattle (Tharparkar) is more resistant to summer stress than crossbred (Karan Fries), providing greater protection against heat stress during summer season. Superior skin protective mechanism of zebu (Tharparkar) than crossbred (Karan-Fries) cattle against heat stress may contribute to superior adaptability of zebu cattle to tropical climatic conditions than crossbreed.",2017,10.1016/j.jtherbio.2016.11.007,63,NA,58-64,NA,Heat stress; Tharparkar; Karan Fries; HSP; Skin
article,Thermal development of <i>Cephalonomia tarsalis</i> (Hymenoptera: Bethylidae) parasitoid of the saw-toothed stored product beetles of the genus <i>Oryzaephilus</i> sp (Coleoptera: Sylvanidae).,"Eliopoulos, Panagiotis A. and Kontodimas, Dimitrios C.",JOURNAL OF THERMAL BIOLOGY,"The effect of temperature on the development and survival of Cephalonomia tarsalis (Ashmead) (Hymenoptera: Bethylidae), larval ectoparasitoid of beetles of Oryzaephilus sp. (Coleoptera: Silvanidae) was studied in the laboratory. Durations of the development of the egg, larva and pupa were measured in eight constant temperatures (15, 17.5, 20, 25, 30, 32.5, 35 and 37.5 degrees C) parasitizing larvae of the saw-toothed beetle Oryzaephilus surinamensis (L.) (Coleoptera: Silvanidae). The duration of development was decreased with temperature increase within the range 17.5-32.5 degrees C. Survival was higher when immatures were exposed to medium temperatures (20-30 degrees C) compared with those lived in a more extreme temperature regime ( <20 and > 30 degrees C). Wasps failed to complete their development at 15 and 37.5 degrees C. Thermal parameters (upper, lower and optimum developmental threshold, thermal constant) were estimated by fitting the linear and a non-linear (Logan I) model to our data. Upper and lower developmental thresholds ranged between 35.1-37.0 degrees C and 13.2-13.8 degrees C, respectively. The optimum temperature for development was estimated between 33.6 degrees C and 34.6 degrees C. Tests for developmental rate isomorphy (DRI) showed that change in the average proportion of time spent in each developmental stage was marginally significant, proving that development of C. tarsalis is probably incompatible with DRI. However, this conclusion is questionable given that lower developmental thresholds did not differ significantly among various developmental stages (bootstrap test). Thermal constant for total development was calculated 212.4 degree-days. Our results are discussed not only on the basis of thermal biology, but also of improving the efficiency of C tarsalis as biocontrol agent. (C) 2016 Elsevier Ltd. All rights reserved.",2016,10.1016/j.jtherbio.2016.01.006,56,NA,84-90,NA,Development; Temperature; Threshold; Cephalonomia tarsalis; Parasitoid; Stored product; Oryzaephilus sp.
article,Thermoregulatory strategies in an aquatic ectotherm from thermally-constrained habitats: An evaluation of current approaches,"Piasecna, Karin and Poncova, Alena and Tejedo, Miguel and Gvozdik, Lumir",JOURNAL OF THERMAL BIOLOGY,"Many ectotherms employ diverse behavioral adjustments to effectively buffer the spatio-temporal variation in environmental temperatures, whereas others remain passive to thermal heterogeneity. Thermoregulatory studies are frequently performed on species living in thermally benign habitats, which complicate understanding of the thermoregulation-thermoconformity continuum. The need for new empirical data from ectotherms exposed to thermally challenging conditions requires the evaluation of available methods for quantifying thermoregulatory strategies. We evaluated the applicability of various thermoregulatory indices using fire salamander larvae, Salamandra salamandra, in two aquatic habitats, a forest pool and well, as examples of disparate thermally-constrained environments. Water temperatures in the well were lower and less variable than in the pool. Thermal conditions prevented larvae from reaching their preferred body temperature range in both water bodies. In contrast to their thermoregulatory abilities examined in a laboratory thermal gradient, field body temperatures only matched the mean and range of operative temperatures, showing thermal passivity of larvae in both habitats. Despite apparent thermoconformity, thermoregulatory indices indicated various strategies from active thermoregulation, to thermoconformity, and even thermal evasion, which revealed their limited applicability under thermally-constrained conditions. Salamander larvae abandoned behavioral thermoregulation despite varying opportunities to increase their body temperature above average water temperatures. Thermoconformity represents a favored strategy in these ectotherms living in more thermally-constrained environments than those examined in previous thermoregulatory studies. To understand thermal ecology and its impact on population dynamics, the quantification of thermoregulatory strategies of ectotherms in thermally-constrained habitats requires the careful choice of an appropriate method to avoid misleading results. (C) 2015 Elsevier Ltd. All rights reserved.",2015,10.1016/j.jtherbio.2015.06.007,52,NA,97-107,NA,Amphibians; Preferred body temperatures; Thermal constraints; Thermoconformity; Thermoregulatory indices
article,"Male yaks adapt to heat stress with enhancement of immunomodulation, anti-oxidation, and blood oxygen delivery","Gu, Zhaobing",JOURNAL OF THERMAL BIOLOGY,"Yaks adapt to extremely low temperatures, but they are more susceptible to heat stress (HS). The adaptive mechanisms with crucial plasma protein markers regulating the response to HS remain elusive. In this study, data-independent acquisition proteomics were used to evaluate the thermal adaptability under chronic HS and thermal-neutral conditions. As a result, yaks increased body temperatures and respiratory rates in response to HS. Eight differential proteins mainly related to vasodilatation were decreased by HS, but another four proteins associated with blood oxygen delivery were presented at higher levels. Complement and coagulation cascades pathway was activated by HS, and more proteins were upregulated to protect against inflammation and oxidative stress by higher levels of antioxidant proteins. It is likely that yaks react to HS with enhancement of immunomodulation, anti-oxidation, and blood oxygen delivery, which is conducive to taking appropriate environment and nutrition management strategies to get healthy and high-performing yaks in low-altitude regions during summer.",2024,10.1016/j.jtherbio.2024.103879,123,NA,NA,103879,Heat stress; Proteomics profile; Yaks; Adaptive mechanisms
article,How turtles keep their cool: Seasonal and diel basking patterns in a tropical turtle,"Kidman, Rosie and Mcknight, Donald T. and Schwarzkopf, Lin and Nordberg, Eric J.",JOURNAL OF THERMAL BIOLOGY,"Behavioural thermoregulation by ectotherms is an important mechanism for maintaining body temperatures to optimise physiological performance. Experimental studies suggest that nocturnal basking by Krefft's river turtles (Emydura macquarii krefftii) in the tropics may allow them to avoid high water temperatures, however, this hypothesis has yet to be tested in the field. In this study, we examined the influence of environmental temperature on seasonal and diel patterns of basking in E. m. krefftii in tropical north Queensland, Australia. Wildlife cameras were used to document turtle basking events for seven consecutive days and nights for each month over a year (April 2020-March 2021). Air and water temperatures were recorded simultaneously using temperature loggers. We used a negative binomial mixed effects model to compare mean basking durations (min) occurring among four environmental temperature categories based on population thermal preference (26 degrees C): 1) air temperature above and water temperature below preferred temperature; 2) air temperature below and water temperature above preferred temperature; 3) air and water temperatures both above preferred temperature; and 4) air and water temperatures both below preferred temperature. Basking behaviour was influenced significantly by the relationship between air and water temperature. During the day, turtles spent significantly less time basking when both air and water temperatures were above their preferred temperatures. Conversely, at night, turtles spent significantly more time basking when water temperatures were warm and air temperatures were cool relative to their preferred temperature. This study adds to the growing body of work indicating pronounced heat avoidance as a thermoregulatory strategy among tropical reptile populations.",2024,10.1016/j.jtherbio.2024.103834,121,NA,NA,103834,Australia; Ectotherm; Tropical reptile; Nocturnal basking; Thermoregulation; Thermoregulatory cooling; Heat avoidance
article,"Hypoxia alters the upper thermal limits and blood physiology in zebrafish, <i>Danio rerio</i>","Jannat, Rayeda and Zahangir, Md Mahiuddin and Naziat, Azmaien and Islam, S. M. Majharul and Abdelazim, Aaser M. and Mahboub, Heba H. and Shahjahan, Md",JOURNAL OF THERMAL BIOLOGY,"Hypoxic aquatic environments occur more frequently as a result of climate change, thereby exerting challenges on the physiological and metabolic functions of aquatic animals. In this study, a model fish, zebrafish ( Danio rerio ) was used to observe the climate -induced hypoxic effect on the upper thermal limit (critical thermal maximum; CTmax), hemoglobin, and blood glucose levels, and abnormalities of erythrocytes at cellular and nuclear level. The value of CTmax decreased significantly under hypoxia (39.10 +/- 0.96 degrees C) compared to normoxia (43.70 +/- 0.91 degrees C). At CTmax, hemoglobin levels were much lower (9.33 +/- 0.60 g/dL) and blood glucose levels were significantly higher (194.20 +/- 11.33 mg/L) under hypoxia than they were under normoxia and at the beginning of the experiment. Increased frequencies of abnormalities in the erythrocytes at both cellular (fusion, twin, elongated, spindle and tear drop shaped) and nuclear (micronucleus, karyopyknosis, binuclei, nuclear degeneration and notched nuclei) levels were also found under hypoxia compared to normoxia. These results suggest that hypoxic conditions significantly alter the temperature tolerance and subsequent physiology in zebrafish. Our findings will aid in the development of effective management techniques for aquatic environments with minimum oxygen availability.",2024,10.1016/j.jtherbio.2024.103837,121,NA,NA,103837,Climate change; Oxygen; Temperature; CTmax; Erythrocytes; Zebrafish
article,Nightly reductions in body temperature and effect of transmitter attachment method in free-living welcome swallows (<i> Hirundo</i> neoxena ),"Barratt, Alice and Turbill, Christopher",JOURNAL OF THERMAL BIOLOGY,"Small birds and mammals face similar energetic challenges, yet use of torpor to conserve energy while resting is considered less common among birds, especially within the most specious order Passeriformes. We conducted the first study to record the natural thermoregulatory physiology of any species from the family Hirundinidae, which we predicted would use torpor because of their specialised foraging by aerial pursuit of flying insects, that are less active during cold or windy weather. We used temperature telemetry on wild -living welcome swallows ( Hirundo neoxena , 13 to 17 g) and found that skin temperature declined during nightly resting by an average by 5 degrees C, from daytime minima of 41.0 +/- 0.8 degrees C to nightly minima of 36.3 +/- 0.8 degrees C, and by a maximum of 8 degrees C to a minimum recorded skin temperature of 32.0 degrees C. The extent of reduction in skin temperature was greater on cold nights and following windy daytime (foraging) periods. Further, we found that transmitters glued directly to the skin between feather tracts (i.e., an apterium) provided a less variable and probably also more accurate reflection of body temperature than transmitters applied over closely trimmed feathers. A moderate decrease in skin temperature, equivalent to shallow torpor, would provide energy savings during rest. Yet, deeper torpor was not observed, despite a period of extreme rainfall that presumedly decreased foraging success. Further studies are needed to understand the resting thermoregulatory energetics of swallows under different environmental conditions. We advocate the importance of measuring thermal biology in wild -living birds to increase our knowledge of the physiology and ecological importance of torpor among passerine birds.",2024,10.1016/j.jtherbio.2024.103792,120,NA,NA,103792,Energetics; Hirundinidae; Passerine; Telemetry; Torpor; Winter
