type,title,authors,journal,abstract,year,doi,volume,issue,pages,article_number,keywords
article,Support vector machine based methodology for classification of thermal images pertaining to breast cancer,"Periyasamy, Shobhana and Prakasarao, Aruna and Menaka, M. and Venkatraman, B. and Jayashree, M.",JOURNAL OF THERMAL BIOLOGY,"Breast cancer has been and continues to be a cause of major health concern for women. It is more prevalent in old age, but its incidence has increased in recent years in groups below 50 years old, as in India. According to the Indian Council of Medical Research (ICMR) 2020, 50\% of all the cases are in the age group of 25-50 where the numbers are staggering and constantly rising. The increase in incidence over the years indicates an urging need for innovative approaches to enhance breast cancer detection early. Thermography is non-contact imaging modalities and has potential to detect breast cancer at an early stage. Though thermography has capable of detecting breast cancer early, the challenge lies in the interpretation of the breast thermograms with respect to features and subsequent analysis. The present work discusses image acquisition, image processing related pre-processing, segmentation, and feature extraction. The extracted features were analyzed using ANOVA (Anal-ysis of variance) statistical analysis. Statistical analyses were done in order to find the appropriate feature on the whole and quadrant breast. Statistical analysis results clearly reveal existence of thermal symmetry for the healthy subjects (p value > .05) in both whole and quadrant breast regions. In the case of abnormal subjects, whole breast analyses revealed the significance (p value < .05) for features like mean, variance, standard de-viation, kurtosis, skewness, entropy, energy, homogeneity and contrast whereas upper outer quadrant analyses showed significance for all above features except contrast. The well correlated features of upper outer quadrant and whole breast were given as input for the Support Vector Machine - Radial Basis Function (SVM - RBF) classifier with grid search method. The results revealed that whole breast analysis has achieved 92.86\% accuracy and upper outer quadrant breast analysis has achieved 85.71\% accuracy. The results clearly indicate the involvement of upper outer quadrant and whole breast in early detection of breast cancer using thermal imaging.",2022,10.1016/j.jtherbio.2022.103337,110,NA,NA,103337,Breast cancer; Grid search method; Quadrant analysis; SVM classifier; Thermography
article,Skin temperature response to thermal stimulus in patients with hyperhidrosis: A comparative study,"Carvalho, Fatima and Magalhaes, Carolina and Fernandez-Llimos, Fernando and Mendes, Joaquim and Goncalves, Jorge",JOURNAL OF THERMAL BIOLOGY,"ABS TRACT Primary hyperhidrosis (HH), the excessive sweating exceeding physiological demand, has been associated to a complex dysfunction of the autonomic nervous system which may explain the disfunction in sweating but may also cause unrevealed alterations in skin blood flow regulation. In fact, HH patients present a sympathetic over-function with less reflex bradycardia in response to the Valsalva maneuver and higher sympathetic skin re-sponses. We aimed to identify response patterns to room thermal stimulus in HH patients compared to a control group in order to investigate putative differences in blood flow assuming that skin temperature in glabrous (non-hairy) areas reflect the sympathetic tone in arteriovenous anastomoses (AVAs). Infrared thermography images were obtained from a cohort of patients diagnosed with HH, followed at a hospital pediatric surgical department and to a sex-and age-matched control group of patients admitted for other surgical procedures. With the par-ticipants in Fowler's position, a set of 3 images were captured simultaneously and 44 regions of interest were analyzed, distributed on the palms of the hands, soles of the feet, axilla, and inner canthus. After an acclima-tization period at 20 ?C, the room temperature was increased to 24, 28 and 32 ?C to obtain similar sets of thermograms. A total of 37 patients with HH and 16 participants in the control group were included in the study. At baseline (20 ?C), body core temperature (measured in the inner canthus) was significantly higher in the HH patients compared to the controls (p = 0.019 and p = 0.003 in right and left inner canthi, respectively), without any significant differences in the other thermograms. When room temperature was increased, differences in core temperature disappeared, while differences appeared in axilla and palms of the hands with HH patients pre-senting significantly lower temperature at the three thermal stimulus stages. Patients with HH presented a lower thermoregulatory response when submitted to room temperature increase, which may reflect a vasomotor sympathetic over-function in AVAs.",2022,10.1016/j.jtherbio.2022.103322,109,NA,NA,103322,Hyperhidrosis; Skin temperature; Thermography; Thermoregulatory response
article,Numerical estimation of temperature response with step heating of a multi-layer skin under the generalized boundary condition,"Chaudhary, Rajneesh Kumar and Chaurasiya, Vikas and Singh, Jitendra",JOURNAL OF THERMAL BIOLOGY,"In this article, we discussed a one-dimensional bioheat transfer mathematical model that describes the process of temperature distribution in tissue for the multi-layer skin under the step heating generalized boundary condition. The finite difference scheme is used to estimate the temperature profile along with time and distance. We discussed the stability of the numerical scheme and also validated the accuracy of the numerical code by comparing the present results with the previous reference results. To remove heat from the skin is considered by the surface temperature, heat flux, and ambient temperature to be zero with the help of the unit step like function. Then, we observed that the skin temperature in the second kind boundary condition was slowly decreasing over time as compared to the first and third kind boundary conditions. The temperature or heat flux at the skin surface is assumed to be high then there is negligible effect of the blood perfusion rate on the temperature response over a short time period and the effect of blood perfusion rate is visible when the time duration is long. Effect of blood perfusion rate, heating and after removal of heating, water diffusion, and generalized boundary condition for the analysis of the behavior of temperature response in multi-layer skin are discussed in detail and the results obtained are presented graphically.",2022,10.1016/j.jtherbio.2022.103278,108,NA,NA,103278,Multi-layer skin; Finite difference scheme; Stability analysis; Interface condition; Generalized boundary condition; Blood perfusion rate
article,Association of shivering threshold time with body composition and brown adipose tissue in young adults,"Mishre, Aashley S. D. Sardjoe and Martinez-Tellez, Borja and Acosta, Francisco M. and Sanchez-Delgado, Guillermo and Straat, Maaike E. and Webb, Andrew G. and Kan, Hermien E. and Rensen, Patrick C. N. and Ruiz, Jonatan R.",JOURNAL OF THERMAL BIOLOGY,"Purpose: Brown adipose tissue (BAT) increases metabolic heat production in response to cold exposure. Body size and composition are involved in the human cold response, yet the influence of BAT herein have not fully been explored. Here, we aimed to study the association of the cold-induced shivering threshold time with body composition, BAT, the perception of shivering and skin temperature in young adults. Methods: 110 young healthy adults (81 females; age = 21.7 +/- 2.1 years, BMI = 24.2 +/- 4.3 kg/m2) underwent 2 h of individualized cooling, followed by the quantification of BAT using a18F-fluorodeoxyglucose ({[}18F]FDG) positron emission tomography-computed tomography (PET-CT) scan. Body mass index (BMI), lean mass, fat mass and body surface area (BSA) were also measured. Shivering threshold time was defined as the time until shivering occurred using an individualized cooling protocol. Results: The shivering threshold time was on average 116.1 min for males and 125.8 min for females, and was positively associated to BMI (beta = 3.106; R2 = 0.141; p = 0.001), lean mass (beta = 2.295; R2 = 0.128; p = 0.001) and fat mass (beta = 1.492; R2 = 0.121; p = 0.001) in females, but not in males (all p >= 0.409). The shivering threshold time was positively associated with BSA in males (p = 0.047) and females (p = 0.001), but it was not associated with BAT volume or {[}18F]FDG uptake nor with the perception of shivering and skin temperature perception in both sexes. Conclusion: The shivering threshold time is positively associated with whole-body adiposity and lean mass in females, but not in males. The shivering threshold time was positively associated with BSA, but no association was observed with BAT nor with the perception of shivering or skin temperature. Future research should consider the influence of body composition when applying cooling protocols among individuals with different phenotypical features.",2022,10.1016/j.jtherbio.2022.103277,108,NA,NA,103277,brown fat; Cold perception; Shivering time; Thermogenesis
article,Impacts of temperature on O<sub>2</sub> consumption of the Pyrenean brook newt<i> (Calotriton</i><i> asper)</i> from populations along an elevational gradient,"Deluen, Marine and Blanchet, Simon and Aubret, Fabien and Trochet, Audrey and Gangloff, Eric J. and Guillaume, Olivier and Le Chevalier, Hugo and Calvez, Olivier and Carle, Clementine and Genty, Lea and Arrondeau, Gaetan and Cazale, Lucas and Kouyoumdjian, Laura and Riberon, Alexandre and Bertrand, Romain",JOURNAL OF THERMAL BIOLOGY,"Global warming impacts biodiversity worldwide, leading to species' adaptation, migration, or extinction. The population's persistence depends on the maintenance of essential activities, which is notably driven by phenotypic adaptation to local environments. Metabolic rate - that increases with temperature in ectotherms is a key physiological proxy for the energy available to fuel individuals' activities. Cold-adapted ectotherms can exhibit a higher resting metabolism than warm-adapted ones to maintain functionality at higher elevations or latitudes, known as the metabolic cold-adaptation hypothesis. How climate change will affect metabolism in species inhabiting contrasting climates (cold or warm) is still a debate. Therefore, it is of high interest to assess the pace of metabolic responses to global warming among populations adapted to highly different baseline climatic conditions. Here, we conducted a physiological experiment in the endemic Pyrenean brook newt (Calotriton asper). We measured a proxy of standard metabolic rate (SMR) along a temperature gradient in individuals sampled among 6 populations located from 550 to 2189 m a.s.l. We demonstrated that SMR increased with temperature, but significantly diverged depending on populations' origins. The baseline and the slope of the relationship between SMR and temperature were both higher for high-elevation populations than for low elevation populations. We discussed the stronger metabolic response observed in high-elevation populations suggesting a drop of performance in essential life activities for these individuals under current climate change. With the increase of metabolism as the climate warms, the metabolic-cold adaptation strategy selected in the past could compromise the sustainability of cold-adapted populations if short-term evolutionary responses do not allow to offset this evolutionary legacy.",2022,10.1016/j.jtherbio.2021.103166,103,NA,NA,103166,Metabolic rate; Temperature; Elevation; Ectotherms
article,"Effective accumulative temperature affects gonadal maturation by controlling expression of GnRH, GnRH receptor, serotonin receptor and APGWamide gene in Pacific abalone, <i>Haliotis discus hannai</i> during broodstock conditioning in hatcheries","Sukhan, Zahid Parvez and Cho, Yusin and Sharker, Md. Rajib and Hossen, Shaharior and Rha, Sung-Ju and Kho, Kang Hee",JOURNAL OF THERMAL BIOLOGY,"Water temperature is a crucial environmental factor that influences reproductive function of abalone. Broodstock conditioning exposed to effective accumulative temperature (EAT) is a common practice in abalone hatcheries. To understand the molecular mechanism underlying the regulation of gonadal maturation and reproduction of Haliotis discus hannai exposed to EAT and induced spawning period, changes in expression of neuroendocrine genes encoding two gonadotropin releasing hormone (Hdh-GnRH, GnRH-like peptide), GnRH receptor (HdhGnRH-R), serotonin receptor (5-HTHdh) and Hdh-APGWamide in neural ganglia and gonadal tissues were examined. Gonadosomatic index (GSI) was significantly increased with increasing EAT degrees C-days. Expression levels of Hdh-GnRH, GnRH-like peptide, HdhGnRH-R, 5-HTHdh and Hdh-APGWamide mRNA were significantly increased with increasing EAT degrees C-days in ganglion (where the gene synthesized) and gonadal tissues. The significant increase in mRNA expression of each examined gene started from EAT 500 to 750 degrees C-days, reached an initial peak at 1000 degrees C-days, suggesting gonadal maturation started from the onset of EAT and slowly continued until 750 degrees C-days, then at 1000 degrees C-days reached to initial peak developmental period. The maturation reached to spawning state at 1000 degrees C-days and peaked at 1500 degrees C-days. Hdh-GnRH showed significantly higher mRNA expression in pleuropedal ganglion and branchial ganglion, whereas GnRH like peptide showed higher expression in cerebral ganglion, and HdhGnRH-R, 5-HTHdh and Hdh-APGWamide showed higher expression in pleuropedal ganglion. All genes were expressed higher at higher EAT degrees C-days. During induced spawning period, higher mRNA expression of examined genes was observed at the time of spawning; however, a sharp decrease occurred after spawning, suggesting that these genes are involved in spawning activities. Taken together, these results indicate that an increase of EAT degrees C-days can increase expression of neuroendocrine genes and enhance gonadal maturation. Besides all these genes are involved in the process of spawning induction, and increase of GSI has a positive correlation with the increase of gene expression.",2021,10.1016/j.jtherbio.2021.103037,100,NA,NA,103037,EAT; Neuroendocrine gene; Gene expression; Gonadal development; Haliotis discus hannai
article,Color lightness of velvet ants (Hymenoptera: Mutillidae) follows an environmental gradient,"Lopez, Vinicius Marques and Tosta, Thaina Aparecida Azevedo and da Silva, Guilherme Gonzaga and Bartholomay, Pedro Reck and Williams, Kevin Andrew and Guillermo-Ferreira, Rhainer",JOURNAL OF THERMAL BIOLOGY,"Color traits are highly influenced by environmental conditions along the distributional range of many species. Studies on the variation of animal coloration across different geographic gradients are, therefore, fundamental for a better understanding of the ecological and evolutionary processes that shape color variation. Here, we address whether color lightness in velvet ants (Hymenoptera: Mutillidae) responds to latitudinal gradients and bioclimatic variations, testing three ecogeographic rules: The Thermal melanism hypothesis; the Photoprotection hypothesis; and Gloger's rule. We test these hypotheses across the New World. We used photographs of 482 specimens (n = 142 species) of female mutillid wasps and extracted data on color lightness (V). We analyzed whether variation in color is determined by bioclimatic factors, using Phylogenetic Generalized Least Square analysis. Our explanatory variables were temperature, ultraviolet radiation, humidity, and forest indicators. Our results were consistent with the Photoprotection hypothesis and Gloger's rule. Species with darker coloration occupied habitats with more vegetation, higher humidity, and UV-B radiation. However, our results refute one of the initial hypotheses suggesting that mutillids do not respond to the predictions of the Thermal melanism hypothesis. The results presented here provide the first evidence that abiotic components of the environment can act as ecological filters and as selective forces driving the body coloration of velvet ants. Finally, we suggest that studies using animals with melanin-based colors as a model for mimetic and aposematic coloration hypotheses consider that this coloration may also be under the influence of climatic factors and not only predators.",2021,10.1016/j.jtherbio.2021.103030,100,NA,NA,103030,Batesian; Behavior; Biogeography; Climate change; Mullerian; Parasitoid
article,"The influences of Tylosine and licorice dietary supplementation in terms of the productive performance, serum parameters, egg yolk lipid profile, antioxidant and immunity status of laying Japanese quail under heat stress condition","Dosoky, Waleed M. and Zeweil, Hassan S. and Ahmed, Mohamed H. and Zahran, Soliman M. and Ali, Abdallah M. and Abdelsalam, Nader R. and Naiel, Mohammed A. E.",JOURNAL OF THERMAL BIOLOGY,"By reducing feed consumption, animals suffering from heat stress prefer to reduce their heat output. Heat exposure has also contributed to major adverse effects on the productive and reproductive performance of quails. Therefore, this research was intended to estimate the preventive function of licorice as a safe feed additive against the negative effects caused by heat stress conditions on laying quail productivity. A total number of 180 Japanese quail birds (120 females and 60 males), nine-weeks old were divided into five groups. Each group contained 36 birds in four replicates (nine birds) with completely randomized design. The dietary treatments were a basal diet without supplementation as control (T-1), basal diet + 100 mg Tylosine kg(-1) diet (T-2), (T-3), (T-4) and (T-5) fed basal diet + 250, 500 and 1000 mg licorice kg(-1) diet, in respect. The results indicated that dietary supplementation with different feed additives had no significant effects on egg-laying rate, egg number, average egg weight, egg mass and feed conversion ratio compared with control. Also, different treatments showed no significant variations on serum IgG, total protein, globulin, albumin, creatinine, ALT and TAC and caused significant (P <= 0.05) improvement in IgM, AST, ALP, uric acid and MDA concentrations as compared to the control. Results indicated that total serum lipids, triglycerides, total cholesterol and LDL concentrations were significantly decreased due to different feed additives. However, HDL concentrations and HDL/LDL ratios were markedly increased by the other treatments than the control group. In addition, yolk total lipids were significantly (P <= 0.001) decreased with increasing licorice root powder's dietary levels compared with the control group. Also, a significant (P <= 0.01) reduction in egg yolk cholesterol level was observed in the group fed with 500 mg licorice compared to other treatments. In conclusion, fortified laying quail diets with licorice powder could be a useful strategy to alleviate adverse effects induced by heat stress as alternative to antibiotics on laying Japanese quail.",2021,10.1016/j.jtherbio.2021.103015,99,NA,NA,103015,Quail; Licorice; Laying performance; Lipid profile; Antioxidant; Immunity
article,Landscape forest impacts the potential activity time of an invasive lizard and its possibilities for range expansion in Taiwan under climate warming,"Chen, Tai-Yu and Richard, Romain and Lin, Te-En and Huang, Shu-Ping",JOURNAL OF THERMAL BIOLOGY,"Climate warming may have an impact on invasive species and their ecological consequences. Invasive reptiles, which have temperature-dependent physiology, are expected to be greatly impacted by climate warming, though data supporting this is limited. We investigated the potential impact of a warmer climate on an invasive lizard, Eutropis multifasciata, in Taiwan. A mechanistic model, NicheMapR, was used to simulate the maximum activity time available at three elevations, with varying forest densities, under the current climate and a warmer scenario. The results show that climate warming will provide this species more time for activity in the currently occupied lowland region but not in the mountain areas, which are covered with dense forests. However, if the landscape becomes more open in mountain areas, it will become more suitable for this species and may enable an expansion upslope. Our results show that climate warming has a positive impact on this species, and that landscape's characteristics profoundly modulate its impact and the possibilities for elevational expansion in the future.",2021,10.1016/j.jtherbio.2021.102948,98,NA,NA,102948,Elevational distribution; Temperature; Cold tolerance; Biophysical modelling; Eutropis multifasciata
article,"Thermoregulation of Liolaemus aparicioi (Iguania: Liolaemidae) along a 1000 m elevational gradient in La Paz Valley, La Paz, Bolivia","Bruno Miranda-Calle, Alejandro and Pacheco, Luis F. and Aparicio, James and Mendez-De La Cruz, Fausto R.",JOURNAL OF THERMAL BIOLOGY,"Lizard species have diverse behavioral and physiological responses to thermo-environmental conditions, which allow them to inhabit a broad range of latitudes and elevations. Because the availability of suitable thermal resources is limited and more variable at high-elevation environments than at lower elevations, we expect high -elevation lizards to be constrained in their thermoregulation relative to lizards at lower elevations by the fewer available thermal resources to reach optimal temperatures (colder environment). We studied the thermal biology of an endemic and Critically Endangered lizard, Liolaemus aparicioi, to assess its thermal responses along a 1000 m elevational gradient in La Paz Valley from May to August of 2015 (dry season). We took field body and microhabitat temperatures at capture sites (substrate and air above ground), and body size (snout-vent length and mass) of individuals at Taypichullo (3000 m asl), Gran Jardin de la Revoluci ` on Municipal Park (3500 m asl), and Taucachi (4000 m asl) localities. Operative temperatures were taken from calibrated models deployed in different available microhabitats. Preferred temperatures and thermal tolerance limits were determined in lab-oratory settings for lizards from each locality. Field body, microhabitat, and operative temperatures decreased with increasing elevation and differed between sexes. Lizards at the high elevation locality had the lowest thermoregulatory efficiency as compared with the mid and lower elevation localities. In laboratory measure-ments, while the preferred temperatures varied between sexes, pooled preferred temperatures and thermal tolerances were similar in all localities. Although thermal resources at high elevation can limit thermoregulatory possibilities in L. aparicioi, behavioral microhabitat use, time allocated to thermoregulation, and physiological adjustments seem to be possible strategies to counteract thermal costs along elevational gradients.",2021,10.1016/j.jtherbio.2021.102940,99,NA,NA,102940,Elevation; Lizards; Thermal tolerance limits; Thermoregulatory efficiency
