type,title,authors,journal,abstract,year,doi,volume,issue,pages,article_number,keywords
article,Does control of insensible evaporative water loss by two species of mesic parrot have a thermoregulatory role?,"Cooper, Christine Elizabeth and Withers, Philip Carew and Kortner, Gerhard and Geiser, Fritz",JOURNAL OF EXPERIMENTAL BIOLOGY,"Insensible evaporative water loss (EWL) at or below thermoneutrality is generally assumed to be a passive physical process. However, some arid zone mammals and a single arid zone bird can control their insensible water loss, so we tested the hypothesis that the same is the case for two parrot species from a mesic habitat. We investigated red-rumped parrots (Psephotus haematonotus) and eastern rosellas (Platycercus eximius), measuring their EWL, and other physiological variables, at a range of relative humidities at ambient temperatures of 20 and 30 degrees C (below and at thermoneutrality). We found that, despite a decrease in EWL with increasing relative humidity, rates of EWL were not fully accounted for by the water vapour deficit between the animal and its environment, indicating that the insensible EWL of both parrots was controlled. It is unlikely that this deviation from physical expectations was regulation with a primary role for water conservation because our mesic-habitat parrots had equivalent regulatory ability as the arid habitat budgerigar (Melopsittacus undulatus). This, together with our observations of body temperature and metabolic rate, instead support the hypothesis that acute physiological control of insensible water loss serves a thermoregulatory purpose for endotherms. Modification of both cutaneous and respiratory avenues of evaporation may be involved, possibly via modification of expired air temperature and humidity, and surface resistance.",2020,10.1242/jeb.229930,223,19,NA,jeb229930,Body temperature; Evaporative water loss; Humidity; Metabolic rate; Physiological control; Respirometry; Thermoregulation; Water balance; Water vapour pressure
article,Tilapia (<i>Oreochromis mossambicus</i>) brain cells respond to hyperosmotic challenge by inducing <i>myo</i>-inositol biosynthesis,"Gardell, Alison M. and Yang, Jun and Sacchi, Romina and Fangue, Nann A. and Hammock, Bruce D. and Kueltz, Dietmar",JOURNAL OF EXPERIMENTAL BIOLOGY,"This study aimed to determine the regulation of the de novo myo-inositol biosynthetic (MIB) pathway in Mozambique tilapia (Oreochromis mossambicus) brain following acute (25 ppt) and chronic (30, 60 and 90 ppt) salinity acclimations. The MIB pathway plays an important role in accumulating the compatible osmolyte, myo-inositol, in cells in response to hyperosmotic challenge and consists of two enzymes, myo-inositol phosphate synthase and inositol monophosphatase. In tilapia brain, MIB enzyme transcriptional regulation was found to robustly increase in a time (acute acclimation) or dose (chronic acclimation) dependent manner. Blood plasma osmolality and Na+ and Cl- concentrations were also measured and significantly increased in response to both acute and chronic salinity challenges. Interestingly, highly significant positive correlations were found between MIB enzyme mRNA and blood plasma osmolality in both acute and chronic salinity acclimations. Additionally, a mass spectrometry assay was established and used to quantify total myo-inositol concentration in tilapia brain, which closely mirrored the hyperosmotic MIB pathway induction. Thus, myo-inositol is a major compatible osmolyte that is accumulated in brain cells when exposed to acute and chronic hyperosmotic challenge. These data show that the MIB pathway is highly induced in response to environmental salinity challenge in tilapia brain and that this induction is likely prompted by increases in blood plasma osmolality. Because the MIB pathway uses glucose-6-phosphate as a substrate and large amounts of myo-inositol are being synthesized, our data also illustrate that the MIB pathway likely contributes to the high energetic demand posed by salinity challenge.",2013,10.1242/jeb.088906,216,24,4615-4625,NA,osmoregulation; compatible osmolyte; myo-inositol; brain; tilapia
article,Vasotocin and isotocin regulate aquaporin 1 function in the sea bream,"Martos-Sitcha, Juan Antonio and Campinho, Marco Antonio and Miguel Mancera, Juan and Martinez-Rodriguez, Gonzalo and Fuentes, Juan",JOURNAL OF EXPERIMENTAL BIOLOGY,"Aquaporins (AQPs) are specific transmembrane water channels with an important function in water homeostasis. In terrestrial vertebrates, AQP2 function is regulated by vasopressin (AVP) to accomplish key functions in osmoregulation. The endocrine control of aquaporin function in teleosts remains little studied. Therefore, in this study we investigated the regulatory role of vasotocin (AVTR) and isotocin (ITR) receptors in Aqp1 paralog gene function in the teleost gilthead sea bream (Sparus aurata). The complete coding regions of Aqp1a, Aqp1b, AVTR V1a2-type, AVTR V2-type and ITR from sea bream were isolated. A Xenopus oocyte-swelling assay was used to functionally characterize AQP1 function and regulation by AVT and IT through their cognate receptors. Microinjection of oocytes with Aqp1b mRNA revealed regulation of water transport via PKA (IBMX+forskolin sensitive), whereas Aqp1a mRNA injection had the same effect via PKC signaling (PDBU sensitive). In the absence of expressed receptors, AVT and IT (10(-8) mol l(-1)) were unable to modify AQP1 function. AVT regulated AQP1a and AQP1b function only when the AVTR V2-type was co-expressed. IT regulated AQP1a function, but not AQP1b, only when ITR was present. Considering that Aqp1a and Aqp1b gene expression in the sea bream intestine is highly salinity dependent in vivo, our results in ovo demonstrate a regulatory role for AVT and IT in AQP1 function in the sea bream in the processing of intestinal fluid to achieve osmoregulation.",2015,10.1242/jeb.114546,218,5,684-693,NA,Aquaporin; Water regulation; Isotocin receptor; Vasotocin receptor; Osmoregulation
article,"Plasticity, repeatability and phenotypic correlations of aerobic metabolic traits in a small estuarine fish","Reemeyer, Jessica E. and Rees, Bernard B.",JOURNAL OF EXPERIMENTAL BIOLOGY,"Standard metabolic rate (SMR), maximum metabolic rate (MMR), absolute aerobic scope (AAS) and critical oxygen tension (P-crit) were determined for the Gulf killifish, Fundulus grandis, an ecologically dominant estuarine fish, acclimated to lowered salinity, elevated temperature and lowered oxygen concentration. Acclimation to low salinity resulted in a small, but significant, elevation of P-crit (suggesting lower tolerance of hypoxia); acclimation to elevated temperature increased SMR, MMR, MS and P-crit; acclimation to low oxygen led to a small increase in SMR, but substantial decreases in MMR, AAS and P-crit. Variation in these metabolic traits among individuals was consistent and repeatable when measured during multiple control exposures over 7 months. Trait repeatability was unaffected by acclimation condition, suggesting that repeatability of these traits is not context dependent. There were significant phenotypic correlations between specific metabolic traits: SMR was positively correlated with MMR and P-crit; MMR was positively correlated with MS; and MS was negatively correlated with P-crit. In general, within-individual variation contributed more than among-individual variation to these phenotypic correlations. The effects of acclimation on these traits demonstrate that aerobic metabolism is plastic and influenced by the conditions experienced by these fish in the dynamic habitats in which they occur; however, the repeatability of these traits and the correlations among them suggest that these traits change in ways that maintain the rank order of performance among individuals across a range of environmental variation.",2020,10.1242/jeb.228098,223,14,NA,jeb228098,Acclimation; Aerobic metabolism; Aerobic scope; Fundulus; Hypoxia; Individual variation
article,Characterizing the metabolic capacity of the anoxic hagfish heart,"Gillis, Todd E. and Regan, Matthew D. and Cox, Georgina K. and Harter, Till S. and Brauner, Colin J. and Richards, Jeff G. and Farrell, Anthony P.",JOURNAL OF EXPERIMENTAL BIOLOGY,"Pacific hagfish, Eptatretus stoutii, can recover from 36 h of anoxia at 10 degrees C. Such anoxia tolerance demands the mobilization of anaerobic fuels and the removal of metabolic wastes -processes that require a functional heart. The purpose of this study was to measure the metabolic response of the excised, cannulated hagfish heart to anoxia using direct calorimetry. These experiments were coupled with measurements of cardiac pH and metabolite concentrations, at multiple time points, to monitor acid-base balance and anaerobic ATP production. We also exposed hagfish to anoxia to compare the in vitro responses of the excised hearts with the in vivo responses. The calorimetry results revealed a significant reduction in the rate of metabolic heat production over the first hour of anoxia exposure, and a recovery over the subsequent 6 h. This response is likely attributable to a rapid anoxia-induced depression of aerobic ATP-production pathways followed by an upregulation of anaerobic ATP-production pathways such that the ATP production rate was restored to that measured in normoxia. Glycogen-depletion measurements suggest that metabolic processes were initially supported by glycolysis but that an alternative fuel source was used to support the sustained rates of ATP production. The maintenance of intracellular pH during anoxia indicates a remarkable ability of the myocytes to buffer/regulate protons and thus protect cardiac function. Altogether, these results illustrate that the low metabolic demand of the hagfish heart allows for near-routine levels of cardiac metabolism to be supported anaerobically. This is probably a significant contributor to the hagfish's exceptional anoxia tolerance.",2015,10.1242/jeb.125070,218,23,3754-3761,NA,Anaerobic metabolism; Anoxia; Direct calorimetry; Glycogen; Eptatretus stoutii; Heart
article,Thermal analysis of ice and glass transitions in insects that do and do not survive freezing,"Rozsypal, Jan and Moos, Martin and Simek, Petrs and Kostal, Vladimir",JOURNAL OF EXPERIMENTAL BIOLOGY,"Some insects rely on the strategy of freeze tolerance for winter survival. During freezing, extracellular body water transitions from the liquid to the solid phase and cells undergo freeze-induced dehydration. Here, we present results of a thermal analysis (from differential scanning calorimetry) of ice fraction dynamics during gradual cooling after inoculative freezing in variously acclimated larvae of two drosophilid flies, Drosophila melanogaster and Chymomyza costata. Although the species and variants ranged broadly between 0 and close to 100\% survival of freezing, there were relatively small differences in ice fraction dynamics. For instance, the maximum ice fraction (IFmax) ranged between 67.9\% and 77.7\% total body water (TBW). Chymomyza costata larvae showed statistically significant phenotypic shifts in parameters of ice fraction dynamics (melting point and IFmax) upon entry into diapause, cold acclimation and feeding on a proline augmented diet. These differences were mostly driven by colligative effects of accumulated proline (ranging between 6 and 487 mmol kg(-1) TBW) and other metabolites. Our data suggest that these colligative effects per se do not represent a sufficient mechanistic explanation for high freeze tolerance observed in diapausing, cold-acclimated C. costata larvae. Instead, we hypothesize that accumulated proline exerts its protective role via a combination of mechanisms. Specifically, we found a tight association between proline-induced stimulation of glass transition in partially frozen body liquids (vitrification) and survival of cryopreservation in liquid nitrogen.",2018,10.1242/jeb.170464,221,7,NA,jeb170464,Freeze tolerance; Ice fraction; Osmotically inactive water; Proline; Vitrification
article,"Developmental carryover effects of ocean warming and acidification in corals from a potential climate refugium, the Gulf of Aqaba","Bellworthy, Jessica and Menoud, Malika and Krueger, Thomas and Meibom, Anders and Fine, Maoz",JOURNAL OF EXPERIMENTAL BIOLOGY,"Coral reefs are degrading from the effects of anthropogenic activities, including climate change. Under these stressors, their ability to survive depends upon existing phenotypic plasticity, but also transgenerational adaptation. Parental effects are ubiquitous in nature, yet empirical studies of these effects in corals are scarce, particularly in the context of climate change. This study exposed mature colonies of the common reef-building coral Stylophora pistillata from the Gulf of Aqaba to seawater conditions likely to occur just beyond the end of this century during the peak planulae brooding season (Representative Concentration Pathway 8.5: pH -0.4 and +5 degrees C beyond present day). Parent and planulae physiology were assessed at multiple time points during the experimental incubation. After 5 weeks of incubation, the physiology of the parent colonies exhibited limited treatment-induced changes. All significant time-dependent changes in physiology occurred in both ambient and treatment conditions. Planulae were also resistant to future ocean conditions, with protein content, symbiont density, photochemistry, survival and settlement success not significantly different compared with under ambient conditions. High variability in offspring physiology was independent of parental or offspring treatments and indicate the use of a bet-hedging strategy in this population. This study thus demonstrates weak climate-change-associated carryover effects. Furthermore, planulae display temperature and pH resistance similar to those of adult colonies and therefore do not represent a larger future population size bottleneck. The findings add support to the emerging hypothesis that the Gulf of Aqaba may serve as a coral climate change refugium aided by these corals' inherent broad physiological resistance.",2019,10.1242/jeb.186940,222,1,NA,jeb186940,Phenotypic plasticity; Early life history; Ocean acidification; Trans-generational; Parental effects; Planulae
article,Size-dependent physiological responses of the branching coral <i>Pocillopora verrucosa</i> to elevated temperature and <i>P</i><sub>CO2</sub>,"Edmunds, Peter J. and Burgess, Scott C.",JOURNAL OF EXPERIMENTAL BIOLOGY,"Body size has large effects on organism physiology, but these effects remain poorly understood in modular animals with complex morphologies. Using two trials of a similar to 24 day experiment conducted in 2014 and 2015, we tested the hypothesis that colony size of the coral Pocillopora verrucosa affects the response of calcification, aerobic respiration and gross photosynthesis to temperature (similar to 26.5 and similar to 29.7 degrees C) and PCO2 (similar to 40 and similar to 1000 atm). Large corals calcified more than small corals, but at a slower size-specific rate; areanormalized calcification declined with size. Whole-colony and areanormalized calcification were unaffected by temperature, P-CO2, or the interaction between the two. Whole-colony respiration increased with colony size, but the slopes of these relationships differed between treatments. Area-normalized gross photosynthesis declined with colony size, but whole-colony photosynthesis was unaffected by P-CO2, and showed a weak response to temperature. When scaled up to predict the response of large corals, area-normalized metrics of physiological performance measured using small corals provide inaccurate estimates of the physiological performance of large colonies. Together, these results demonstrate the importance of colony size in modulating the response of branching corals to elevated temperature and high P-CO2",2016,10.1242/jeb.146381,219,24,3896-3906,NA,Scleractinia; Climate change; Ocean acidification; Temperature
article,"Physiological and molecular responses of the goldfish (<i>Carassius auratus</i>) kidney to metabolic acidosis, and potential mechanisms of renal ammonia transport","Lawrence, Michael J. and Wright, Patricia A. and Wood, Chris M.",JOURNAL OF EXPERIMENTAL BIOLOGY,"Relative to the gills, the mechanisms by which the kidney contributes to ammonia and acid-base homeostasis in fish are poorly understood. Goldfish were exposed to a low pH environment (pH 4.0, 48 h), which induced a characteristic metabolic acidosis and an increase in total plasma {[}ammonia] but reduced plasma ammonia partial pressure (P-NH3). In the kidney tissue, total ammonia, lactate and intracellular pH remained unchanged. The urinary excretion rate of net base under control conditions changed to net acid excretion under low pH, with contributions from both the NH4+ (similar to 30\%) and titratable acidity minus bicarbonate (similar to 70\%; TA-HCO3-) components. Inorganic phosphate (P-i), urea and Na+ excretion rates were also elevated while Cl- excretion rates were unchanged. Renal alanine aminotransferase activity increased under acidosis. The increase in renal ammonia excretion was due to significant increases in both the glomerular filtration and the tubular secretion rates of ammonia, with the latter accounting for similar to 75\% of the increase. There was also a 3.5-fold increase in the mRNA expression of renal Rhcg-b (Rhcg1) mRNA. There was no relationship between ammonia secretion and Na+ reabsorption. These data indicate that increased renal ammonia secretion during acidosis is probably mediated through Rhesus (Rh) glycoproteins and occurs independently of Na+ transport, in contrast to branchial and epidermal models of Na+-dependent ammonia transport in freshwater fish. Rather, we propose a model of parallel H+/NH3 transport as the primary mechanism of renal tubular ammonia secretion that is dependent on renal amino acid catabolism.",2015,10.1242/jeb.117689,218,13,2124-2135,NA,Renal excretion; Renal tubule; Urine pH; Urine flow rate; Glomerular filtration rate; Amino acid catabolism; Rhesus glycoproteins; Na+ transport; Acid-base regulation
article,Hemoglobin function and allosteric regulation in semi-fossorial rodents (family Sciuridae) with different altitudinal ranges,"Revsbech, Inge G. and Tufts, Danielle M. and Projecto-Garcia, Joana and Moriyama, Hideaki and Weber, Roy E. and Storz, Jay F. and Fago, Angela",JOURNAL OF EXPERIMENTAL BIOLOGY,"Semi-fossorial ground squirrels face challenges to respiratory gas transport associated with the chronic hypoxia and hypercapnia of underground burrows, and such challenges are compounded in species that are native to high altitude. During hibernation, such species must also contend with vicissitudes of blood gas concentrations and plasma pH caused by episodic breathing. Here, we report an analysis of hemoglobin (Hb) function in six species of marmotine ground squirrels with different altitudinal distributions. Regardless of their native altitude, all species have high Hb-O-2 affinities, mainly due to suppressed sensitivities to allosteric effectors [}2,3-diphosphoglycerate (DPG) and chloride ions]. This suppressed anion sensitivity is surprising given that all canonical anion-binding sites are conserved. Two sciurid species, the golden-mantled and thirteen-lined ground squirrel, have Hb-O-2 affinities that are characterized by high pH sensitivity and low thermal sensitivity relative to the Hbs of humans and other mammals. The pronounced Bohr effect is surprising in light of highly unusual amino acid substitutions at the C-termini that are known to abolish the Bohr effect in human HbA. Taken together, the high O-2 affinity of sciurid Hbs suggests an enhanced capacity for pulmonary O-2 loading under hypoxic and hypercapnic conditions, while the large Bohr effect should help to ensure efficient O-2 unloading in tissue capillaries. In spite of the relatively low thermal sensitivities of the sciurid Hbs, our results indicate that the effect of hypothermia on Hb oxygenation is the main factor contributing to the increased blood-O-2 affinity in hibernating ground squirrels.",2013,10.1242/jeb.091397,216,22,4264-4271,NA,adaptation; allostery; globin; hibernation; hypoxia
