type,title,authors,journal,abstract,year,doi,volume,issue,pages,article_number,keywords
article,Conserving threatened species during rapid environmental change: using biological responses to inform management strategies of giant clams,"Watson, Sue-Ann and Neo, Mei Lin",CONSERVATION PHYSIOLOGY,"Giant clams are threatened by overexploitation for human consumption, their valuable shells and the aquarium trade. Consequently, these iconic coral reef megafauna are extinct in some former areas of their range and are included in the International Union for Conservation of Nature (IUCN) Red List of Threatened Species and Convention on International Trade in Endangered Species of Wild Fauna and Flora. Now, giant clams are also threatened by rapid environmental change from both a suite of local and regional scale stressors and global change, including climate change, global warming, marine heatwaves and ocean acidification. The interplay between local- to regional-scale and global-scale drivers is likely to cause an array of lethal and sub-lethal effects on giant clams, potentially limiting their depth distribution on coral reefs and decreasing suitable habitat area within natural ranges of species. Global change stressors, pervasive both in unprotected and protected areas, threaten to diminish conservation efforts to date. International efforts urgently need to reduce carbon dioxide emissions to avoid lethal and sub-lethal effects of global change on giant clams. Meanwhile, knowledge of giant clam physiological and ecological responses to local-regional and global stressors could play a critical role in conservation strategies of these threatened species through rapid environmental change. Further work on how biological responses translate into habitat requirements as global change progresses, selective breeding for resilience, the capacity for rapid adaptive responses of the giant clam holobiont and valuing tourism potential, including recognizing giant clams as a flagship species for coral reefs, may help improve the prospects of these charismatic megafauna over the coming decades.",2021,10.1093/conphys/coab082,9,NA,NA,coab082,climate change; CO2; ocean acidification; light; Tridacna; Hippopus
article,Measuring the pulse of trees; using the vascular system to predict tree mortality in the 21st century,"Brodribb, Timothy J. and Cochard, Herve and Dominguez, Celia Rodriguez",CONSERVATION PHYSIOLOGY,"Tree mortality during hot and dry conditions presents a stark reminder of the vulnerability of plant species to climatic extremes. The current global warming trend makes predicting the impacts of hot/dry events on species survival an urgent task; yet, the standard tools for this purpose lack a physiological basis. This review examines a diversity of recent evidence demonstrating how physiological attributes of plant vascular systems can explain not only why trees die during drought, but also their distributional limits according to rainfall. These important advances in the science of plant water transport physiology provide the basis for new hydraulic models that can provide credible predictions of not only how but when, where and which species will be impacted by changes in rainfall and temperature in the future. Applying a recently developed hydraulic model using realistic parameters, we show that even apparently safe mesic forest in central France is predicted to experience major forest mortality before the end of the century.",2019,10.1093/conphys/coz046,7,NA,NA,coz046,Drought; extinction; hydraulic; tree mortality
article,Zebrafish (<i>Danio rerio</i>) behaviour is largely unaffected by elevated pCO<sub>2</sub>,"Vossen, Laura E. and Jutfelt, Fredrik and Cocco, Arianna and Thornqvist, Per-Ove and Winberg, Svante",CONSERVATION PHYSIOLOGY,"Ocean acidification, the decrease in ocean pH caused by anthropogenic emission of carbon dioxide, can cause behavioural disturbances in marine teleost species. We investigated whether AB-strain zebrafish (Danio rerio) show similar behavioural disturbances in the presence of elevated CO2, because this model species could open up a toolbox to investigate the physiological and neurological mechanisms of CO2 exposure. We found no effect of elevated CO2 (similar to 1600 mu atm) on the behaviour of zebrafish in the open field test, indicating that zebrafish are largely insensitive to this elevated CO2 level. In the detour test of lateralization, however, zebrafish exposed to elevated CO2 swam more often to the right, whereas individuals exposed to control CO2 (similar to 400 mu atm) had no preference for left or right. This may indicate that some behaviours of some freshwater fishes can be altered by elevated CO2 levels. Given that elevated CO2 levels often occur in recirculating aquaculture and aquarium systems, we recommend that dissolved CO2 levels are measured and, if necessary, the aquarium water should be aerated, in order to exclude CO2 level as a confounding factor in experiments.",2016,10.1093/conphys/cow065,4,NA,NA,cow065,Behavioural lateralization; detour; gabazine; ocean acidification; open field; zebrafish
article,Respiratory acidosis and O<sub>2</sub> supply capacity do not affect the acute temperature tolerance of rainbow trout (<i>Oncorhynchus mykiss</i>),"Montgomery, Daniel W. and Finlay, Jennifer and Simpson, Stephen D. and Engelhard, Georg H. and Birchenough, Silvana N. R. and Wilson, Rod W.",CONSERVATION PHYSIOLOGY,"The mechanisms that determine the temperature tolerances of fish are poorly understood, creating barriers to disentangle how additional environmental challenges-such as CO2-induced aquatic acidification and fluctuating oxygen availability-may exacerbate vulnerability to a warming climate and extreme heat events. Here, we explored whether two acute exposures (similar to 0.5 hours or similar to 72 hours) to increased CO2 impact acute temperature tolerance limits in a freshwater fish, rainbow trout (Oncorhynchus mykiss). We separated the potential effects of acute high CO2 exposure on critical thermal maximum (CTmax), caused via either respiratory acidosis (reduced internal pH) or O-2 supply capacity (aerobic scope), by exposing rainbow trout to similar to 1 kPa CO2 (similar to 1\% or 10 000 mu atm) in combination with normoxia or hyperoxia (similar to 21 or 42 kPa O-2, respectively). In normoxia, acute exposure to high CO2 caused a large acidosis in trout (blood pH decreased by 0.43 units), while a combination of hyperoxia and similar to 1 kPa CO2 increased the aerobic scope of trout by 28\%. Despite large changes in blood pH and aerobic scope between treatments, we observed no impacts on the CTmax of trout. Our results suggest that the mechanisms that determine the maximum temperature tolerance of trout are independent of blood acid-base balance or the capacity to deliver O-2 to tissues.",2024,10.1093/conphys/coae026,12,1,NA,coae026,CO2; CTmax; hypercapnia; hyperoxia; OCLTT
article,Neural effects of elevated CO<sub>2</sub> in fishmay be amplified by a vicious cycle,"Schunter, Celia and Ravasi, Timothy and Munday, Philip L. and Nilsson, Goran E.",CONSERVATION PHYSIOLOGY,"Maladaptive behavioural disturbances have been reported in some fishes and aquatic invertebrates exposed to projected future CO2 levels. These disturbances have been linked to altered ion gradients and neurotransmitter function in the brain. Still, it seems surprising that the relatively small ionic changes induced by near-future CO2 levels can have such profound neural effects. Based on recent transcriptomics data, we propose that a vicious cycle can be triggered that amplifies the initial disturbance, explaining howsmall pH regulatory adjustments in response to ocean acidification can lead to major behavioural alterations in fish and other water-breathing animals. The proposed cycle is initiated by a reversal of the function of some inhibitory GABA(A) receptors in the direction of neural excitation and then amplified by adjustments in gene expression aimed at suppressing the excitation but in reality increasing it. In addition, the increased metabolic production of CO2 by overexcited neurons will feed into the cycle by elevating intracellular bicarbonate levels that will lead to increased excitatory ion fluxes through GABA(A) receptors. We also discuss the possibility that an initiation of a vicious cycle could be one of the several factors underlying the differences in neural sensitivity to elevated CO2 displayed by fishes.",2019,10.1093/conphys/coz100,7,NA,NA,coz100,Ocean acidification; hypercapnia; GABA; behaviour; fish; brain
article,Effects of ocean acidification on embryonic respiration and development of a temperate wrasse living along a natural CO<sub>2</sub> gradient,"Cattano, Carlo and Giomi, Folco and Milazzo, Marco",CONSERVATION PHYSIOLOGY,"Volcanic CO2 seeps provide opportunities to investigate the effects of ocean acidification on organisms in the wild. To understand the influence of increasing CO2 concentrations on the metabolic rate (oxygen consumption) and the development of ocellated wrasse early life stages, we ran two field experiments, collecting embryos from nesting sites with different partial pressures of CO2 {[}pCO(2); ambient (similar to 400 mu atm) and high (800-1000 mu atm)] and reciprocally transplanting embryos from ambient- to high-CO2 sites for 30 h. Ocellated wrasse offspring brooded in different CO2 conditions had similar responses, but after transplanting portions of nests to the high-CO2 site, embryos from parents that spawned in ambient conditions had higher metabolic rates. Although metabolic phenotypic plasticity may show a positive response to high CO2, it often comes at a cost, in this case as a smaller size at hatching. This can have adverse effects because smaller larvae often exhibit a lower survival in the wild. However, the adverse effects of increased CO2 on metabolism and development did not occur when embryos from the high-CO2 nesting site were exposed to ambient conditions, suggesting that offspring from the high-CO2 nesting site could be resilient to a wider range of pCO(2) values than those belonging to the site with present-day pCO(2) levels. Our study identifies a crucial need to increase the number of studies dealing with these processes under global change trajectories and to expand these to naturally high-CO2 environments, in order to assess further the adaptive plasticity mechanism that encompasses non-genetic inheritance (epigenetics) through parental exposure and other downstream consequences, such as survival of larvae.",2016,10.1093/conphys/cov073,4,NA,NA,cov073,Early development; global change; physiological performance; Symphodus ocellatus; temperate fish
article,Physiological responses of three species of unionid mussels to intermittent exposure to elevated carbon dioxide,"Hannan, Kelly D. and Jeffrey, Jennifer D. and Hasler, Caleb T. and Suski, Cory D.",CONSERVATION PHYSIOLOGY,"Freshwater systems are at risk owing to increasing carbon dioxide (CO2) levels, and one of the possible reasons for these elevations is the deployment of non-physical fish barriers to prevent invasive fish movements. Carbon dioxide barriers have the potential to create short, chronic and intermittent exposures of CO2 for surrounding freshwater biota. Although intermittent exposures to a stressor may be more ecologically relevant, the majority of laboratory tests use chronic or short-term time periods to determine how organisms will respond to an environmental stressor. Measurements of the physiological responses of three species of unionid mussel, giant floaters (Pyganodon grandis), threeridge (Amblema plicata) and plain pocketbook (Lampsilis cardium), exposed to control pCO(2) (similar to 1000 mu atm) or intermittent conditions of pCO(2) (ranging from similar to 1000 to similar to 55 000 mu atm) 12 times per day over a 28 day period were gathered. There was no indication of recovery in the physiological responses of mussels between applications of CO2, suggesting that the recovery time between CO2 pulses (1.5 h) was not sufficient for recovery from the CO2 exposure period (0.5 h). Observations of acid-base and stress responses were consistent with what has been observed in chronic studies of freshwater mussels exposed to elevated pCO(2) (i.e. elevations in HCO3-, Ca2+, Na+ and glucose, and decreases in Mg2+ and Cl-). However, species differences were observed across almost all variables measured, which emphasizes the need for multispecies studies.",2016,10.1093/conphys/cow066,4,NA,NA,cow066,Acid-base regulation; bivalve; freshwater acidification; ions
article,Aerobic performance of two tropical cephalopod species unaltered by prolonged exposure to projected future carbon dioxide levels,"Spady, Blake L. and Nay, Tiffany J. and Rummer, Jodie L. and Munday, Philip L. and Watson, Sue-Ann",CONSERVATION PHYSIOLOGY,"Squid and many other cephalopods live continuously on the threshold of their environmental oxygen limitations. If the abilities of squid to effectively take up oxygen are negatively affected by projected future carbon dioxide (CO2) levels in ways similar to those demonstrated in some fish and invertebrates, it could affect the success of squid in future oceans. While there is evidence that acute exposure to elevated CO2 has adverse effects on cephalopod respiratory performance, no studies have investigated this in an adult cephalopod after relatively prolonged exposure to elevated CO2 or determined any effects on aerobic scope. Here, we tested the effects of prolonged exposure (>= 20\% of lifespan) to elevated CO2 levels (similar to 1000 mu atm) on the routine and maximal oxygen uptake rates, aerobic scope and recovery time of two tropical cephalopod species, the two-toned pygmy squid, Idiosepius pygmaeus and the bigfin reef squid, Sepioteuthis lessoniana. Neither species exhibited evidence of altered aerobic performance after exposure to elevated CO2 when compared to individuals held at control conditions. The recovery time of I. pygmaeus under both control and elevated CO2 conditions was less than 1 hour, whereas S. lessoniana required approximately 8 hours to recover fully following maximal aerobic performance. This difference in recovery time may be due to the more sedentary behaviours of I. pygmaeus. The ability of these two cephalopod species to cope with prolonged exposure to elevated CO2 without detriment to their aerobic performance suggests some resilience to an increasingly high CO2 world.",2019,10.1093/conphys/coz024,7,NA,NA,coz024,Aerobic scope; cephalopod; CO2 respirometry; ocean acidification; oxygen uptake
article,"Effects of elevated temperature and <i>p</i>CO<sub>2</sub> on the respiration, biomineralization and photophysiology of the giant clam <i>Tridacna maxima</i>","Brahmi, Chloe and Chapron, Leila and Le Moullac, Gilles and Soyez, Claude and Beliaeff, Benoit and Lazareth, Claire E. and Gaertner-Mazouni, Nabila and Vidal-Dupiol, Jeremie",CONSERVATION PHYSIOLOGY,"Many reef organisms, such as the giant clams, are confronted with global change effects. Abnormally high seawater temperatures can lead to mass bleaching events and subsequent mortality, while ocean acidification may impact biomineralization processes. Despite its strong ecological and socio-economic importance, its responses to these threats still need to be explored. We investigated physiological responses of 4-year-old Tridacna maxima to realistic levels of temperature (+1.5 degrees C) and partial pressure of carbon dioxide (pCO(2)) (+800 mu atm of CO2) predicted for 2100 in French Polynesian lagoons during the warmer season. During a 65-day crossed-factorial experiment, individuals were exposed to two temperatures (29.2 degrees C, 30.7 degrees C) and two pCO(2) (430 mu atm, 1212 mu atm) conditions. The impact of each environmental parameter and their potential synergetic effect were evaluated based on respiration, biomineralization and photophysiology. Kinetics of thermal and/or acidification stress were evaluated by performing measurements at different times of exposure (29, 41, 53, 65 days). At 30.7 degrees C, the holobiont O-2 production, symbiont photosynthetic yield and density were negatively impacted. High pCO(2) had a significant negative effect on shell growth rate, symbiont photosynthetic yield and density. No significant differences of the shell microstructure were observed between control and experimental conditions in the first 29 days; however, modifications (i.e. less-cohesive lamellae) appeared from 41 days in all temperature and pCO(2) conditions. No significant synergetic effect was found. Present thermal conditions (29.2 degrees C) appeared to be sufficiently stressful to induce a host acclimatization response. All these observations indicate that temperature and pCO(2) are both forcing variables affecting T. maxima's physiology and jeopardize its survival under environmental conditions predicted for the end of this century.",2021,10.1093/conphys/coab041,9,NA,1-17,coab041,Giant clams; ocean acidification; photosynthetic yield; respiration; symbionts; thermal stress
article,How free-ranging ungulates with differing water dependencies cope with seasonal variation in temperature and aridity,"Boyers, Melinda and Parrini, Francesca and Owen-Smith, Norman and Erasmus, Barend F. N. and Hetem, Robyn S.",CONSERVATION PHYSIOLOGY,"We compared the behavioural and physiological flexibility of two sympatric species with different water dependencies to seasonal variation in temperature and aridity. Both species coped relativelywell with current fluctuations, but as water sources become less reliable under future climate change scenarios, the water-dependent species may risk extirpation. Large mammals respond to seasonal changes in temperature and precipitation by behavioural and physiological flexibility. These responses are likely to differ between species with differing water dependencies. We used biologgers to contrast the seasonal differences in activity patterns, microclimate selection, distance to potential water source and body temperature of the water-independent gemsbok (Oryx gazella gazella) and water-dependent blue wildebeest (Connochaetes taurinus), free-living in the arid Kalahari region of Botswana. Gemsbok were more active nocturnally during the hot seasons than in the cold-dry season, while wildebeest showed no seasonal difference in their nocturnal activity level. Both species similarly selected shaded microclimates during the heat of the day, particularly during the hot seasons. Wildebeest were further than 10 km from surface water 30\% or more of the time, while gemsbok were frequently recorded >20 km from potential water sources. In general, both species showed similar body temperature variation with highmaximum24-h body temperaturewhen conditions were hot and low minimum 24-h body temperatures when conditions were dry, resulting in the largest amplitude of 24-h body temperature rhythm during the hot-dry period. Wildebeest thus coped almost as well as gemsbok with the fairly typical seasonal conditions that occurred during our study period. They do need to access surface water and may travel long distances to do sowhenlocal water sources becomedepleted during drought conditions. Thus, perennial water sources should be provided judiciously and only where essential.",2019,10.1093/conphys/coz064,7,NA,NA,coz064,behaviour flexibility; biologging; Climate Change; thermoregulation
