type,title,authors,journal,abstract,year,doi,volume,issue,pages,article_number,keywords
article,Hydrodynamic function of dorsal fins in spiny dogfish and bamboo sharks during steady swimming,"Maia, Anabela and Lauder, George V. and Wilga, Cheryl D.",JOURNAL OF EXPERIMENTAL BIOLOGY,"A key feature of fish functional design is the presence of multiple fins that allow thrust vectoring and redirection of fluid momentum to contribute to both steady swimming and maneuvering. A number of previous studies have analyzed the function of dorsal fins in teleost fishes in this context, but the hydrodynamic function of dorsal fins in freely swimming sharks has not been analyzed, despite the potential for differential functional roles between the anterior and posterior dorsal fins. Previous anatomical research has suggested a primarily stabilizing role for shark dorsal fins. We evaluated the generality of this hypothesis by using time-resolved particle image velocimetry to record water flow patterns in the wake of both the anterior and posterior dorsal fins in two species of freely swimming sharks: bamboo sharks (Chiloscyllium plagiosum) and spiny dogfish (Squalus acanthias). Cross-correlation analysis of consecutive images was used to calculate stroke-averaged mean longitudinal and lateral velocity components, and vorticity. In spiny dogfish, we observed a velocity deficit in the wake of the first dorsal fin and flow acceleration behind the second dorsal fin, indicating that the first dorsal fin experiences net drag while the second dorsal fin can aid in propulsion. In contrast, the wake of both dorsal fins in bamboo sharks displayed increased net flow velocity in the majority of trials, reflecting a thrust contribution to steady swimming. In bamboo sharks, fluid flow in the wake of the second dorsal fin had higher absolute average velocity than that for first dorsal fin, and this may result from a positive vortex interaction between the first and second dorsal fins. These data suggest that the first dorsal fin in spiny dogfish has primarily a stabilizing function, while the second dorsal fin has a propulsive function. In bamboo sharks, both dorsal fins can contribute thrust and should be considered as propulsive adjuncts to the body during steady swimming. The function of shark dorsal fins can thus differ considerably among fins and species, and is not limited to a stabilizing role.",2017,10.1242/jeb.152215,220,21,3967-3975,NA,Elasmobranchs; Particle image velocimetry; PIV; Functional morphology; Locomotion; Wake; Flow visualization
article,"Nitrogen metabolism of the intestine during digestion in a teleost fish, the plainfin midshipman (<i>Porichthys notatus</i>)","Bucking, Carol and LeMoine, Christophe M. R. and Craig, Paul M. and Walsh, Patrick J.",JOURNAL OF EXPERIMENTAL BIOLOGY,"Digestion affects nitrogen metabolism in fish, as both exogenous and endogenous proteins and amino acids are catabolized, liberating ammonia in the process. Here we present a model of local detoxification of ammonia by the intestinal tissue of the plainfin midshipman (Porichthys notatus) during digestion, resulting in an increase in urea excretion of gastrointestinal origin. Corroborating evidence indicated whole-animal ammonia and urea excretion increased following feeding, and ammonia levels within the lumen of the midshipman intestine increased to high levels (1.8 +/- 0.4. mu mol N g(-1)). We propose that this ammonia entered the enterocytes and was detoxified to urea via the ornithine-urea cycle (O-UC) enzymes, as evidenced by a 1.5- to 2.9-fold postprandial increase in glutamine synthetase activity (0.14 +/- 0.05 and 0.28 +/- 0.02 mu mol min(-1) g(-1) versus 0.41 +/- 0.03 mu mol min(-1) g(-1)) and an 8.7-fold increase in carbamoyl phosphate synthetase III activity (0.3 +/- 1.2 versus 2.6 +/- 0.4 nmol min(-1) g(-1)). Furthermore, digestion increased urea production by isolated gastrointestinal tissue 1.7-fold, supporting our hypothesis that intestinal tissue synthesizes urea in response to feeding. We further propose that the intestinal urea may have been excreted into the intestinal lumen via an apical urea transporter as visualized using immunohistochemistry. A portion of the urea was then excreted to the environment along with the feces, resulting in the observed increase in urea excretion, while another portion may have been used by intestinal ureolytic bacteria. Overall, we propose that P. notatus produces urea within the enterocytes via a functional O-UC, which is then excreted into the intestinal lumen. Our model of intestinal nitrogen metabolism does not appear to be universal as we were unable to activate the O-UC in the intestine of fed rainbow trout. However, literature values suggest that multiple fish species could follow this model.",2013,10.1242/jeb.081562,216,15,2821-2832,NA,ammonia; urea; prandial; ureolytic bacteria; Porichthys notatus; Oncorhynchus mykiss
article,Anti-diuretic action of a CAPA neuropeptide against a subset of diuretic hormones in the disease vector <i>Aedes</i> <i>aegypti</i>,"Sajadi, Farwa and Curcuruto, Carmela and Al Dhaheri, Afra and Paluzzi, Jean-Paul V.",JOURNAL OF EXPERIMENTAL BIOLOGY,"The mosquito Aedes aegypti is a vector responsible for transmitting various pathogens to humans, and their prominence as chief vectors of human disease is largely due to their anthropophilic blood feeding behaviour. Larval stage mosquitoes must deal with the potential dilution of their haemolymph in freshwater, whereas the haematophagus A. aegypti female faces the challenge of excess ion and water intake after a blood meal. The excretory system, composed of the Malpighian tubules (MTs) and hindgut, is strictly controlled by neuroendocrine factors, responsible for the regulation of diuresis across all developmental stages. The highly studied insect MTs are influenced by a variety of diuretic hormones and, in some insects, anti-diuretic factors. In the present study, we investigated the effects of AedaeCAPA-1 neuropeptide on larval and adult female A. aegypti MTs stimulated with various diuretic factors including serotonin (5-HT), a corticotropin-related factor (CRF) diuretic peptide, a calcitonin-related diuretic hormone (DH31) and a kinin-related diuretic peptide. Overall, our findings establish that AedaeCAPA-1 specifically inhibits secretion of larval and adult MTs stimulated by 5-HT and DH31, whilst having no activity on MTs stimulated by other diuretic factors. Furthermore, although AedaeCAPA-1 acts as an antidiuretic, it does not influence the relative proportions of cations transported by adult MTs, thus maintaining the kaliuretic activity of 5-HT and natriuretic activity of DH31. In addition, we tested the effects of the second messenger cGMP in adult MTs. We established that cGMP has similar effects to AedaeCAPA-1, strongly inhibiting 5-HT-nd DH31-stimulated fluid secretion, but with only minor effects on CRF-stimulated diuresis. Interestingly, although AedaeCAPA-1 has no inhibitory activity on kinin-stimulated fluid secretion, cGMP strongly inhibited fluid secretion by this diuretic hormone, which targets stellate cells specifically. Collectively, these results support that AedaeCAPA-1 inhibits select diuretic factors acting on the principal cells and this probably involves cGMP as a second messenger. Kinin-stimulated diuresis, which targets stellate cells, is also inhibited by cGMP, suggesting that another anti-diuretic factor in addition to AedaeCAPA-1 exists and may utilize cGMP as a second messenger.",2018,10.1242/jeb.177089,221,7,NA,jeb177089,Disease vector; Anti-diuretic hormone; Malpighian tubules; Calcitonin-like diuretic hormone; DH31; Corticotropin-releasing factor-related diuretic hormone; Kinin; Serotonin
article,"Estimating maximum oxygen uptake of fishes during swimming and following exhaustive chase - different results, biological bases and applications","Rees, Bernard B. and Reemeyer, Jessica E. and Binning, Sandra A. and Brieske, Samantha D. and Clark, Timothy D. and De Bonville, Jeremy and Eisenberg, Rachel M. and Raby, Graham D. and Roche, Dominique and Rummer, Jodie L. and Zhang, Yangfan",JOURNAL OF EXPERIMENTAL BIOLOGY,"The maximum rate at which animals take up oxygen from their environment (M O 2 ,max ) is a crucial aspect of their physiology and ecology. In fishes, M O 2 ,max is commonly quantified by measuring oxygen uptake either during incremental swimming tests or during recovery from an exhaustive chase. In this Commentary, we compile recent studies that apply both techniques to the same fish and show that the two methods typically yield different mean estimates of M O 2 ,max for a group of individuals. Furthermore, within a group of fish, estimates of M O 2 ,max determined during swimming are poorly correlated with estimates determined during recovery from chasing (i.e. an individual's M O 2 ,max is not repeatable across methods). One explanation for the lack of agreement is that these methods measure different physiological states, each with their own behavioural, anatomical and biochemical determinants. We propose that these methods are not directly interchangeable but, rather, each is suited to address different questions in fish biology. We suggest that researchers select the method that reflects the biological contexts of their study, and we advocate for the use of accurate terminology that acknowledges the technique used to elevate M O 2 (e.g. peak M O 2 ,swim or peak M O 2 ,recovery ). If the study's objective is to estimate the `true' M O 2 ,max of an individual or species, we recommend that pilot studies compare methods, preferably using repeated-measures designs. We hope that these recommendations contribute new insights into the causes and consequences of variation in M O 2 ,max within and among fish species.",2024,10.1242/jeb.246439,227,11,NA,jeb246439,Respirometry; Aerobic metabolism; Swim tunnel; Exhaustive chase; Individual variation
article,Glucose tolerance predicts survival in old zebra finches,"Montoya, Bibiana and Briga, Michael and Jimeno, Blanca and Verhulst, Simon",JOURNAL OF EXPERIMENTAL BIOLOGY,"The capacity to deal with external and internal challenges is thought to affect fitness, and the age-linked impairment of this capacity defines the ageing process. Using a recently developed intraperitoneal glucose tolerance test (GTT), we tested for a link between the capacity to regulate glucose levels and survival in zebra finches. We also investigated for the effects of ambient factors, age, sex, and manipulated developmental and adult conditions (i.e. natal brood size and foraging cost, in a full factorial design) on glucose tolerance. Glucose tolerance was quantified using the incremental `area under the curve' (AUC), with lower values indicating higher tolerance. Glucose tolerance predicted survival probability in old birds, above the median age, with individuals with higher glucose tolerance showing better survival than individuals with low or intermediate glucose tolerance. In young birds there was no association between glucose tolerance and survival. Experimentally induced adverse developmental conditions did not affect glucose tolerance, but lowambient temperature at sampling and hard foraging conditions during adulthood induced a fast return to baseline levels (i.e. high glucose tolerance). These findings can be interpreted as an efficient return to baseline glucose levels when energy requirements are high, with glucose presumably being used for energy metabolism or storage. Glucose tolerance was independent of sex. Our main finding that old birds with higher glucose tolerance had better survival supports the hypothesis that the capacity to efficiently cope with a physiological challenge predicts lifespan, at least in old birds.",2022,10.1242/jeb.243205,225,11,NA,jeb243205,Early-life environment; Glucose regulation; Glucose tolerance test; Survival; Age-dependent mortality; Taeniopygia guttata
article,Bivalves maintain repair when faced with chronically repeated mechanical stress,"Crane, R. L. and Denny, M. W.",JOURNAL OF EXPERIMENTAL BIOLOGY,"Even though mollusks' capacity to repair shell damage is usually studied in response to a single event, their shells have to defend them against predatory and environmental threats throughout their potentially multi-decadal life. We measured whether and how mollusks respond to chronic mechanical stress. Once a week for 7 months, we compressed whole live California mussels (Mytilus califomianus) for 15 cycles at similar to 55\% of their predicted one-time breaking force, a treatment known to cause fatigue damage in shells. We found mussels repaired their shells. Shells of experimentally stressed mussels were just as strong at the end of the experiment as those of control mussels that had not been experimentally loaded, and they were more heavily patched internally. Additionally, stressed shells differed in morphology; they were heavier and thicker at the end of the experiment than control shells but they had increased less in width, resulting in a flatter, less domed shape. Finally, the chronic mechanical stress and repair came at a cost, with stressed mussels having higher mortality and less soft tissue than the control group. Although associated with significant cost, mussels' ability to maintain repair in response to ongoing mechanical stress may be vital to their survival in harsh and predator-filled environments.",2022,10.1242/jeb.243813,225,10,NA,jeb243813,Cyclic loading; Fatigue; Functional morphology; Mollusk; Mussel; Mytilus californianus
article,Developmental plasticity in metabolism but not in energy reserve accumulation in a seasonally polyphenic butterfly,"Kivela, Sami M. and Gotthard, Karl and Lehmann, Philipp",JOURNAL OF EXPERIMENTAL BIOLOGY,"The evolution of seasonal polyphenisms (discrete phenotypes in different annual generations) associated with alternative developmental pathways of diapause (overwintering) and direct development is favoured in temperate insects. Seasonal life history polyphenisms are common and include faster growth and development under direct development than in diapause. However, the physiological underpinnings of this difference remain poorly known despite its significance for understanding the evolution of polyphenisms. We measured respiration and metabolic rates through the penultimate and final larval instars in the butterfly Pieris napi and show that directly developing larvae grew and developed faster and had a higher metabolic rate than larvae entering pupal diapause. The metabolic divergence appeared only in the final instar, that is, after induction of the developmental pathway that takes place in the penultimate instar in P. napi. The accumulation of fat reserves during the final larval instar was similar under diapause and direct development, which was unexpected as diapause is predicted to select for exaggerated reserve accumulation. This suggests that overwinter survival in diapause does not require larger energy reserves than direct development, likely because of metabolic suppression in diapause pupae. The results, nevertheless, demonstrate that physiological changes coincide with the divergence of life histories between the alternative developmental pathways, thus elucidating the proximate basis of seasonal life history polyphenisms.",2019,10.1242/jeb.202150,222,13,NA,jeb202150,Allometry; Diapause; Direct development; Fat reserve; Life history; Metabolic rate; Polyphenism
article,Vultures respond to challenges of near-ground thermal soaring by varying bank angle,"Williams, Hannah J. and Duriez, Olivier and Holton, Mark D. and Dell'Omo, Giacomo and Wilson, Rory P. and Shepard, Emily L. C.",JOURNAL OF EXPERIMENTAL BIOLOGY,"Many large birds rely on thermal soaring flight to travel cross-country. As such, they are under selective pressure to minimise the time spent gaining altitude in thermal updrafts. Birds should be able to maximise their climb rates by maintaining a position close to the thermal core through careful selection of bank angle and airspeed; however, there have been few direct measurements of either parameter. Here, we apply a novel methodology to quantify the bank angles selected by soaring binds using on-board magnetometers. We couple these data with airspeed measurements to parameterise the soaring envelope of two species of Gyps vulture, from which it is possible to predict `optimal' bank angles. Our results show that these large birds respond to the challenges of gaining altitude in the initial phase of the climb, where thermal updrafts are weak and narrow, by adopting relatively high, and conserved, bank angles (25-35 deg). The bank angle decreased with increasing altitude, in a manner that was broadly consistent with a strategy of maximising the rate of climb. However, the lift coefficients estimated in our study were lower than those predicted by theoretical models and wind-tunnel studies. Overall, our results highlight how the relevant currency for soaring performance changes within individual climbs: when thermal radius is limiting, birds vary bank angle and maintain a constant airspeed, but speed increases later in the climb in order to respond to decreasing air density.",2018,10.1242/jeb.174995,221,23,NA,jeb174995,Gyps vulture; Aeronautical theory; Circling envelope; Magnetometry; Biologging; Thermal updraft
article,Energetic costs of locomotion in bears: is plantigrade locomotion energetically economical?,"Pagano, Anthony M. and Carnahan, Anthony M. and Robbins, Charles T. and Owen, Megan A. and Batsons, Tammy and Wagner, Nate and Cutting, Amy and Nicassio-Hiskey, Nicole and Hash, Amy and Williams, Terrie M.",JOURNAL OF EXPERIMENTAL BIOLOGY,"Ursids are the largest mammals to retain a plantigrade posture. This primitive posture has been proposed to result in reduced locomotor speed and economy relative to digitigrade and unguligrade species, particularly at high speeds. Previous energetics research on polar bears (Ursus maritimus) found locomotor costs were more than double predictions for similarly sized quadrupedal mammals, which could be a result of their plantigrade posture or due to adaptations to their Arctic marine existence. To evaluate whether polar bears are representative of terrestrial ursids or distinctly uneconomical walkers, this study measured the mass-specific metabolism, overall dynamic body acceleration, and gait kinematics of polar bears and grizzly bears (Ursus arctos) trained to rest and walk on a treadmill. At routine walking speeds, we found polar bears and grizzly bears exhibited similar costs of locomotion and gait kinematics, but differing measures of overall dynamic body acceleration. Minimum cost of transport while walking in the two species (2.21 J kg(-1) m(-1)) was comparable to predictions for similarly sized quadrupedal mammals, but these costs doubled (4.42 J kg(-1) m(-1)) at speeds >= 5.4 km h(-1). Similar to humans, another large plantigrade mammal, bears appear to exhibit a greater economy while moving at slow speeds.",2018,10.1242/jeb.175372,221,12,NA,jeb175372,Acceleration; Cost of transport; Metabolism; Overall dynamic body acceleration; Ursus arctos; Ursus maritimus
article,"X-ray computed tomography study of the flight-adapted tracheal system in the blowfly <i>Calliphora vicina</i>, analysing the ventilation mechanism and flow-directing valves","Wasserthal, Lutz Thilo and Cloetens, Peter and Fink, Rainer H. and Wasserthal, Lennard Knut",JOURNAL OF EXPERIMENTAL BIOLOGY,"Following the discovery of flight motor-driven unidirectional gas exchange with rising P-O2 in the blowfly, X-ray computed tomography (CT) was used to visualize the organization of the tracheal system in the anterior body with emphasis on the arrangement of the pathways for airflow. The fly's head is preferentially supplied by cephalic tracheae originating from the ventral orifice of the mesothoracic spiracle (Sp1). The respiratory airflow during flight is a by-product of cyclic deformations of the thoracic box by the flight muscles. The air sacs below the tergal integument (scutum and scutellum) facilitate the respiratory airflow: the shortening of the thorax turns the scutellum and the wings downward and the scutum upward with a volume increase in the scutal air sacs. The resulting negative pressure sucks air from Sp1 through special tracheae towards the scutal air sacs. The airflow is directed by two valves that open alternately: (1) the hinged filter flaps of the metathoracic spiracles (Sp2) are passively pushed open during the upstroke by the increased tracheal pressure, thereby enabling expiration; (2) a newly described tracheal valve-like septum behind the regular spiracular valve lids of Sp1 opens passively and air is sucked in through Spl during the downstroke and prevents expiration by closing during the upstroke. This stabilizes the unidirectional airflow. The tracheal volume of the head, thorax and abdomen and their mass were determined. Despite the different anatomy of birds and flies, the unidirectional airflow reveals a comparable efficiency of the temporal throughput in flies and hummingbirds.",2018,10.1242/jeb.176024,221,12,NA,jeb176024,Tracheae; Spiracles; Auto-ventilation; Synchrotron; X-ray imaging; Micro-tomography; Insect respiration; Gas exchange
