type,title,authors,journal,abstract,year,doi,volume,issue,pages,article_number,keywords
article,Dynamic digestive physiology of a female reproductive organ in a polyandrous butterfly,"Plakke, Melissa S. and Deutsch, Aaron B. and Meslin, Camille and Clark, Nathan L. and Morehouse, Nathan I.",JOURNAL OF EXPERIMENTAL BIOLOGY,"Reproductive traits experience high levels of selection because of their direct ties to fitness, often resulting in rapid adaptive evolution. Much of the work in this area has focused on male reproductive traits. However, a more comprehensive understanding of female reproductive adaptations and their relationship to male characters is crucial to uncover the relative roles of sexual cooperation and conflict in driving co-evolutionary dynamics between the sexes. We focus on the physiology of a complex female reproductive adaptation in butterflies and moths: a stomach-like organ in the female reproductive tract called the bursa copulatrix that digests the male ejaculate (spermatophore). Little is known about how the bursa digests the spermatophore. We characterized bursa proteolytic capacity in relation to female state in the polyandrous butterfly Pieris rapae. We found that the virgin bursa exhibits extremely high levels of proteolytic activity. Furthermore, in virgin females, bursal proteolytic capacity increases with time since eclosion and ambient temperature, but is not sensitive to the pre-mating social environment. Post copulation, bursal proteolytic activity decreases rapidly before rebounding toward the end of a mating cycle, suggesting active female regulation of proteolysis and/or potential quenching of proteolysis by male ejaculate constituents. Using transcriptomic and proteomic approaches, we report identities for nine proteases actively transcribed by bursal tissue and/or expressed in the bursal lumen that may contribute to observed bursal proteolysis. We discuss how these dynamic physiological characteristics may function as female adaptations resulting from sexual conflict over female remating rate in this polyandrous butterfly.",2015,10.1242/jeb.118323,218,10,1548-1555,NA,Lepidoptera; Bursa copulatrix; Pieris rapae; Proteolysis; Sexual conflict; Spermatophore
article,Disruption of insulin signalling affects the neuroendocrine stress reaction in <i>Drosophila</i> females,"Rauschenbach, Inga Y. and Karpova, Evgenia K. and Adonyeva, Natalya V. and Andreenkova, Olga V. and Faddeeva, Natalya V. and Burdina, Elena V. and Alekseev, Alexander A. and Menshanov, Petr N. and Gruntenko, Nataly E.",JOURNAL OF EXPERIMENTAL BIOLOGY,"Juvenile hormone (JH) and dopamine are involved in the stress response in insects. The insulin/insulin-like growth factor signalling pathway has also recently been found to be involved in the regulation of various processes, including stress tolerance. However, the relationships between the JH, dopamine and insulin signalling pathways remain unclear. Here, we study the role of insulin signalling in the regulation of JH and dopamine metabolism under normal and heat stress conditions in Drosophila melanogaster females. We show that suppression of the insulin-like receptor (InR) in the corpus allatum, a specialised endocrine gland that synthesises JH, causes an increase in dopamine level and JH-hydrolysing activity and alters the activities of enzymes that produce as well as those that degrade dopamine {[}alkaline phosphatase (ALP), tyrosine hydroxylase (TH) and dopamine-dependent arylalkylamine N-acetyltransferase (DAT)]. We also found that InR suppression in the corpus allatum modulates dopamine, ALP, TH and JH-hydrolysing activity in response to heat stress and that it decreases the fecundity of the flies. JH application restores dopamine metabolism and fecundity in females with decreased InR expression in the corpus allatum. Our data provide evidence that the insulin/insulin-like growth factor signalling pathway regulates dopamine metabolism in females of D. melanogaster via the system of JH metabolism and that it affects the development of the neuroendocrine stress reaction and interacts with JH in the control of reproduction in this species.",2014,10.1242/jeb.106815,217,20,3733-3741,NA,Drosophila; Insulin-like receptor; Juvenile hormone; Dopamine; Heat stress
article,Similar specificities of symbiont uptake by adults and larvae in an anemone model system for coral biology,"Hambleton, Elizabeth A. and Guse, Annika and Pringle, John R.",JOURNAL OF EXPERIMENTAL BIOLOGY,"Reef-building corals depend for much of their energy on photosynthesis by symbiotic dinoflagellate algae (genus Symbiodinium) that live within their gastrodermal cells. However, the cellular mechanisms underpinning this ecologically critical symbiosis, including those governing the specificity of symbiont uptake by the host, remain poorly understood, in part because of the difficulties of working with corals in the laboratory. Here, we used the small symbiotic sea anemone Aiptasia as an experimentally tractable model system to analyze the specificity and timing of symbiosis onset in larval and adult animals under controlled laboratory conditions. Using four clonal, axenic Symbiodinium strains, we found no difference in uptake specificity between larvae (even when very young) and adults. Although both compatible and incompatible algal strains were found within the larval guts, only the former appeared to be internalized by gastrodermal cells, and they (but not incompatible algae) proliferated rapidly within the larvae in the absence of detectable exchange with other larvae. Older larvae showed reduced ingestion of both compatible and incompatible algae, and the addition of food failed to promote the uptake of an incompatible algal strain. Thus, Aiptasia adults and larvae appear to have similar mechanisms for discriminating between compatible and incompatible dinoflagellate types prior to phagocytosis by host gastrodermal cells. Whether a particular algal strain is compatible or incompatible appears to be stable during years of axenic culture in the absence of a host. These studies provide a foundation for future analyses of the mechanisms of symbiont-uptake specificity in this emerging model system.",2014,10.1242/jeb.095679,217,9,1613-1619,NA,Anemone; Cnidarian; Coral reefs; Dinoflagellate; Planulae larvae; Symbiosis
article,Are torpid bats immune to anthropogenic noise?,"Luo, Jinhong and Clarin, B. -Markus and Borissov, Ivailo M. and Siemers, Bjoern M.",JOURNAL OF EXPERIMENTAL BIOLOGY,"Anthropogenic noise has a negative impact on a variety of animals. However, many bat species roost in places with high levels of anthropogenic noise. Here, we tested the hypothesis that torpid bats are insensitive to anthropogenic noise. In a laboratory experiment, we recorded skin temperature (T-sk) of bats roosting individually that were subjected to playbacks of different types of noise. We found that torpid bats with T-sk similar to 10 degrees C lower than their active T-sk responded to all types of noise by elevating Tsk. Bats responded most strongly to colony and vegetation noise, and most weakly to traffic noise. The time of day when torpid bats were exposed to noise had a pronounced effect on responses. Torpid bats showed increasing responses from morning towards evening, i.e. towards the onset of the active phase. Skin temperature at the onset of noise exposure (T-sk,T-start, 17-29 degrees C) was not related to the response. Moreover, we found evidence that torpid bats rapidly habituated to repeated and prolonged noise exposure.",2014,10.1242/jeb.092890,217,7,1072-1078,NA,Anthropogenic noise; Habituation; Myotis myotis; Roosting bat; Torpor; Traffic noise
article,"Divergence in cell cycle progression is associated with shifted phenology in a multivoltine moth: the European corn borer, Ostrinia nubilalis","Xia, Qinwen and Chen, Chao and Dopman, Erik B. and Hahn, Daniel A.",JOURNAL OF EXPERIMENTAL BIOLOGY,"Evolutionary change in diapause timing can be an adaptive response to changing seasonality, and even result in ecological speciation. However, the molecular and cellular mechanisms regulating shifts in diapause timing remain poorly understood. One of the hallmarks of diapause is a massive slowdown in the cell cycle of target organs such as the brain and primordial imaginal structures, and resumption of cell cycle proliferation is an indication of diapause termination and resumption of development. Characterizing cell cycle parameters between lineages differing in diapause life history timing may help identify molecular mechanisms associated with alterations of diapause timing. We tested the extent to which progression of the cell cycle differs across diapause between two genetically distinct European corn borer strains that differ in their seasonal diapause timing. We show the cell cycle slows down during larval diapause with a significant decrease in the proportion of cells in S phase. Brain-subesophageal complex cells slow primarily in G0/G1 phase whereas most wing disc cells are in G2 phase. Diapausing larvae of the earlier emerging, bivoltine E-strain (BE) suppressed cell cycle progression less than the later emerging, univoltine Z-strain (UZ) individuals, with a greater proportion of cells in S phase across both tissues during diapause. Additionally, resumption of cell cycle proliferation occurred earlier in the BE strain than in the UZ strain after exposure to diapause-terminating conditions. We propose that regulation of cell cycle progression rates ultimately drives differences in larval diapause termination, and adult emergence timing, between early- and late-emerging European corn borer strains.",2023,10.1242/jeb.245244,226,11,NA,jeb245244,Cell cycle; Diapause; Phenology; Gene expression
article,Effects of a parasympathetic blocker on the heart rate of loggerhead sea turtles during voluntary diving,"Saito, Ayaka and Kinoshita, Chihiro and Kawai, Megumi and Fukuoka, Takuya and Sato, Katsufumi and Sakamoto, Kentaro Q.",JOURNAL OF EXPERIMENTAL BIOLOGY,"Diving bradycardia is a reduction in the heart rate mediated by the parasympathetic system during diving. Although diving bradycardia is pronounced in aquatic mammals and birds, the existence of this response in aquatic reptiles, including sea turtles, remains under debate. Using the parasympathetic blocker atropine, we evaluated the involvement of the parasympathetic nervous system in heart rate reduction of loggerhead sea turtles (Caretta caretta) during voluntary diving in tanks. The heart rate of the control group dropped by 40-60\% from the pre-dive value at the onset of diving; however, administration of atropine significantly inhibited heart rate reduction (P<0.001). Our results indicate that, similar to mammals and birds, the heart rate reduction in sea turtles while diving is primarily mediated by the parasympathetic nervous system. In conclusion, we suggest that diving bradycardia exists not only in aquatic mammals and birds but also in aquatic reptiles.",2022,10.1242/jeb.243922,225,9,NA,jeb243922,Diving physiology; Diving bradycardia; Heart rate; Atropine; Caretta caretta; Parasympathetic nervous system
article,Responses of activity rhythms to temperature cues evolve in <i>Drosophila</i> populations selected for divergent timing of eclosion,"Lakshman, Abhilash and Kalliyil, Arshad and Sheeba, Vasu",JOURNAL OF EXPERIMENTAL BIOLOGY,"Even though the rhythms in adult emergence and locomotor activity are two different phenomena that occur at distinct life stages of the fly life cycle, previous studies have hinted at similarities in certain aspects of the organisation of the circadian clock driving these two rhythms. For instance, the period gene plays an important regulatory role in both rhythms. In an earlier study, we have shown that selection on timing of adult emergence behaviour in populations of Drosophila melanogaster leads to the co-evolution of temperature sensitivity of circadian clocks driving eclosion. In this study, we investigated whether temperature sensitivity of the locomotor activity rhythm evolved in our populations separately from the adult emergence rhythm, with the goal of understanding the extent of similarity (or lack thereof) in circadian organisation underlying the two rhythms. We found that in response to simulated jetlag with temperature cycles, late chronotypes (populations selected for predominant emergence during dusk) indeed re-entrained faster than early chronotypes (populations selected for predominant emergence during dawn) to 6 h phase delays, thereby indicating enhanced sensitivity of the activity/rest clock to temperature cues in these stocks (entrainment is the synchronisation of internal rhythms to cyclic environmental time cues). Additionally, we found that late chronotypes show higher plasticity of phases across regimes, day-to-day stability in phases and amplitude of entrainment, all indicative of enhanced temperaturesensitive activity/rest rhythms. Our results highlight remarkably similar organisation principles between circadian clocks regulating emergence and activity/rest rhythms.",2020,10.1242/jeb.222414,223,11,NA,jeb222414,After-effects; Circadian; Chronotypes; Entrainment; Jetlag; Phase response curve
article,Habituation of the cardiovascular response to restraint stress is inhibited by exposure to other stressor stimuli and exercise training,"Benini, Ricardo and Oliveira, Leandro A. and Gomes-de-Souza, Lucas and Rodrigues, Bruno and Crestani, Carlos C.",JOURNAL OF EXPERIMENTAL BIOLOGY,"This study evaluated the effect of exposure to either a chronic variable stress (CVS) protocol or social isolation, as well as treadmill exercise training, in the habituation of the cardiovascular response upon repeated exposure to restraint stress in rats. The habituation of the corticosterone response to repeated restraint stress was also evaluated. For this, animals were subjected to either acute or 10 daily sessions of 60 min of restraint stress. CVS and social isolation protocols lasted for 10 consecutive days, whereas treadmill training was performed for 1 h per day, 5 days per week for 8 weeks. We observed that the increase in serum corticosterone was reduced during both the stress and the recovery period of the 10th session of restraint. Habituation of the cardiovascular response was identified in terms of a faster return of heart rate to baseline values during the recovery period of the 10th session of restraint. The increase in blood pressure and the decrease in tail skin temperature were similar at the 1st and 10th session of restraint. Exposure to CVS, social isolation or treadmill exercise training inhibited the habituation of the restraint-evoked tachycardia. Additionally, CVS increased the blood pressure response at the 10th session of restraint, whereas social isolation enhanced both the tachycardia during the first session and the drop in skin temperature at the 10th session of restraint. Taken together, these findings provide new evidence that pathologies evoked by stress might be related to impairment in the habituation process to homotypic stressors.",2020,10.1242/jeb.219501,223,8,NA,jeb219501,Adaptation; Blood pressure; Heart rate; Corticosterone; Chronic variable stress; Social isolation
article,Evaluation of laser scanning confocal microscopy as a method for characterizing reef-building coral tissue thickness and Symbiodiniaceae fluorescence,"Huffmyer, A. S. and Matsuda, S. B. and Eggers, A. R. and Lemus, J. D. and Gates, R. D.",JOURNAL OF EXPERIMENTAL BIOLOGY,"Predicting the sensitivity of reef-building corals to disturbance, including bleaching, requires an understanding of physiological responses to stressors, which may be limited by destructive sampling and the capacity of common methodologies to characterize early life history stages. We developed a new methodology using laser scanning confocal microscopy (LSCM) to measure and track the physiological condition of corals. In a thermal stress experiment, we used LSCM to track coral condition during bleaching in adults and juveniles of two species, Montipora capitata and Pocillopora acuta. Depth of fluorescence in coral tissues provides a proxy measure of tissue thickness, whereas Symbiodiniaceae population fluorescence relates to both population density and chlorophyll a content. In response to thermal stress, there were significant shifts in tissue thickness and Symbiodiniaceae fluorescence with differences between life stages. This method is particularly well suited for detecting shifts in physiological condition of living corals in laboratory studies, especially in small juvenile colonies.",2020,10.1242/jeb.220335,223,6,NA,jeb220335,Physiology; Bleaching; Juvenile; Montipora capitata; Pocillopora acuta; Early life history
article,An improved method for detecting torpor entrance and arousal in a mammalian hibernator using heart rate data,"MacCannell, Amanda D. V. and Jackson, Ethan C. and Mathers, Katherine E. and Staples, James F.",JOURNAL OF EXPERIMENTAL BIOLOGY,"We used electrocardiogram (ECG) telemeters to measure the heart rate of hibernating Ictidomys tridecemlineatus (thirteen-lined ground squirrel). An increase in heart rate from 2.2 to 5 beats min(-1) accurately identified arousal from torpor before any change in body temperature was detected. Variability in raw heart rate data was significantly reduced by a forward-backward Butterworth low-pass filter, allowing for discrete differential analysis. A decrease in filtered heart rate to 70\% of maximum values in interbout euthermia (from approximately 312 to 235 beats min(-1)) accurately detected entrance into torpor bouts. At this point, body temperature had fallen from 36.1 degrees C to only 34.7 degrees C, much higher than the 30 degrees C typically used to identify entrance. Using these heart rate criteria allowed advanced detection of entrance and arousal (detected 51.9 and 76 min earlier, respectively), compared with traditional body temperature criteria. This method will improve our ability to detect biochemical and molecular markers underlying these transition periods, during which many physiological changes occur.",2018,10.1242/jeb.174508,221,4,NA,jeb174508,Butterworth filter; Electrocardiogram; ECG; Hibernation; Ictidomys
