type,title,authors,journal,abstract,year,doi,volume,issue,pages,article_number,keywords
article,Independent effects of seawater pH and high <i>P</i><sub>CO2</sub> on olfactory sensitivity in fish: possible role of carbonic anhydrase,"Velez, Zelia and Costa, Rita A. and Wang, Wenjing and Hubbard, Peter C.",JOURNAL OF EXPERIMENTAL BIOLOGY,"Ocean acidificationmay alter olfactory-driven behaviour in fish by direct effects on the peripheral olfactory system; olfactory sensitivity is reduced in CO2-acidified seawater. The current study tested whether this is due to elevated P-CO2 or the consequent reduction in seawater pH and, if the former, the possible involvement of carbonic anhydrase, the enzyme responsible for the hydration of CO2 and production of carbonic acid. Olfactory sensitivity to amino acids was assessed by extracellularmulti-unit recording from the olfactory nerve of the gilthead seabream (Sparus aurata L.) in normal seawater (pH similar to 8.2), and after acute exposure to acidified seawater (pH similar to 7.7) but normal P-CO2 (similar to 340 mu atm) or to high P-CO2 seawater (similar to 1400 mu atm) at normal pH (similar to 8.2). Reduced pH in the absence of elevated P-CO2 caused a reduction in olfactory sensitivity to L-serine, L-leucine, L-arginine and L-glutamine, but not L-glutamic acid. Increased P-CO2 in the absence of changes in pH caused reduced olfactory sensitivity to L-serine, L-leucine and L-arginine, including increases in their threshold of detection, but had no effect on sensitivity to L-glutamine and L-glutamic acid. Inclusion of 1 mmol l(-1) acetazolamide (a membrane-permeant inhibitor of carbonic anhydrase) in the seawater reversed the inhibition of olfactory sensitivity to L-serine caused by high P-CO2. Ocean acidification may reduce olfactory sensitivity by reductions in seawater pH and intracellular pH (of olfactory receptor neurones); the former by reducing odorant-receptor affinity, and the latter by reducing the efficiency of olfactory transduction. The physiological role of carbonic anhydrase in the olfactory receptor neurones remains to be explored.",2021,10.1242/jeb.238485,224,6,NA,jeb238485,Ocean acidification; Olfaction; Amino acid; Odorant-receptor affinity; Olfactory receptor; Carbon dioxide
article,Aquatic insects in a multistress environment: cross-tolerance to salinity and desiccation,"Pallares, Susana and Botella-Cruz, Maria and Arribas, Paula and Millan, Andres and Velasco, Josefa",JOURNAL OF EXPERIMENTAL BIOLOGY,"Exposing organisms to a particular stressor may enhance tolerance to a subsequent stress, when protective mechanisms against the two stressors are shared. Such cross-tolerance is a common adaptive response in dynamic multivariate environments and often indicates potential co-evolution of stress traits. Many aquatic insects in inland saline waters from Mediterranean-climate regions are sequentially challenged with salinity and desiccation stress. Thus, cross-tolerance to these physiologically similar stressors could have been positively selected in insects of these regions. We used adults of the saline water beetles Enochrus jesusarribasi (Hydrophilidae) and Nebrioporus baeticus (Dytiscidae) to test cross-tolerance responses to desiccation and salinity. In independent laboratory experiments, we evaluated the effects of (i) salinity stress on the subsequent resistance to desiccation and (ii) desiccation stress (rapid and slow dehydration) on the subsequent tolerance to salinity. Survival, water loss and haemolymph osmolality were measured. Exposure to stressful salinity improved water control under subsequent desiccation stress in both species, with a clear cross-tolerance (enhanced performance) in N. baeticus. In contrast, general negative effects on performance were found under the inverse stress sequence. The rapid and slow dehydration produced different water loss and haemolymph osmolality dynamics that were reflected in different survival patterns. Our finding of cross-tolerance to salinity and desiccation in ecologically similar species from distant lineages, together with parallel responses between salinity and thermal stress previously found in several aquatic taxa, highlights the central role of adaption to salinity and co-occurring stressors in arid inland waters, having important implications for the species' persistence under climate change.",2017,10.1242/jeb.152108,220,7,1277-1286,NA,Inland waters; Beetles; Drought; Osmotic stress; Homeostasis; Water balance
article,"Impacts and mechanisms of CO<sub>2</sub> narcosis in bumble bees: narcosis depends on dose, caste and mating status and is not induced by anoxia","Cressman, Anna and Amsalem, Etya",JOURNAL OF EXPERIMENTAL BIOLOGY,"Carbon dioxide (CO2) is commonly used to immobilize insects and to induce reproduction in bees. However, despite its wide use and potential off-target impacts, its underlying mechanisms are not fully understood. Here, we used Bombus impatiens to examine whether CO2 impacts are mediated by anoxia and whether these mechanisms differ between female castes or following mating in queens. We examined the behavior, physiology and gene expression of workers, mated queens and virgin queens following exposure to anoxia, hypoxia, full and partial hypercapnia, and controls. Hypercapnia and anoxia caused immobilization, but only hypercapnia resulted in behavioral, physiological and molecular impacts in bees. Recovery from hypercapnia resulted in increased abdominal contractions and took longer in queens. Additionally, hypercapnia activated the ovaries of queens, but inhibited those of workers in a dose-dependent manner and caused a depletion of fat-body lipids in both castes. All responses to hypercapnia were weaker following mating in queens. Analysis of gene expression related to hypoxia and hypercapnia supported the physiological findings in queens, demonstrating that the overall impacts of CO2, excluding virgin queen ovaries, were unique and were not induced by anoxia. This study contributes to our understanding of the impacts and the mechanistic basis of CO2 narcosis in insects and its impacts on bee physiology. This article has an associated ECR Spotlight interview with Anna Cressman.",2023,10.1242/jeb.244746,226,1,NA,jeb244746,Carbon dioxide; Insects; Reproduction; Metabolism; Anesthesia
article,Hypercapnia and low pH induce neuroepithelial cell proliferation and emersion behaviour in the amphibious fish <i>Kryptolebias marmoratus</i>,"Robertson, Cayleih E. and Turko, Andy J. and Jonz, Michael G. and Wright, Patricia A.",JOURNAL OF EXPERIMENTAL BIOLOGY,"Aquatic hypercapnia may have helped to drive ancestral vertebrate invasion of land. We tested the hypothesis that amphibious fishes sense and respond to elevated aquatic P-CO2 by behavioural avoidance mechanisms, and by morphological changes at the chemoreceptor level. Mangrove rivulus (Kryptolebias marmoratus) were exposed to 1 week of normocapnic control water (pH8), air, hypercapnia (5\% CO2, pH 6.8) or isocapnic acidosis (pH 6.8). We found that the density of CO2/H+ chemoreceptive neuroepithelial cells (NECs) was increased in hypercapnia or isocapnic acidosis-exposed fish. Projection area (a measure of cell size) was unchanged. Acute exposure to progressive hypercapnia induced the fish to emerse (leave water) at water pH values similar to 6.1, whereas addition of HCl to water caused a more variable response with a lower pH threshold (similar to pH 5.5). These results support our hypothesis and suggest that aquatic hypercapnia provides an adequate stimulus for extant amphibious fishes to temporarily transition from aquatic to terrestrial habitats.",2015,10.1242/jeb.123133,218,19,2987-2990,NA,P-CO2; Chemoreceptor; Phenotypic plasticity
article,Facultative hyperthermia during a heatwave delays injurious dehydration of an arboreal marsupial,"Turner, James M.",JOURNAL OF EXPERIMENTAL BIOLOGY,"Heatwaves negatively impact wildlife populations and their effects are predicted to worsen with ongoing global warming. Animal mass mortality at extremely high ambient temperature (Ta) is evidence for physiological dysfunction and, to aid conservation efforts, improving our understanding of animal responses to environmental heat is crucial. To address this, I measured the water loss, body temperature and metabolism of an Australian marsupial during a simulated heatwave. The body temperature of the common ringtail possum Pseudocheirus peregrinus increased passively by similar to 3 degrees C over a T-a of 29-39 degrees C, conveying water savings of 9.6 ml h(-1). When T-a crossed a threshold of 35-36 degrees C, possums began actively cooling by increasing evaporative water loss and thermal conductance. It is clear that facultative hyperthermia is effective up to a point, but once this point is surpassed - the frequency and duration of which are increasing with climate change - body water would rapidly deplete, placing possums in danger of injury or death from dehydration.",2020,10.1242/jeb.219378,223,5,NA,jeb219378,Water loss; Metabolism; Energetics; Thermal tolerance; Pseudocheiridae; Climate change
article,Flea fitness is reduced by high fractional concentrations of CO<sub>2</sub> that simulate levels found in their hosts' burrows,"Downs, Cynthia J. and Pinshow, Berry and Khokhlova, Irina S. and Krasnov, Boris R.",JOURNAL OF EXPERIMENTAL BIOLOGY,"Nidicolous ectoparasites such as fleas and gamasid mites that feed on small and medium-sized mammals spend much of their time in their hosts' burrows, which provide an environment for living, and often feeding, to their pre-imaginal and/or adult stages. Thus, these ectoparasites should be adapted to environmental conditions in burrows, including high fractional concentrations of CO2 (F-CO2). We examined how a high F-CO2 (0.04) affected survival and reproductive success of a hematophagous ectoparasite of burrowing rodents using fleas Xenopsylla ramesis and Sundevall's jirds Meriones crassus. In the first experiment, fleas fed on hosts housed in high-CO2 (F-CO2 = 0.04) or atmospheric-CO2 (F-CO2 approximate to 0.0004) air, and were allowed to breed. In a second experiment, fleas were maintained in high CO2 or CO2-free air with no hosts to determine how CO2 levels affect survival and activity levels. We found that at high F-CO2 fleas laid fewer eggs, reducing reproductive success. In addition, at high F-CO2, activity levels and survival of fleas were reduced. Our results indicate that fleas do not perform well in the F-CO2 used in this experiment. Previous research indicated that the type and intensity of the effects of CO2 concentration on the fitness of an insect depend on the F-CO2 used, so we advise caution when generalizing inferences drawn to insects exposed to other F-CO2. If, however, F-CO2 found in natural mammal burrows brings about reduced fitness in fleas in general, then burrowing hosts may benefit from reduced parasite infestation if burrow air F-CO2 is high.",2015,10.1242/jeb.122812,218,22,3596-3603,NA,Development; Carbon dioxide; Ectoparasite; Life history; Reproductive success; Survival
article,"Gas exchange patterns and water loss rates in the Table Mountain cockroach, <i>Aptera fusca</i> (Blattodea: Blaberidae)","Groenewald, Berlize and Bazelet, Corinna S. and Potter, C. Paige and Terblanche, John S.",JOURNAL OF EXPERIMENTAL BIOLOGY,"The importance of metabolic rate and/or spiracle modulation for saving respiratory water is contentious. One major explanation for gas exchange pattern variation in terrestrial insects is to effect a respiratory water loss (RWL) saving. To test this, we measured the rates of CO2 and H2O release ((V) over dot(CO2) and (V) over dot(H2O), respectively) in a previously unstudied, mesic cockroach, Aptera fusca, and compared gas exchange and water loss parameters among the major gas exchange patterns (continuous, cyclic, discontinuous gas exchange) at a range of temperatures. Mean (V) over dot(CO2), (V) over dot(H2O) and (V) over dot(H2O) per unit (V) over dot(CO2) did not differ among the gas exchange patterns at all temperatures (P>0.09). There was no significant association between temperature and gas exchange pattern type (P=0.63). Percentage of RWL (relative to total water loss) was typically low (9.79 +/- 1.84\%) and did not differ significantly among gas exchange patterns at 15 degrees C (P=0.26). The method of estimation had a large impact on the percentage of RWL, and of the three techniques investigated (traditional, regression and hyperoxic switch), the traditional method generally performed best. In many respects, A. fusca has typical gas exchange for what might be expected from other insects studied to date (e.g. (V) over dot(CO2), (V) over dot(H2O), RWL and cuticular water loss). However, we found for A. fusca that (V) over dot(H2O) expressed as a function of metabolic rate was significantly higher than the expected consensus relationship for insects, suggesting it is under considerable pressure to save water. Despite this, we found no consistent evidence supporting the conclusion that transitions in pattern type yield reductions in RWL in this mesic cockroach.",2013,10.1242/jeb.091199,216,20,3844-3853,NA,water conservation; hyperoxic switch method; regression method; metabolic rates; metabolic efficiency
article,Disentangling environmental drivers of circadian metabolism in desert-adapted mice,"Colella, Jocelyn P. and Blumstein, Danielle M. and MacManes, Matthew D.",JOURNAL OF EXPERIMENTAL BIOLOGY,"Metabolism is a complex phenotype shaped by natural environmental rhythms, as well as behavioral, morphological and physiological adaptations. Metabolism has been historically studied under constant environmental conditions, but new methods of continuous metabolic phenotyping now offer a window into organismal responses to dynamic environments, and enable identification of abiotic controls and the timing of physiological responses relative to environmental change. We used indirect calorimetry to characterize metabolic phenotypes of the desert-adapted cactus mouse (Peromyscus eremicus) in response to variable environmental conditions that mimic their native environment versus those recorded under constant warm and constant cool conditions, with a constant photoperiod and full access to resources. We found significant sexual dimorphism, with males being more prone to dehydration than females. Under circadian environmental variation. most metabolic shifts occurred prior to physical environmental change and the timing was disrupted under both constant treatments. The ratio of CO2 produced to O-2 consumed (the respiratory quotient) reached greater than 1.0 only during the light phase under diurnally variable conditions, a pattern that strongly suggests that lipogenesis contributes to the production of energy and endogenous water. Our results are consistent with historical descriptions of circadian torpor in this species (torpid by day, active by night), but reject the hypothesis that torpor is initiated by food restriction or negative water balance.",2021,10.1242/jeb.242529,224,18,NA,jeb242529,Circadian torpor; Deer mice; Lipogenesis; Metabolism; Peromyscus; Physiology
article,Carbon dioxide and bicarbonate accumulation in caiman erythrocytes during diving,"Bautista, Naim M. and Damsgaard, Christian and Fago, Angela and Wang, Tobias",JOURNAL OF EXPERIMENTAL BIOLOGY,"The ability of crocodilian haemoglobins to bind HCO3- has been appreciated for more than half a century, but the functional implication of this exceptional mechanism has not previously been assessed in vivo. Therefore, the goal of the present study was to address the hypothesis that CO2 primarily binds to haemoglobin, rather than being accumulated in plasma as in other vertebrates, during diving in caimans. Here, we demonstrate that CO2 primarily accumulates within the erythrocyte during diving and that most of the accumulated CO2 is bound to haemoglobin. Furthermore, we show that this HCO3- binding is tightly associated with the progressive blood deoxygenation during diving; therefore, crocodilians differ from the classic vertebrate pattern, where HCO3- accumulates in the plasma upon excretion from the erythrocytes by the Cl-/HCO3- exchanger.",2021,10.1242/jeb.242435,224,9,NA,jeb242435,Blood gases; pH; Blood-oxygen affinity; Haemoglobin-bicarbonate binding; Reptile
article,Defective skeletogenesis and oversized otoliths in fish early stages in a changing ocean,"Pimentel, Marta S. and Faleiro, Filipa and Dionisio, Gisela and Repolho, Tiago and Pousao-Ferreira, Pedro and Machado, Jorge and Rosa, Rui",JOURNAL OF EXPERIMENTAL BIOLOGY,"Early life stages of many marine organisms are being challenged by rising seawater temperature and CO2 concentrations, but their physiological responses to these environmental changes still remain unclear. In the present study, we show that future predictions of ocean warming (+4 degrees C) and acidification (Delta pH=0.5 units) may compromise the development of early life stages of a highly commercial teleost fish, Solea senegalensis. Exposure to future conditions caused a decline in hatching success and larval survival. Growth, metabolic rates and thermal tolerance increased with temperature but decreased under acidified conditions. Hypercapnia and warming amplified the incidence of deformities by 31.5\% (including severe deformities such as lordosis, scoliosis and kyphosis), while promoting the occurrence of oversized otoliths (109.3\% increase). Smaller larvae with greater skeletal deformities and larger otoliths may face major ecophysiological challenges, which might potentiate substantial declines in adult fish populations, putting in jeopardy the species' fitness under a changing ocean.",2014,10.1242/jeb.092635,217,12,2062-2070,NA,Ocean warming; Acidification; Fish larvae; Ecophysiology; Skeletal deformities
