type,title,authors,journal,abstract,year,doi,volume,issue,pages,article_number,keywords
article,Interacting with wildlife tourism increases activity of white sharks,"Huveneers, Charlie and Watanabe, Yuuki Y. and Payne, Nicholas L. and Semmens, Jayson M.",CONSERVATION PHYSIOLOGY,"Anthropogenic activities are dramatically changing marine ecosystems. Wildlife tourism is one of the fastest growing sectors of the tourism industry and has the potential to modify the natural environment and behaviour of the species it targets. Here, we used a novel method to assess the effects of wildlife tourism on the activity of white sharks (Carcharodon carcharias). High frequency three-axis acceleration loggers were deployed on ten white sharks for a total of similar to 9 days. A combination of multivariate and univariate analysis revealed that the increased number of strong accelerations and vertical movements when sharks are interacting with cage-diving operators result in an overall dynamic body acceleration (ODBA) similar to 61\% higher compared with other times when sharks are present in the area where cage-diving occurs. Since ODBA is considered a proxy of metabolic rate, interacting with cage-divers is probably more costly than are normal behaviours of white sharks at the Neptune Islands. However, the overall impact of cage-diving might be small if interactions with individual sharks are infrequent. This study suggests wildlife tourism changes the instantaneous activity levels of white sharks, and calls for an understanding of the frequency of shark-tourism interactions to appreciate the net impact of ecotourism on this species' fitness.",2018,10.1093/conphys/coy019,6,NA,NA,coy019,accelerometry; Carcharodon carcharias; ecotourism; energy budget; metabolic rate
article,Concentrations of faecal glucocorticoid metabolites in Asian elephant's dung are stable for up to 8 h in a tropical environment,"Wong, Ee Phin and Yon, Lisa and Purcell, Rebecca and Walker, Susan L. and Othman, Nasharuddin and Saaban, Salman and Campos-Arceiz, Ahimsa",CONSERVATION PHYSIOLOGY,"The use of faecal glucocorticoid metabolites (fGCMs) has facilitated the development of non-invasive methods to study physiological conditions of endangered wildlife populations. One limitation is that fGCM concentrations are known to change over time and to vary according to different environmental conditions. The aim of this study was to perform a controlled dung decay experiment to understand the impact of time (since defecation) and two common environmental variables (exposure to water and direct sunlight) on fGCM concentrations of Asian elephants (Elephas maximus). Eighty dung piles from 10 Malaysian elephants were randomly exposed to a 2 x 2 combination of treatments (wet-shade, dry-shade, wet-sun and dry-sun) and repeatedly subsampled from the time of defecation through to 2 days post-defecation (n = 685 faecal subsamples). Overall, the mean concentration of fGCMs was stable in samples of up to 8 h old from defecation time, regardless of environmental treatment (water or direct sunlight); thereafter, the overall mean fGCM concentrations increased, peaking 1 day after defecation (31.8\% higher than at defecation time), and subsequently decreased (reaching values 9.2\% below defecation time on the second day). Overall, the treatment of sun exposure resulted in higher fGCM concentration compared with shade, whereas water exposure (compared with no water exposure) had no impact on fGCM concentrations. Hence, in field studies we recommend collecting dung samples < 8 h old and recording shade conditions (e.g. sun vs. shade) as a covariate for the subsequent interpretation of fGCM measurements. This study has helped to identify the optimal window for sampling in which we can have a higher confidence in interpreting the results as being a genuine reflection of glucocorticoid status in the elephant.",2016,10.1093/conphys/cow070,4,NA,NA,cow070,Adrenal activity; Asian elephant; dung decay; Elephas maximus; faecal glucocorticoid metabolites; non-invasive monitoring
article,Stress and body condition are associated with climate and demography in Asian elephants,"Mumby, Hannah S. and Mar, Khyne U. and Thitaram, Chatchote and Courtiol, Alexandre and Towiboon, Patcharapa and Min-Oo, Zaw and Htut-Aung, Ye and Brown, Janine L. and Lummaa, Virpi",CONSERVATION PHYSIOLOGY,"Establishing links between ecological variation, physiological markers of stress and demography is crucial for understanding how and why changes in environmental conditions affect population dynamics, and may also play a key role for conservation efforts of endangered species. However, detailed longitudinal studies of long-lived species are rarely available. We test how two markers of stress and body condition vary through the year and are associated with climatic conditions and large-scale mortality and fertility variation in the world's largest semi-captive population of Asian elephants employed in the timber industry in Myanmar. Glucocorticoid metabolites (used as a proxy for stress levels in 75 elephants) and body weight (used as a proxy for condition in 116 elephants) were monitored monthly across a typical monsoon cycle and compared with birth and death patterns of the entire elephant population over half a century (n = 2350). Our results show seasonal variation in both markers of stress and condition. In addition, this variation is correlated with population-level demographic variables. Weight is inversely correlated with population mortality rates 1 month later, and glucocorticoid metabolites are negatively associated with birth rates. Weight shows a highly positive correlation with rainfall 1 month earlier. Determining the factors associated with demography may be key to species conservation by providing information about the correlates of mortality and fertility patterns. The unsustainability of the studied captive population has meant that wild elephants have been captured and tamed for work. By elucidating the correlates of demography in captive elephants, our results offer management solutions that could reduce the pressure on the wild elephant population in Myanmar.",2015,10.1093/conphys/cov030,3,NA,NA,cov030,Elephas maximus; faeces; glucocorticoids; hormone; seasonality; weight
article,The impact of a changing winter climate on the hatch phenology of one of North America's largest Atlantic salmon populations,"Rooke, Anna C. and Palm-Flawd, Brittany and Purchase, Craig F.",CONSERVATION PHYSIOLOGY,"In northern temperate regions, some of the most dramatic effects of climate change are expected during the winter. Understanding how changing winter climates influence the seasonal timing of key life events is critical for implementing effective conservation strategies, especially for poikilotherms, whose physiology and development are particularly sensitive to changes in thermal environment. Four mathematical models are available to predict the timing of hatch and emergence in Atlantic salmon (Salmo salar); however, such models are only useful if the effect of temperature is both repeatable within and among maternal families, and predictable across variable temperature regimes. Using a split-brood experiment, we found the timing of hatch to be repeatable and predictable in Atlantic salmon from the Exploits River, one of the largest remaining wild populations in North America. Three of the available mathematical models under-estimated the timing of hatch by an average of 21-26 accumulated thermal units (ATU); however, we identified one model that provided reasonable estimates of hatch timing (average under-estimate 7 ATU) under the three incubation temperature regimes we tested. We applied this model to daily water temperature profiles from 2006-18 at four sites within the Exploits River watershed. Across all years and sites, the predicted dates at 50\% hatch ranged between 8 March and 23 May, while predicted dates of 50\% emergence ranged from 11 May to 13 June. By identifying the seasonal timing of these particularly vulnerable early life stages, this model can aid the implementation of conservation efforts for this ecologically and economically important population.",2019,10.1093/conphys/coz015,7,NA,NA,coz015,Climate change; emergence; incubation; phenology; Salmo salar; salmonid
article,Adaptation of a mouse Doppler echocardiograph system for assessing cardiac function and thermal performance in a juvenile salmonid,"Muir, Carlie A. and Neff, Bryan D. and Damjanovski, Sashko",CONSERVATION PHYSIOLOGY,"Measures of cardiac performance are pertinent to the study of thermal physiology and exercise in teleosts, particularly as they pertain to migration success. Increased heart rate, stroke volume and cardiac output have previously been linked to improved swimming performance and increased upper thermal tolerance in anadromous salmonids. To assess thermal performance in fishes, it has become commonplace to measure the response of maximum heart rate to warming using electrocardiograms. However, electrocardiograms do not provide insight into the hemodynamic characteristics of heart function that can impact whole-animal performance. Doppler echocardiography is a popular tool used to examine live animal processes, including real-time cardiac function. This method allows for nonsurgical measurements of blood flow velocity through the heart and has been used to detect abnormalities in cardiovascular function, particularly in mammals. Here, we show how a mouse Doppler echocardiograph system can be adapted for use in a juvenile salmonid over a range of temperatures and timeframes. Using this compact, noninvasive system, we measured maximum heart rate, atrioventricular (AV) blood flowvelocity, the early flow-atrial flow ratio and stroke distance in juvenile Atlantic salmon (Salmo salar) during acute warming. Using histologically determined measures of AV valve area, we show how stroke distance measurements obtained with this system can be used to calculate ventricular inflow volume and approximate cardiac output. Further, we show how this Doppler system can be used to determine cardiorespiratory thresholds for thermal performance, which are increasingly being used to predict the consequences that warming water temperatures will have on migratory fishes.",2021,10.1093/conphys/coab070,9,NA,NA,coab070,thermal performance; Doppler echocardiography; cardiorespiratory performance; cardiac function; Atlantic salmon
article,FishResp: R package and GUI application for analysis of aquatic respirometry data,"Morozov, Sergey and McCairns, R. J. Scott and Merila, Juha",CONSERVATION PHYSIOLOGY,"FishResp is a user-friendly tool for calculating oxygen uptake of aquatic organisms. The aim of the software is to improve the quality of metabolic rate estimates based on a straightforward pipeline: background respiration correction, detection of mechanical problems, conduction of QC tests, and filtration based on user-defined criteria. Abstract Intermittent-flow respirometry is widely used to measure oxygen uptake rates and subsequently estimate aerobic metabolic rates of aquatic animals. However, the lack of a standard quality-control software to detect technical problems represents a potential impediment to comparisons across studies in the field of evolutionary and conservation physiology. Here, we introduce FishResp', a versatile R package and its graphical implementation for quality-control and filtering of raw respirometry data. Our goal is to provide a straightforward, cross-platform and free software to help improve the quality and comparability of metabolic rate estimates for reducing methodological fragmentation in the field of aquatic respirometry. FishResp accepts data from various respirometry systems, allows users to detect potential mechanical problems which can occur during oxygen uptake measurements (e.g. chamber leaking, poor water circulation), and offers six options to correct raw data for microbial oxygen consumption. The software performs filtering of raw data based on user criteria, and produces accurate and unbiased estimates of absolute and mass-specific metabolic rates. Using data from three-spined sticklebacks (Gasterosteus aculeatus) and Trinidadian guppies (Poecilia reticulata), we demonstrate the virtues of FishResp, highlighting the importance of detecting mechanical problems and correcting measurements for background respiration.",2019,10.1093/conphys/coz003,7,NA,NA,coz003,background respiration; free software; intermittent-flow respirometry; metabolic rate; oxygen uptake; three-spined stickleback; Trinidadian guppy
article,Interannual measures of nutritional stress during a marine heatwave (the Blob) differ between two North Pacific seabird species,"Tate, Heidi M. and Studholme, Katharine R. and Domalik, Alice D. and Drever, Mark C. and Romero, L. Michael and Gormally, Brenna M. G. and Hobson, Keith A. and Hipfner, J. Mark and Crossin, Glenn T.",CONSERVATION PHYSIOLOGY,"`The Blob', a mass of anomalously warm water in the Northeast Pacific Ocean peaking from 2014 to 2016, caused a decrease in primary productivity with cascading effects on the marine ecosystem. Among the more obvious manifestations of the event were seabird breeding failures and mass mortality events. Here, we used corticosterone in breast feathers (fCort), grown in the winter period during migration, as an indicator of nutritional stress to investigate the impact of the Blob on two sentinel Pacific auk species (family Alcidae). Feathers were collected from breeding females over 8 years from 2010 to 2017, encompassing the Blob period. Since Pacific auks replace body feathers at sea during the migratory period, measures of fCort provide an accumulated measure of nutritional stress or allostatic load during this time. Changes in diet were also measured using delta N-15 and delta C-13 values from feathers. Relative to years prior to the Blob, the primarily zooplanktivorous Cassin's auklets (Ptychoramphus aleuticus) had elevated fCort in 2014-2017, which correlated with the occurrence of the Blob and a recovery period afterwards, with relatively stable feather isotope values. In contrast, generalist rhinoceros auklets (Cerorhinca monocerata) displayed stable fCort values across years and increased delta N-15 values during the Blob. As marine heatwaves increase in intensity and frequency due to climate change, this study provides insight into the variable response of Pacific auks to such phenomena and suggests a means for monitoring population-level responses to climatological variation.",2021,10.1093/conphys/coab090,9,NA,NA,coab090,the Blob; stable isotopes; Pacific Decadal Oscillation; nutritional stress; feather corticosterone; Alcidae
article,Seasonal variation of health in Asian elephants,"dos Santos, Diogo J. Franco and Berger, Verane and Cristofari, Robin and Htut, Win and Nyein, U. Kyaw and Aung, Htoo Htoo and Reichert, Sophie and Lummaa, Virpi",CONSERVATION PHYSIOLOGY,"Long-lived species are often predicted to be buffered against seasonal variation: longevity means low annual mortality and reproductive rates and annual variability in climate may therefore have a smaller impact on population growth rates of long-lived species in comparison to short-lived ones. However, little is known of the physiological mechanisms underlying such patterns in long-lived species. In this study, we investigated seasonal variation in the health of Asian elephants living in a seasonal monsoon climate. We used two complementary methods: (i) global and (ii) trait-by-trait analyses of seasonal effects on 23 health parameters of 225 individually marked elephants with known age and reproductive and health history, with repeated measures per individual over a 26-month period. The global analysis highlighted the biggest differences in health between the hot and monsoon seasons. Our trait-specific analyses identified the physiological functions underlying such health variation in different ecological settings, including haematological, immunological, muscular, kidney and liver functions, as well as protein balance and electrolytes. Overall, the results suggest that even long-lived, large mammals may experience physiological changes in response to seasonal variation that in extreme circumstances can pose a significant health risk.",2020,10.1093/conphys/coaa119,8,NA,NA,coaa119,Environmental heterogeneity; health markers; long-lived mammals; sub-tropical climate
article,Heat tolerance during embryonic development has not diverged among populations of a widespread species (<i>Sceloporus undulatus</i>),"Angilletta, Jr., Michael J. and Zelic, Maximilian H. and Adrian, Gregory J. and Hurliman, Alex M. and Smith, Colton D.",CONSERVATION PHYSIOLOGY,"The frequency and magnitude of heat waves have increased in recent decades, imposing additional stresses on organisms in extreme environments. Most reptilian embryos are regularly exposed to thermal stress because they develop in shallow, warm soils for weeks to months. We studied cardiac performance during warming to infer lethal temperatures for embryonic lizards in the Sceloporus undulatus complex. Embryos from four populations throughout the geographical range (New Jersey, South Carolina, Colorado, and Arizona) were warmed at a rate observed in natural nests. Embryos from all populations exhibited a similar pattern of thermal sensitivity, as follows: heart rate rose between 34 and 41 degrees C, remained stable between 41 and 44 degrees C, and dropped sharply between 44 and 47 degrees C. No embryos recovered from cardiac arrest, indicating that the upper lethal temperature was <= 47 degrees C. Despite the putative selective pressures, the thermal limit to cardiac performance seems to have been conserved during the evolution of this species.",2013,10.1093/conphys/cot018,1,1,NA,cot018,Critical thermal maximum; embryo; heart rate; survival; temperature; thermal tolerance
article,Efficacy of a sensory deterrent and pipe modifications in decreasing entrainment of juvenile green sturgeon (<i>Acipenser medirostris</i>) at unscreened water diversions,"Poletto, Jamilynn B. and Cocherell, Dennis E. and Mussen, Timothy D. and Ercan, Ali and Bandeh, Hossein and kavvas, M. Levent and Cech, Jr., Joseph J. and Fangue, Nann A.",CONSERVATION PHYSIOLOGY,"Water projects designed to extract fresh water for local urban, industrial and agricultural use throughout rivers and estuaries worldwide have contributed to the fragmentation and degradation of suitable habitat for native fishes. The number of water diversions located throughout the Sacramento-San Joaquin watershed in California's Central Valley exceeds 3300, and the majority of these are unscreened. Many anadromous fish species are susceptible to entrainment into these diversions, potentially impacting population numbers. In the laboratory, juvenile green sturgeon (Acipenser medirostris) have been shown to have high entrainment rates into unscreened diversions compared with those of other native California fish species, which may act as a significant source of mortality for this already-threatened species. Therefore, we tested the efficacy of a sensory deterrent (strobe light) and two structural pipe modifications (terminal pipe plate and upturned pipe configuration) in decreasing the entrainment of juvenile green sturgeon (mean mass +/- SEM = 162.9 +/- 4.0 g; mean fork length = 39.4 +/- 0.3 cm) in a large (>500 kl) outdoor flume fitted with a water-diversion pipe 0.46 m in diameter. While the presence of the strobe light did not affect fish entrainment rates, the terminal pipe plate and upturned pipe modifications significantly decreased the proportion of fish entrained out of the total number tested relative to control conditions (0.13 +/- 0.02 and 0.03 +/- 0.02 vs. 0.44 +/- 0.04, respectively). These data suggest that sensory deterrents using visual stimuli are not an effective means to reduce diversion pipe interactions for green sturgeon, but that structural alterations to diversions can successfully reduce entrainment for this species. Our results are informative for the development of effective management strategies to mitigate the impacts of water diversions on sturgeon populations and suggest that effective restoration strategies that balance agricultural needs with conservation programmes are possible.",2014,10.1093/conphys/cou056,2,1,NA,cou056,Conservation; entrainment; fish; green sturgeon; swimming performance; water diversion
