type,title,authors,journal,abstract,year,doi,volume,issue,pages,article_number,keywords
article,Molecular markers for thermo-tolerance are associated with reproductive and physiological traits in Pelibuey ewes raised in a semiarid environment,"Castillo-Salas, Candelario A. and Luna-Nevarez, Guillermo and Reyna-Granados, Javier R. and Luna-Ramirez, Rosa I. and Limesand, Sean W. and Luna-Nevarez, Pablo",JOURNAL OF THERMAL BIOLOGY,"Pelibuey sheep exhibit reproductive activity through the year, but warm weather lowers their fertility and demonstrates physiological limitations of environmental heat stress. Single nucleotide polymorphisms (SNPs) associated with heat stress tolerance in sheep have been reported previously. The objective was to validate the association of seven thermo-tolerance SNP markers with reproductive and physiological traits in Pelibuey ewes raised in a semiarid region. Pelibuey ewes were assigned to a cool (January 1st.- March 31st.; n = 101) or warm (April 1st.- August 31st.; n = 104) experimental group. All ewes were exposed to fertile rams and assessed for pregnancy diagnosis 90 days later; lambing day was reported at birth. These data served to calculate the reproductive traits of services per conception, prolificacy, days to estrus, days to conception, conception rate and lambing rate. Rectal temperature, rump/leg skin temperature and respiratory rate were measured and reported as physiological traits. Blood samples were collected and processed to extract DNA, which was genotyped using the TaqMan allelic discrimination method and qPCR. A mixed effects statistical model was used to validate associations between SNP genotypes and phenotypic traits. The SNPs rs421873172, rs417581105 and rs407804467 were confirmed as markers associated with reproductive and physiological traits (P < 0.05), and these SNPs were in the genes PAM, STAT1 and FBXO11, respectively. Interestingly, these SNP markers resulted as predictors for the evaluated traits but only in ewes from the warm group, which indicated their association with heat-stress tolerance. An additive SNP effect was confirmed with the highest contribution (P < 0.01) of the SNP rs417581105 for the evaluated traits. Reproductive performance improved (P < 0.05) and physiological parameters decreased in ewes carrying favorable SNP genotypes. In conclusion, three thermo-tolerance SNP markers were associated with improved reproductive and physiological traits in a prospective population of heat-stressed ewes raised in a semiarid environment.",2023,10.1016/j.jtherbio.2023.103475,112,NA,NA,103475,Heat-stress; Thermo-tolerance; Reproduction; SNPs
article,Mechanisms underlying thermal breadth differ by species in insects from adjacent but thermally distinct streams - A test of the climate variability hypothesis,"Birrell, Jackson H. and Frakes, James I. and Shah, Alisha A. and Woods, H. Arthur",JOURNAL OF THERMAL BIOLOGY,"The Climate Variability Hypothesis (CVH) predicts that ectotherms from thermally variable climates should have wider thermal tolerances than their counterparts living in stable climates. Although the CVH has been widely supported, the mechanisms underlying wider tolerance traits remain unclear. We test the CVH along with three mechanistic hypotheses that may explain how differences in tolerance limits arise: 1) Short-term Acclimation Hypothesis (mechanism: rapid, reversible plasticity), 2) Long-term Effects Hypothesis (mechanisms: developmental plasticity, epigenetics, maternal effects, or adaptation), and 3) Trade-off Hypothesis (mechanism: tradeoff between short- and long-term responses). We tested these hypotheses by measuring CTMIN, CTMAX, and thermal breadths (CTMAX - CTMIN) of aquatic mayfly and stonefly nymphs from adjacent streams with distinctly different levels of thermal variation following acclimation to either cool, control, and warm conditions. In one stream, daily mean temperature varied by about 5 degrees C annually, whereas in the other, it varied by more than 25 degrees C. In support of the CVH, we found that mayfly and stonefly nymphs from the thermally variable stream had broader thermal tolerances than those from the thermally stable stream. However, support for the mechanistic hypotheses differed by species. Mayflies appear to rely on long-term strategies for maintaining broader thermal limits, whereas stoneflies achieve broader thermal limits via short-term plasticity. We found no support for the Trade-off Hypothesis.",2023,10.1016/j.jtherbio.2022.103435,112,NA,NA,103435,Acclimation; Local adaptation; Plasticity; Temperature; Thermal tolerance; Thermal physiology
article,Can the body mass index influence the skin temperature of adolescents assessed by infrared thermography?,"Reis, Hamilton Henrique Teixeira and Brito, Ciro Jose and Sillero-Quintana, Manuel and da Silva, Alisson Gomes and Fernandez-Cuevas, Ismael and Cerqueira, Matheus Santos and Werneck, Francisco Zacaron and Marins, Joao Carlos Bouzas",JOURNAL OF THERMAL BIOLOGY,"Infrared thermography (IRT) is a technology that has been used as an auxiliary tool in the diagnostic process of several diseases and in sports monitoring to prevent injuries. However, the evaluation of a thermogram can be influenced by several factors that need to be understood and controlled to avoid a misinterpretation of the thermogram and, consequently, an inappropriate clinical action. Among the possible factors that can affect IRT are anthropometric factors, especially those related to body composition. Based on these, our objective was to verify the influence of Body Mass Index (BMI) on skin temperature (Tsk) in male adolescents. One hundred male adolescents (age: 16.83 +/- 1.08 years; body mass: 66.51 +/- 13.35 kg; height: 1.75 +/- 7.04 m and BMI: 21.57 +/- 4.06 kg/m2) were evaluated and divided into three groups, based on the World Health Organization (WHO) proposed classification ranges: underweight (n = 33), normal weight (n = 34) and overweight/obesity (n = 34). Thermograms were obtained using the FLIR T420 thermal imager after a period of acclimatization of the subjects in a controlled environment (temperature: 21.3 +/- 0.7 degrees C and humidity: 55.3 +/- 2.2\%); they were evaluated using the ThermoHuman (R) software, integrating the original regions of interest (ROI) into seven larger ROIs. The results showed that underweight individuals had higher Tsk values than normal weight and overweight/obese individuals for all evaluated ROIs, and overweight/obese individuals had lower Tsk values than normal weight individuals for most evaluated ROIs, except for arms region. BMI showed a correlation of-0.68 and-0.64 for the anterior and posterior regions of the trunk, respectively. Thermal normality tables were proposed for various ROIs according to BMI classification. Our study demonstrated that BMI can affect the Tsk values assessed by IRT and needs to be considered to interpret the thermograms.",2023,10.1016/j.jtherbio.2022.103424,111,NA,NA,103424,Temperature mapping; Body composition; Adiposity; Teenagers
article,High temperature and hyperkalemia cause exit block of action potentials at the atrioventricular junction of rainbow trout<i> (Oncorhynchus</i><i> mykiss)</i> heart,"Kuzmin, Vladislav and Ushenin, Konstantin S. and Dzhumaniiazova, Irina V. and Abramochkin, Denis and Vornanen, Matti",JOURNAL OF THERMAL BIOLOGY,"At critically high temperatures, atrioventricular (AV) block causes ventricular bradycardia and collapse of car-diac output in fish. Here, the possible role of the AV canal in high temperature-induced heart failure was examined. To this end, optical mapping was used to measure action potential (AP) conduction in isolated AV junction preparations of the rainbow trout (Oncorhynchus mykiss) heart during acute warming/cooling in the presence of 4 or 8 mM external K+ concentration. The preparation included the AV canal and some atrial and ventricular tissue at its edges, and it was paced either from atrial or ventricular side at a frequency of 0.67 Hz (40 beats min-1) to trigger forward (anterograde) and backward (retrograde) conduction, respectively. The propa-gation of AP was fast in atrial and ventricular tissues, but much slower in the AV canal, causing an AV delay. Acute warming from 15 degrees C to 27 degrees C or cooling from 15 degrees C to 5 degrees C did not impair AP conduction in the AV canal, as both anterograde and retrograde excitations propagated regularly through the AV canal. In contrast, anter-ograde conduction through the AV canal did not trigger ventricular excitation at the boundary zone between the AV canal and the ventricle when extracellular K+ concentration was raised from 4 mM to 8 mM at 27 degrees C. Also, the retrograde conduction was blocked at the border between the AV canal and the atrium in high K+ at 27 degrees C. These findings suggest that the AV canal is resistant against high temperatures (and high K+), but the ventricular muscle cannot be excited by APs coming from the AV canal when temperature and external K+ concentration are simultaneously elevated. Therefore, bradycardia at high temperatures in fish may occur due to inability of AP of the AV canal to trigger ventricular AP at the junctional zone between the AV canal and the proximal part of the ventricle.",2022,10.1016/j.jtherbio.2022.103378,110,NA,NA,103378,Electrical excitation; Atrioventricular delay; Bradycardia; Conduction block; Temperature tolerance
article,Thermal changes in the sacral region with different mattresses used in the prevention of pressure injuries,"Itakura, Daniela Akemi and Nakato, Adriane Muller and Hembecker, Paula Karina and Neves, Eduardo Borba and Nohama, Percy",JOURNAL OF THERMAL BIOLOGY,"Background: Pressure Injury (PI) is a severe health problem that affects millions of people. As a preventive strategy for high-risk ICU patients, the appropriate selection of a support surface is essential for preventing PI, along with risk assessment and repositioning. Increasing skin temperature has been associated with a higher susceptibility to PI development.Objective: This study aimed to evaluate thermal variations related to skin pressure in the sacral area of healthy individuals lying on three different mattresses models (standard, inflatable air, and egg crate).Design: Experimental study.Main outcomes: Initially, a survey was performed to identify the mattresses models most used in four public university hospitals and preventive strategies adopted. And then, an experimental study was conducted with a non-probabilistic sample involving 28 individuals of both sexes, aged 18-35 years old. The volunteers were immobilized for 2 h, and temperature variations in the sacral region were obtained by acquiring thermal images. Results: A significant difference was not found in the temperature recorded on the three mattresses models before the experiment. However, there were significant differences at the 1st and 31st minute (p < 0.001). The lowest temperature values were identified in the air inflatable mattress. Post-hoc comparisons revealed a significant difference between standard or egg crate mattresses and the inflatable air model.Conclusion: The inflatable air mattress should be considered for preventing pressure injury in ICU patients since the temperature had returned to the initial value (pre-test) after the 31st min. In addition to the appropriate selection surface, risk assessment and positioning are essential to PI prevention strategies.",2022,10.1016/j.jtherbio.2022.103366,110,NA,NA,103366,Pressure ulcer; Reactive hyperemia; Temperature mapping; Thermography; Bed; standards; Patient care
article,Temperature-mediated developmental plasticity in winter and summer larvae of Palaemon serratus,"Baudet, Jean -Baptiste and Xuereb, Benoit and Duflot, Aurelie and Poret, Agnes and Maniez, Emeline and Le Foll, Frank and Coulaud, Romain",JOURNAL OF THERMAL BIOLOGY,"In a seasonal environment, variation in larval phenotype and developmental plasticity allow crustacean larvae to maximise survival by lengthening or shortening their development. The aim of this study is to investigate the effects of temperature, laying season and their interaction on larval developmental pathways (larval instars and larval stages). We monitored the different larval stages and calculated the number of larval instars reached during the development of winter and summer larvae of Palaemon serratus incubated at 12, 16 or 20 degrees C. We observed a great variability in the larval development (6-13 larval instars and 6 to 11 larval stages). A higher temperature decreases the development time and the number of larval instars. At a given temperature, the development time of winter and summer larvae was not different. Two larval stages were considered supernu-merary (zoea 4 and 6), as they were more frequent at low temperatures. At higher temperatures, some larvae started to develop pleopods as early as the third instar, larval stage which had never been described (named here zoea 3 `). This phenomenon was more common in winter larvae than in summer larvae. These results provide new insights into the expression of developmental plasticity in decapod larvae.",2022,10.1016/j.jtherbio.2022.103343,110,NA,NA,103343,Larval ecology; Plasticity; Developmental pathways; Larval instars; Larval stages; Palaemon serratus
article,The effect of heat acclimation on the sweat lactate concentration vs. sweat rate relationship,"Weller, Rebecca S. and Buono, Michael J.",JOURNAL OF THERMAL BIOLOGY,"It is well known that there is a high concentration of lactate in sweat. Interest in measuring sweat lactate has arisen from its potential role in several clinical and sport performance applications. However, the effect of heat acclimation on sweat lactate concentration is still under debate. This is partly because sweat lactate concen-tration is greatly affected by sweat rate, which is known to increase during heat acclimation. Thus, to better understand this issue it is necessary to account for sweat rate - which has not been done previously in the literature. Therefore, the purpose of the current study was to determine the effect of heat acclimation on the relationship between sweat rate vs. sweat lactate concentration. Six subjects completed a 7-day heat acclimation protocol. The daily 2-h exercise bout was split into three 40-min intervals with exercise intensity increasing with each successive interval. This was done to induce three different sweat rates to determine the sweat rate vs. sweat lactate concentration relationship before and after heat acclimation for each participant. A 2 (heat acclimation) x 3 (sweat rate) repeated measures ANOVA was conducted to determine statistical significance. There was a significant (p < 0.05) decrease in the grand mean sweat lactate concentration over the course of seven days of heat acclimation from 17.0 symbolscript 5.0 to 11.3 symbolscript 1.1 mmol/L (p < 0.05). A significant (p < 0.05) heat acclimation x sweat rate ordinal interaction was also found. The results of the current study show that heat acclimation significantly decreases the sweat lactate concentration. In addition, there was a significant ordinal interaction which suggests that the impact of sweat rate on sweat lactate concentration is decreased following heat acclimation.",2022,10.1016/j.jtherbio.2022.103325,109,NA,NA,103325,Heat acclimation; Thermoregulation; Sweat lactate concentration; Sweat rate
article,The thermal neutral zone is shifted during lactation in striped hamsters,"Liu, Wei and Zhao, Zhi-Jun",JOURNAL OF THERMAL BIOLOGY,"The thermoneutral zone (TNZ), one of the most well-recognized concepts of thermal physiology of homeothermic organisms, is observed to differ between animal species, and may be associated with energy expenditure. However, the characteristics of the TNZ of lactating females, the stage of life history with typically the highest energy demands, remain unclear. In this study, we examined body mass, metabolic rate, TNZ and body composition, and milk energy output, in striped hamsters (Cricetulus barabensis, mean body mass: 29.1 +/- 4.4g ranging from 20.0 to 36.6g) at peak lactation, and in hamsters raising small, medium, and large litter sizes throughout lactation. There was a significant downward shift in the lower critical temperature (LCT) of the TNZ in lactating hamsters (TNZ = 22.5-35 ?C), resulting in a wider TNZ compared to non-reproductive females (TNZ = 27.5-32.5 ?C). At peak lactation, hamsters raising large litter sizes had a considerably lower LCT and a wider TNZ compared to hamsters raising medium and small sized litters, whose upper critical temperature of the TNZ remain fixed. Compared to virgin hamsters, hamsters at peak lactation consumed 2.5 times more food, and had significantly higher energy expenditure corresponding to a significantly higher resting metabolic rate and milk output to meet the requirements of their offspring, which increased with litter size. The organs with the highest oxygen consumption rates, such as the liver, kidneys, and digestive tracts, were considerably heavier in lactating hamsters, particular in those raising large litter sizes, compared to virgin hamsters. The data show that the increased energy expenditure during lactation induces a substantial downward shift of the LCT, consequently resulting in a wider TNZ. The morphological plasticity of organs with high energy requirements is likely involved in this TNZ shift.",2022,10.1016/j.jtherbio.2022.103303,108,NA,NA,103303,Body composition; Lactation; Litter size; Metabolic rate; Temperature
article,Timing of parental breeding shapes sensitivity to nitrate pollution in the common frog Rana temporaria,"Ruthsatz, Katharina and Bartels, Fabian and Stuetzer, Dominik and Eterovick, Paula C.",JOURNAL OF THERMAL BIOLOGY,"Climate change is expected to increase mean temperatures and the frequency of extreme weather events, that can lead to earlier/extended breeding seasons in temperate taxa. As a consequence, many organisms that show climate-induced phenological shifts might be exposed to environmental conditions they are not well adapted to while breeding, and their ability to cope with stressful conditions might be influenced. Here, we investigated how parental breeding time shapes the sensitivity to nitrate exposure at three consecutive life stages (embryonic, larval, juvenile) in the European common frog (Rana temporaria). We compared hatching success and life-stage specific survival, growth, standard metabolic rate, body condition, and acute thermal sensitivity of offspring from an earlier-breeding parental cohort (early cohort) vs. a later-breeding parental cohort (late cohort) exposed to a range of environmentally relevant concentrations of nitrate (0-100 mg/L). We also investigated whether nitrate exposure experienced during the embryonic and larval stages affects physiological performance in later life stages (after metamorphosis). Our study reveals that parental breeding time affects the sensitivity to nitrate pollution at three consecutive life stages in Rana temporaria. Breeding later in spring reduced hatching size and survival at high nitrate exposure, but also induced compensatory growth of the offspring. In both early and late cohorts, exposure to nitrate pollution reduced developmental rate and led to larger, but older larvae at the onset of metamorphosis with a greater sensitivity to warmer environmental temperatures. Standard metabolic rate, on the contrary, was neither affected by parental breeding time nor by exposure to nitrate. Exposure to nitrate pollution during embryonic and larval development led to carry-over in juvenile froglets as their sensitivity to temperature was higher. In a world highly impacted by humans, it is thus essential to give stressors a more holistic approach in order to better predict their consequences on species subjected to them.",2022,10.1016/j.jtherbio.2022.103296,108,NA,NA,103296,Amphibians; Climate change; Phenology; Breeding behavior; Conservation physiology; Growth compensation
article,Overexpression of heat shock protein 70 induces apoptosis of intestinal epithelial cells in heat-stressed pigs: A proteomics approach,"Yong, Yanhong and Li, Junyu and Yu, Tianyue and Fang, Biao and Liu, Xiaoxi and Yu, Zhichao and Ma, Xinbin and Gooneratne, Ravi and Abd El-Aty, A. M. and Ju, Xianghong",JOURNAL OF THERMAL BIOLOGY,"Heat stress (HS)-induced intestinal epithelial cell apoptosis may play a pivotal role in intestinal barrier dysfunction in animals. However, the underlying molecular mechanism by which HS induces apoptosis in intestinal epithelial cells is still poorly understood. Herein, a eukaryotic expression vector for an HSP70 gene was constructed and transfected into intestinal porcine epithelial cells (IPEC-J2). Afterward, functional proteomics approaches followed by liquid-chromatography-tandem mass spectrometry (LC-MS/MS) were used to identify interacting proteins. Analysis of HSP70 transfected IPEC-J2 cells revealed 246 differentially expressed proteins (DEPs), and functional annotation indicated that most DEPs were primarily related to ECM-receptor interaction, focal adhesion, and apoptosis. Furtherly, the apoptosis rate and expression levels of apoptosis-related proteins in HSP70 transfected IPEC-J2 cells were detected, we found that the expression of caspase-3, PARP, and Bax were increased, but Bcl-2 were decreased in transfected cells. Lastly, an in vitro and in vivo heat stress model were established to explore the role of HSP70 in intestinal epithelia cell apoptosis. The results of in vitrol study showed that HS-induced cellular apoptosis and increases of caspase-3, PARP, and Bax, but decreased of Bcl-2 in IPEC-J2 cells. In vivo study, the cell apoptosis were induced significantly in the duodenum, cecum, and colon of heat stressed pigs, and upregulation of HSP70 was also detected in colon tissues. Therefore, it has been shown that HSP70 plays a crucial role in heat stress-induced apoptosis and may provide new insights into the molecular mechanisms of epithelial cell apoptosis induced by heat stress in pigs.",2022,10.1016/j.jtherbio.2022.103289,108,NA,NA,103289,HSP70; Cellular apoptosis; Proteomics; Transfection; IPEC-J2 cells
